"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","county","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","infraspecificEpithet","typeStatus","fieldNumber","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","414840","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Cleistes","exilis","Cleistes exilis","Hoehne","R. M. Harley","18765","1977","02","16","South America","Brazil","Bahia","10 km S of Andaraí on the road to Mucugé","-41.32","-12.87","500","700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=707381' target='other'> <mi>dwc_moreinfo</mi></a>","NY00414840","NY00414840_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","687060","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Cleistes","exilis","Cleistes exilis","Hoehne","R. M. Harley","52752","1992","03","21","South America","Brazil","Bahia","Campo da Mutuca.","-41.83","-13.37","1400","1500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=852669' target='other'> <mi>dwc_moreinfo</mi></a>","NY00687060","NY00687060_01","A. L. V. Toscano de Brito","Abaíra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","687058","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Cleistes","exilis","Cleistes exilis","Hoehne","R. M. Harley","51693","1992","03","02","South America","Brazil","Bahia","Garimpo do Bicota","-41.8","-13.32","1700","1700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=852665' target='other'> <mi>dwc_moreinfo</mi></a>","NY00687058","NY00687058_01","A. L. V. Toscano de Brito","Abaíra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","02499401","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Cleistes","exilis","Cleistes exilis","Hoehne","W. W. Thomas","12976","2002","03","12","South America","Brazil","Bahia","Chapadinha, 1 km W of road to Lençóis on BR 242","-41.43483","-12.46617","850","850","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=745349' target='other'> <mi>dwc_moreinfo</mi></a>","NY02499401","NY02499401_01","D. N. Carvalho","Lençóis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","02796037","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Cleistes","exilis","Cleistes exilis","Hoehne","J. G. Jardim","2580","2000","01","28","South America","Brazil","Bahia","Estrada para o Pico das Almas ca. 18 km W. Campo do Queiroz","-41.95","-13.5189",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=745350' target='other'> <mi>dwc_moreinfo</mi></a>","NY02796037","NY02796037_01","Matthew C. Pace","Rio de Contas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","414841","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Cleistes","exilis","Cleistes exilis","Hoehne","H. S. Irwin","19228","1968","01","26","South America","Brazil","Goiás","Serra dos Pirineus. 20 km NW of Corumbá de Goiás, near Pico des Pirineus, Goiás","-48.95","-15.88","1250","1250","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=707380' target='other'> <mi>dwc_moreinfo</mi></a>","NY00414841","NY00414841_01","G. F. J. Pabst","Cocalzinho de Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","687059","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Cleistes","exilis","Cleistes exilis","Hoehne","R. M. Harley","50980","1992","03","01","South America","Brazil","Bahia","Campo de Ouro Fino","-41.9","-13.25","1600","1700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=852666' target='other'> <mi>dwc_moreinfo</mi></a>","NY00687059","NY00687059_01","A. L. V. Toscano de Brito","Abaíra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-10-09 11:28:36-03","UFBA","ALCB","82603","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Cleistes","exilis","Cleistes exilis","Hoch.","Mota, RC","2776","2005","02","15","Southern America","Brasil","Minas Gerais","Serra do Caraça","-43.4075012207031","-20.0746994018555",NA,NA,NA,"terrestre; pedicelo e ovário vinho-esverdeados; sépalas lilás claras a lilás-escuras; pétalas lilás-claras a lilás-escuras; quando claras, possuem próximo do ápice uma faixa central escura.","ALCB007767","ALCB007767 ALCB007767_1","Pansarin, E","Catas Altas","11966","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-10-09 11:28:36-03","UFBA","ALCB","037881","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Cleistes","exilis","Cleistes exilis","Hoch.","Bautista, HP; Hind, DJN; Harley, RM; Smith, S","PCD3638","1996","07","15","Southern America","Brasil","Bahia","Chapada Diamantina, Pedra Redonda, entre o rio Preto e o rio Paraguaçu","-41.4075","-12.95","1070","1070",NA,"0,50 m, terrestre, ereta, vegetando no campo. Flores lilás-claras, labelo com parte central alva. Raro.; Areia.","ALCB007765","ALCB007765","Carvalho, DN","Mucugê",NA,NA,"2014","09","11","-41.4075","-12.95",NA,NA,NA,NA,NA,NA
"10","2019-10-09 11:28:36-03","UFBA","ALCB","037915","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Cleistes","exilis","Cleistes exilis","Hoch.","Mayo, S; Guedes, ML; Carvalho, AM de; Ferreira, MC; Giulietti, AM; Melo, E; Funch, R","PCD0037","1994","07","05","Southern America","Brasil","Bahia","Chapada Diamantina, Serra da Chapadinha. Próximo ao riacho Mucugezinho.","-41.454167","-12.466944","800","800",NA,"Terrestre. Folhas simples, reduzidas a pequenos catáfilos. Flores com bráctea floral verde; sépalas branco-lilás na face abaxial e lilás-claro na face adaxial; labelo lilás com centro amarelo, lobos laterais com vênulas lilás-escuro;","ALCB007766","ALCB007766","Toscano, AL","Lençóis",NA,NA,NA,NA,NA,"-41.454167","-12.466944",NA,NA,NA,NA,NA,NA
