"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","minimumElevationInMeters","maximumElevationInMeters","imagecode","coordinatePrecision","geoFlag","class","yearIdentified","monthIdentified","dayIdentified","typeStatus","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","504865","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Persea","alba","Persea alba","Nees & Mart.","L. E. Kopp","G. G. Hatschbach","26931","1971","08","20","South America","Brazil","Paraná","Balsa Nova","Serra S. Luis","-49.6356","-25.5842","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=269230' target='other'> <mi>dwc_moreinfo</mi></a>","NY00504865",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","504866","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Persea","alba","Persea alba","Nees & Mart.","I. de Vattimo","L. B. Smith","14501","1965","01","15","South America","Brazil","Paraná","Castro","Carambei by Rio Sao Joao","-50.03","-24.5","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=269234' target='other'> <mi>dwc_moreinfo</mi></a>","NY00504866","950","950",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","504873","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Persea","alba","Persea alba","Nees & Mart.","H. H. van der Werff","L. B. Smith","7993","1956","11","29","South America","Brazil","Santa Catarina","Palhoça","Piloes","-48.694057","-27.77489","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=269232' target='other'> <mi>dwc_moreinfo</mi></a>","NY00504873","50","500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","02423578","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Persea","alba","Persea alba","Nees & Mart.",NA,"M. L. Brotto","633","2011","04","17","South America","Brazil","Paraná","Jaguariaíva","Parque Estadual do Cerrado","-49.660456","-24.164678","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2669090' target='other'> <mi>dwc_moreinfo</mi></a>","NY02423578","791",NA,"NY02423578_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","02423567","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Persea","alba","Persea alba","Nees & Mart.",NA,"M. L. Brotto","719","2011","06","06","South America","Brazil","Paraná","Morretes","Parque Estadual Pico do Marumbi","-48.9311","-25.4644","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2669065' target='other'> <mi>dwc_moreinfo</mi></a>","NY02423567","1520",NA,"NY02423567_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1039650","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Persea","alba","Persea alba","Nees & Mart.","M. L. Brotto","M. L. Brotto","287","2009","02","10","South America","Brazil","Paraná","Adrianópolis","Parque Estadual das Lauráceas.","-48.7042","-24.8614","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1488689' target='other'> <mi>dwc_moreinfo</mi></a>","NY01039650","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","504869","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Persea","alba","Persea alba","Nees & Mart.","L. E. Kopp","A. F. M. Glaziou","3096","1869","02","23","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Tijuca","-43.274528","-22.95583","sheet","donné par Mme Simard, sa fille, en 1907 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=269231' target='other'> <mi>dwc_moreinfo</mi></a>","NY00504869",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","504867","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Persea","alba","Persea alba","Nees & Mart.","B. Coe-Teixeira","P. K. H. Dusén","8200","1909","06","04","South America","Brazil","Paraná",NA,"Monte Alegre",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=269237' target='other'> <mi>dwc_moreinfo</mi></a>","NY00504867","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","504868","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Persea","alba","Persea alba","Nees & Mart.","G. G. Hatschbach","G. G. Hatschbach","39961","1977","05","28","South America","Brazil","Paraná","Arapoti","Rio das Cinzas","-49.8267","-24.1581","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=269236' target='other'> <mi>dwc_moreinfo</mi></a>","NY00504868",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","02423606","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Persea","alba","Persea alba","Nees & Mart.",NA,"M. L. Brotto","762","2011","08","28","South America","Brazil","Paraná","Morretes","Serra da Farinha Seca, morro Sete","-48.899931","-25.355386","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2669375' target='other'> <mi>dwc_moreinfo</mi></a>","NY02423606","1293",NA,"NY02423606_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
