"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","1182214","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Thymelaeaceae","Daphnopsis","brasiliensis","Daphnopsis brasiliensis","Mart. & Zucc.","L. I. Nevling","H. L. de M. Barreto","11520","1942","11","25","South America","Brazil","Minas Gerais","Belo Horizonte","Estação Experimental.","-43.9378","-19.9208","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1399356' target='other'> <mi>dwc_moreinfo</mi></a>","NY01182214","NY01182214_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","17530","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Thymelaeaceae","Daphnopsis","brasiliensis","Daphnopsis brasiliensis","Mart. & Zucc.",NA,"C. F. P. von Martius","s.n.",NA,NA,NA,"South America","Brazil","Minas Gerais",NA,"In campis ad Contendas",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=559993' target='other'> <mi>dwc_moreinfo</mi></a>","NY00017530","NY00017530_01 NY00017530_02","type fragment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1182547","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Thymelaeaceae","Daphnopsis","brasiliensis","Daphnopsis brasiliensis","Mart. & Zucc.","L. I. Nevling","F. Sellow","264",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1406786' target='other'> <mi>dwc_moreinfo</mi></a>","NY01182547","NY01182547_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-02-18 09:30:50-03","UNESP-IBB","BOTU","27054","PreservedSpecimen","Plantae",NA,NA,"Thymelaeaceae","Daphnopsis","brasiliensis","Daphnopsis brasiliensis","Mart.",NA,"Assis, L.C.S.",NA,"2002","12","28",NA,"Brasil","Minas Gerais","Barroso",NA,NA,NA,NA,"Árvore com 8m. Na borda da mata, folhas discolores, flores amarelo-esverdeadas.","BOTU027054",NA,NA,"9999","9999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-02-18 09:30:50-03","UNESP-IBB","BOTU","12581","PreservedSpecimen","Plantae",NA,NA,"Thymelaeaceae","Daphnopsis","brasiliensis","Daphnopsis brasiliensis","Mart.","Rossi, H.","Rossi, H.",NA,"1967","10","19",NA,"Brasil","São Paulo",NA,NA,NA,NA,NA,"Tóxica.","BOTU012581",NA,NA,"9999","9999","1967","10","19",NA,NA,NA,NA,NA,NA,NA
"6","2021-02-18 09:30:50-03","UNESP-IBB","BOTU","27053","PreservedSpecimen","Plantae",NA,NA,"Thymelaeaceae","Daphnopsis","brasiliensis","Daphnopsis brasiliensis","Mart.",NA,"Assis, L.C.S.","14","2001","11","27",NA,"Brasil","Minas Gerais","Barroso",NA,NA,NA,NA,"Fanerófita com 5m. Encontrada na borda da mata. Suas pétalassãoverdes","BOTU027053",NA,NA,"9999","9999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-06-29 11:32:46-03","UFRJ","RFA","5109","PreservedSpecimen","Plantae",NA,NA,"Thymelaeaceae","Daphnopsis","brasiliensis","Daphnopsis brasiliensis","Mart.",NA,"Mendes Magalhães","9949","1957","02","26",NA,"Brasil","Minas Gerais","Belo Horizonte","Margem da mata secundária do J.A. M.G.","-43.937801361084","-19.9207992553711",NA,"Arbusto 2 - 3 m, fruto alvo, flor alva","RFA50080",NA,NA,NA,NA,NA,NA,NA,"17082","auto",NA,NA,NA,NA,NA
"8","2020-12-15 11:14:57-03","FUNED","FUNED-POL","4362","PreservedSpecimen","Plantae",NA,NA,"Thymeliaceae","Daphnopsis","brasiliensis","Daphnopsis brasiliensis",NA,NA,"Erica Elias",NA,"2000","02","16",NA,"Brasil","MG",NA,"Fundaçao Zoobotanica BH",NA,NA,NA,NA,"POL004362","POL004362_p01 POL004362_p02 POL004362_p03 POL004362_p04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-12-15 11:14:57-03","FUNED","FUNED-POL","4363","PreservedSpecimen","Plantae",NA,NA,"Thymeliaceae","Daphnopsis","brasiliensis","Daphnopsis brasiliensis",NA,NA,"Erica Elias",NA,"1999","12","22",NA,"Brasil","MG",NA,"Fundaçao Zoobotanica BH",NA,NA,NA,NA,"POL004363",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-30 12:50:03-03","EAO","IAN","108128","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Thymelaeaceae","Daphnopsis","brasiliensis","Daphnopsis brasiliensis","Mart. & Zucc.","Barreto, M","Barreto, M","11520","1942","11","25","Southern America","Brasil","Minas Gerais","Belo Horizonte","Capoeira, Estação Experimental.","-43.937801361084","-19.9207992553711",NA,"Arbusto de 1,50m de altura; flores alvas, muito frequente.","IAN108128",NA,NA,NA,NA,NA,NA,NA,"17082","auto",NA,NA,NA,NA,NA
"11","2020-02-08 10:00:36-03","NBC","NL-BOTANY","L.2473842","PreservedSpecimen","Plantae",NA,"Malvales","Thymelaeaceae","Daphnopsis","brasiliensis","Daphnopsis brasiliensis","Mart. & Zucc.",NA,"Martius CFP von",NA,NA,NA,NA,"Southern America","Brazil",NA,NA,"E Brasilia.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2473842 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2473842","NL-L2473842",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"12","2020-02-08 10:00:36-03","NBC","NL-BOTANY","U.1743304","PreservedSpecimen","Plantae",NA,"Malvales","Thymelaeaceae","Daphnopsis","brasiliensis","Daphnopsis brasiliensis","Mart. & Zucc.",NA,"Regnell AF",NA,"1864","06","01","Southern America","Brazil",NA,NA,"Prov. Minas Geraes.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1743304 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1743304","NL-U1743304",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"13","2020-11-04 11:20:10-03","ESALQ","ESA","102269","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Thymelaeaceae","Daphnopsis","brasiliensis","Daphnopsis brasiliensis",NA,"Tsuji, R.","Lorenzi, H.","6056.0","2006","01","14",NA,"Brasil","São Paulo","Itapeva",NA,"-48.8699989318848","-23.9799995422363",NA,NA,"ESA102269",NA,NA,NA,NA,"2007","01","09","42926","auto",NA,NA,NA,NA,NA
"14","2020-11-04 11:20:10-03","ESALQ","ESA","37561","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Thymelaeaceae","Daphnopsis","brasiliensis","Daphnopsis brasiliensis","Mart.","Rossi, L.","Elias, S.I.; Silva, M.M.R.; Amador, D.B.; Freitas, F.O.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.; Ivanauskas, N.M.; Souza, J.P.; Vanini, A.","175.0","1997","12","15",NA,"Brasil","São Paulo","Bom Sucesso de Itararé","Estrada de Bom Sucesso de Itararé a 2 Km antes da Mineração São Judas -Bom Sucesso de Itararé. Interior de Floresta ombrófila mista","-49.1399993896484","-24.3099994659424",NA,"Árvore de 8 m. Flores com pétalas brancas, anteras amarelas","ESA037561",NA,NA,NA,NA,"2005","01","01","14955","auto",NA,NA,NA,NA,NA
"15","2015-07-02 14:04:25-03","JBP","HPL","8040","S","Plantae",NA,NA,"Thymelaeaceae","Daphnopsis","brasiliensis","Daphnopsis brasiliensis",NA,"H. Lorenzi","G.F. Arbocz","2138","1996","01","11",NA,"Brasil","MG","Itamogi","Coletado nas proximidades do município de Itamogi.","-47.0483","-21.0781",NA,NA,NA,NA,NA,NA,NA,"1996","01","11","11256","auto",NA,NA,NA,NA,NA
"16","2015-07-02 14:04:25-03","JBP","HPL","8042","S","Plantae",NA,NA,"Thymelaeaceae","Daphnopsis","brasiliensis","Daphnopsis brasiliensis",NA,"L. Rossi","H. Lorenzi","1319","1994","02","01",NA,"Brasil","MG","Itamogi","Coletado nas proximidades da estrada do Tapyr, ca. 2km da rodovia Monte Santo-Paraíso.","-47.0483","-21.0781",NA,NA,NA,NA,NA,NA,NA,"1995","05","10","11256","auto",NA,NA,NA,NA,NA
"17","2015-07-02 14:04:25-03","JBP","HPL","9558","S","Plantae",NA,NA,"Thymelaeaceae","Daphnopsis","brasiliensis","Daphnopsis brasiliensis","Mart.","R. Tsuji","R. Tsuji","2323","2007","11","27",NA,"Brasil","MG","Barbacena","Coletado nas proximidades do município de Barbacena; em bosque próximo à localidade de Bananal (bairro); antes da divisa com Barroso-MG.","-43.7736","-21.2258",NA,NA,NA,NA,NA,NA,NA,"2008","11","17","27982","auto",NA,NA,NA,NA,NA
"18","2015-07-02 14:04:25-03","JBP","HPL","6433","S","Plantae",NA,NA,"Thymelaeaceae","Daphnopsis","brasiliensis","Daphnopsis brasiliensis",NA,"R. Tsuji","H. Lorenzi","6056","2006","01","14",NA,"Brasil","SP","Itapeva","Coletado à beira de Rodovia.","-48.87","-23.98",NA,NA,NA,NA,NA,NA,NA,"2007","01","09","42926","auto",NA,NA,NA,NA,NA
"19","2015-07-02 14:04:25-03","JBP","HPL","8041","S","Plantae",NA,NA,"Thymelaeaceae","Daphnopsis","brasiliensis","Daphnopsis brasiliensis",NA,"H. Lorenzi","G.F. Arbocz","2045","1995","12","19",NA,"Brasil","SP","Caconde","Coletado nas proximidades do município de Caconde.","-46.64","-21.52",NA,NA,NA,NA,NA,NA,NA,"1995","12","19","19274","auto",NA,NA,NA,NA,NA
