"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordNumber","locality","occurrenceRemarks","phylum","order","coordinatePrecision","individualCount","geoFlag","continentOcean","preparationType","infraspecificEpithet","typeStatus","class","relatedCatalogItem","relationshipType","maximumDepthInMeters","fieldNumber","sex"
"1170","2020-01-14 12:02:19-03","USP","SPF","231986","PreservedSpecimen","Plantae","Pontederiaceae","Heteranthera","reniformis","Heteranthera reniformis","Ruiz & Pav.","Pellegrini, MOO","2015","11","18","Brasil","Bahia","Ilhéus","-39.0494003295898","-14.7889003753662",NA,NA,NA,NA,"SPF00231986",NA,"Pellegrini, MOO","2015","11",NA,"457","Universidade Estadual de Santa Cruz",NA,NA,NA,"61245",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1171","2020-03-05 14:11:03-03","UNEMAT","HPAN",NA,"PreservedSpecimen","Plantae","Pontederiaceae","Eichhornia","azurea","Eichhornia azurea","(Sw.) Kunth","Carniello, MA; Garcia, RS; Vanicléia, TS;","2009","10","18","Brasil","Mato Grosso","Cáceres","-57.6789016723633","-16.0706005096436",NA,NA,NA,NA,NA,NA,"Carniello, MA","2009","10","18","3265","Baía do Malheiros","Aula campo de Sistemática , Biologia.","Magnoliidae","Commelinales","172193",NA,"auto","América",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1172","2020-03-05 14:11:03-03","UNEMAT","HPAN",NA,"PreservedSpecimen","Plantae","Pontederiaceae","Eichhornia","azurea","Eichhornia azurea","(Sw.) Kunth","Carniello, MA; Pedroga, JA","2004","07","14","Brasil","Mato Grosso","Cáceres","-57.6789016723633","-16.0706005096436",NA,NA,NA,NA,NA,NA,"Carniello, MA; Amorim, PRF","2005","07",NA,"345","Boca do rio Jauruzinho.","Duplicata recebida do Herbarium Rioclarense (HRCB 41985).","Magnoliidae","Commelinales","172193",NA,"auto","América",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1173","2020-03-05 14:11:03-03","UNEMAT","HPAN",NA,"PreservedSpecimen","Plantae","Pontederiaceae","Eichhornia","azurea","Eichhornia azurea","(Sw.) Kunth","Carniello, MA; Pedroga, JA; Ortiz, ECP; Mesquita, AFS","2011","07","02","Brasil","Mato Grosso","Cáceres","-57.677194","-16.062917","-57.677194","-16.062917",NA,NA,NA,NA,"Carniello, MA","2011","07","02","3889","Córrego Padre Inácio, Sítio Duas Irmãs",NA,"Magnoliidae","Commelinales",NA,NA,NA,"América",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1174","2020-03-05 14:11:03-03","UNEMAT","HPAN",NA,"PreservedSpecimen","Plantae","Pontederiaceae","Eichhornia","azurea","Eichhornia azurea","(Sw.) Kunth","Carniello, MA; Pedroga, JA","2004","07","14","Brasil","Mato Grosso","Cáceres","-57.6789016723633","-16.0706005096436",NA,NA,NA,NA,NA,NA,"Pott, VJ","2004","07",NA,"347","Porto Limão","Duplicata recebida do Herbarium Rioclarense (HRCB 41935).","Magnoliidae","Commelinales","172193",NA,"auto","América",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1175","2020-03-05 14:11:03-03","UNEMAT","HPAN",NA,"PreservedSpecimen","Plantae","Pontederiaceae","Eichhornia","azurea","Eichhornia azurea","(Sw.) Kunth","Carniello, MA; Martins-Silva, RM; Pedroga, JA","2005","08","20","Brasil","Mato Grosso","Cáceres","-57.6789016723633","-16.0706005096436",NA,NA,NA,NA,NA,NA,"Carniello, MA","2006","02","22","860","Porto Limão","Coleta dos projetos Estudos de quintais na bacia do Alto Paraguai, comunidade de Porto Limão e Indicadores de sistemas tradicionais na pecuária, Cáceres, fronteira BR-BO.","Magnoliidae","Commelinales","172193",NA,"auto","América",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1176","2014-04-04 18:28:24-03","PNFM","IRAI","4295","S","Plantae","Pontederiaceae","Eichhornia","azurea","Eichhornia azurea","Kunth","Marinero, F.","2007","04","30","Brasil","Paraná","Pontal do Paraná","-48.403333","-25.605917","-48.403333","-25.605917","5","5","IRAI00004295",NA,"Ribas, O.S.","2007","01","01","151","Rio da Draga, Barrancos, Balneário Shangrilá","Herbácea aquática, flor lilás. Restinga arbórea","Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1177","2014-04-04 18:28:24-03","PNFM","IRAI","654","S","Plantae","Pontederiaceae","Eichhornia","azurea","Eichhornia azurea","Kunth","Dunaiski Jr, A.","2009","04","17","Brasil","Paraná","Pinhais","-49.120722","-25.384028","-49.120722","-25.384028",NA,NA,"IRAI00000654",NA,"Dunaiski Jr, A.","2009","01","01","s.n.","Parque Newton Freire Maia, Jardim Boa Vista","Erva, aquática, flores roxas claras","Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1178","2020-12-02 09:07:39-03","UNITINS","HUTO","2320","PreservedSpecimen","Plantae","Pontederiaceae","Eichhornia","azurea","Eichhornia azurea","(Sw.) Kunth.","Santos, E.R.","2009","09","10","Brasil","Maranhão","Carolina","-47.582778","-7.443889","-47.582778","-7.443889","194","194","HUTO002320","HUTO002320",NA,NA,NA,NA,"1981","Lagoa Franciel.","Flutuante fixa. Flores roxa. Nome popular: camalote",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1179","2020-12-02 09:07:39-03","UNITINS","HUTO","2229","PreservedSpecimen","Plantae","Pontederiaceae","Eichhornia","azurea","Eichhornia azurea","(Sw.) Kunth.","Santos, E.R.","2009","02","11","Brasil","Tocantins","Palmeirante","-47.946389","-7.860833","-47.946389","-7.860833","161","161","HUTO002229",NA,NA,NA,NA,NA,"s.n.","Lagoa do Sr. Raimundo. Ponto 643","Herbácea flutuante; Lagoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
