"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","fieldNumber","typeStatus","dayIdentified","class","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","00925447","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Microlicia","canastrensis","Microlicia canastrensis","Naudin","R. Romero","J. N. Nakajima","2684","1997","08","22","South America","Brazil","Minas Gerais","São Roque de Minas","Estrada para o Vale dos Cândidos, Garagem das Pedras, PARNA Serra da Canastra.","-46.3656","-20.2456","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=998376' target='other'> <mi>dwc_moreinfo</mi></a>","NY00925447","NY00925447_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00925443","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Microlicia","canastrensis","Microlicia canastrensis","Naudin","R. Romero","R. Romero","2191","1995","05","11","South America","Brazil","Minas Gerais","São Roque de Minas","Chapadão do Diamante, PARNA Serra da Canastra.","-46.3656","-20.2456","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=998357' target='other'> <mi>dwc_moreinfo</mi></a>","NY00925443","NY00925443_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00925445","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Microlicia","canastrensis","Microlicia canastrensis","Naudin","R. Romero","J. N. Nakajima","1898","1996","07","09","South America","Brazil","Minas Gerais","São Roque de Minas","Chapadão do Diamante, após a antena.","-46.3656","-20.2456","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=998366' target='other'> <mi>dwc_moreinfo</mi></a>","NY00925445","NY00925445_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00925446","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Microlicia","canastrensis","Microlicia canastrensis","Naudin","R. Romero","J. N. Nakajima","173","1994","02","21","South America","Brazil","Minas Gerais","São Roque de Minas","Topo da colina próximo a sede administrativa, PARNA Serra da Canastra.","-46.3656","-20.2456","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=998372' target='other'> <mi>dwc_moreinfo</mi></a>","NY00925446","NY00925446_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00925444","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Microlicia","canastrensis","Microlicia canastrensis","Naudin","R. Romero","R. Romero","2181","1995","05","11","South America","Brazil","Minas Gerais","São Roque de Minas","Chapadão do Diamante, PARNA Serra da Canastra.","-46.3656","-20.2456","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=998362' target='other'> <mi>dwc_moreinfo</mi></a>","NY00925444","NY00925444_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00925442","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Microlicia","canastrensis","Microlicia canastrensis","Naudin","R. Romero","R. Romero","3594","1996","09","22","South America","Brazil","Minas Gerais","São Roque de Minas","Morro próximo a sede administrativa, Parque Nacional da Serra da Canastra.","-46.3656","-20.2456","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=998348' target='other'> <mi>dwc_moreinfo</mi></a>","NY00925442","NY00925442_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01840074","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Microlicia","canastrensis","Microlicia canastrensis","Naudin","A. L. Freitas","H. S. Irwin","25463","1970","01","28","South America","Brazil","Minas Gerais","Patrocínio","Morro da Pedras, ca. 25 km N.E. of Patrocínio","-46.9925","-18.9439","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1977090' target='other'> <mi>dwc_moreinfo</mi></a>","NY01840074","NY01840074_01","1050","1050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","880261","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Microlicia","canastrensis","Microlicia canastrensis","Naudin",NA,"R. Romero","3333","1996","03","20","South America","Brazil","Minas Gerais","São Roque de Minas","Trilha para o sitio Joao Domingos","-46.3657989501953","-20.2453002929688","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2538289' target='other'> <mi>dwc_moreinfo</mi></a>","NY00880261","NY00880261_01",NA,NA,"57119","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","4218401","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Microlicia","canastrensis","Microlicia canastrensis","Naudin",NA,"F. Almeda","7876","1998","06","22","South America","Brazil","Minas Gerais","São Roque de Minas","Parque Nacional da Serra da Canastra, morro próximo ao alojamento","-46.25","-20","Sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4451255' target='other'> <mi>dwc_moreinfo</mi></a>","NY04218401",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-30 12:44:40-03","EAO","IAN","40387","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Melastomataceae","Microlicia","canastrensis","Microlicia canastrensis","Naudin",NA,"Saint-Hilaire","s.n.",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,"IAN040387",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
