"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","recordNumber","locality","minimumElevationInMeters","maximumElevationInMeters","phylum","order","continentOcean","preparationType","occurrenceRemarks","coordinatePrecision","geoFlag","typeStatus","fieldNumber","class","individualCount","relatedCatalogItem"
"1","2021-04-05 14:24:50-03","UNESC","CRI","883","PreservedSpecimen","Plantae","Araliaceae","Dendropanax","monogynus","Dendropanax monogynus","(Vell.) Seem.","Marcos Sobral","1996","02","17","R. dos Santos","1996","02","17","Brasil","Santa Catarina","Governador Celso Ramos","-48.559444","-27.315278","48º33'34''W","27º18'55''S","CRI000636","CRI000636",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:24:50-03","UNESC","CRI","1448","PreservedSpecimen","Plantae","Araliaceae","Dendropanax","monogynus","Dendropanax monogynus","(Vell.) Seem.","Marcos Sobral","1993","07","19","R. Negrelle","1992","03","10","Brasil","Santa Catarina","Itapoá","-48.616389","-26.1175","48º36'59''W","26º7'3''S","CRI000633","CRI000633","95","Reserva Volta Velha.","12","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02641683","PreservedSpecimen","Plantae","Araliaceae","Dendropanax","monogynus","Dendropanax monogynus","(Vell.) Seem.",NA,NA,NA,NA,"M. F. Santos","2012","03","06","Brazil","São Paulo","Ubatuba","-44.8675","-23.3572",NA,NA,"NY02641683","NY02641683_01","839","Parque Estadual da Serra do Mar - Nucleo Picinguaba. Trilha para a praia Brava da Almada, a partir da praia da Fazenda. No sub-bosque.","62",NA,"Magnoliophyta","Apiales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2914315' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA
"4","2016-09-29 22:56:00-03","NY","NYBG","887357","PreservedSpecimen","Plantae","Araliaceae","Dendropanax","monogynus","Dendropanax monogynus",NA,"P. Fiaschi",NA,NA,NA,"B. C. Kurtz","1989","06","29","Brazil","Rio de Janeiro","Nova Friburgo","-42.5308","-22.2819",NA,NA,"NY00887357","NY00887357_01","53","Reserva Ecológica Municipal de Macaé de Cima, Nascente do Rio das Flores. Parc. IA, microp. 1a, ind. 468.",NA,NA,"Magnoliophyta","Apiales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1093647' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA
"5","2016-09-29 22:56:00-03","NY","NYBG","887356","PreservedSpecimen","Plantae","Araliaceae","Dendropanax","monogynus","Dendropanax monogynus",NA,"P. Fiaschi",NA,NA,NA,"C. M. Vieira","1989","04","06","Brazil","Rio de Janeiro","Nova Friburgo","-42.05","-22",NA,NA,"NY00887356","NY00887356_01","23","Reserva Ecológica Municipal de Macaé de Cima, Nascente do Rio das Flores. Parc. IA, microp. 2e, ind. 468.",NA,NA,"Magnoliophyta","Apiales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1093645' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA
"6","2020-11-24 17:10:26-03","UTFPR","DVPR","3833","PreservedSpecimen","Plantae","Araliaceae","Dendropanax","monogynus","Dendropanax monogynus","(Vell.) Seem.","Ferreira, P","2015",NA,NA,"Caxambu, MG; et al.","2015","03","27","Brasil","São Paulo","Eldorado","-48.06181","-24.3318","-48.06181","-24.3318","DVPR003833",NA,"5976","Fazenda Itaipava/ Catre","44","44","Magnoliophyta",NA,NA,NA,"arbusto ca, 1,8 m, semi-ciófilo. Flores alvas, terminais. Frutos imaturos verde-arroxeados.; Relevo: ondulado - Vegetação: Floresta Ombrófila Densa Submontana.",NA,NA,NA,NA,NA,NA,NA
"7","2020-11-04 11:00:28-03","ESALQ","ESA","68757","PreservedSpecimen","Plantae","Araliaceae","Dendropanax","monogynus","Dendropanax monogynus",NA,"Pereira, V.A.C.",NA,NA,NA,"Oliveira, A.A.; Gandolfi, S.; Batista, F.R.Q.; Micheletto, F.; Liesenfeld, M.V.A.; San Martin-Gajardo, I.; Peroni, N.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.","2000","04","19","Brasil","São Paulo","São Sebastião","-45.34","-23.44","-45.34","-23.44","ESA068757","ESA068757","3610.0","Parque Estadual da Serra do Mar. Trilha entre a Estrada Intermediária e a cabeceira do Ribeirão de Itu, Sítio Dito Cachimbo. 600 m.s.m. Floresta Ombrófila Densa de Planalto, com perturbação. Interior de floresta",NA,NA,"Magnoliophyta",NA,NA,NA,"Árvore 2m, frutos imaturos brancos.",NA,NA,NA,NA,NA,NA,NA
"8","2020-11-04 11:00:28-03","ESALQ","ESA","71848","PreservedSpecimen","Plantae","Araliaceae","Dendropanax","monogynus","Dendropanax monogynus",NA,"Fiaschi, P.",NA,NA,NA,"Souza, J.P.; Batista, F.R.Q.; Micheletto, F.; San Martin-Gajardo, I.; Peroni, N.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.","2000","04","21","Brasil","São Paulo","São Sebastião","-45.42","-23.42","-45.42","-23.42","ESA071848","ESA071848","3359.0","Trilha do Escorrega, Sítio Urucurana. Mata Ombrófila Densa de Encosta com perturbação. Beira d'água, 600msm",NA,NA,"Magnoliophyta",NA,NA,NA,"Arvoreta, 2,5m alt., flores creme-esverdeadas",NA,NA,NA,NA,NA,NA,NA
"9","2020-11-04 11:00:28-03","ESALQ","ESA","33539","PreservedSpecimen","Plantae","Araliaceae","Dendropanax","monogynus","Dendropanax monogynus",NA,"Fiaschi, P.",NA,NA,NA,"Souza, V.C. et al.","1985","06","13","Brasil","São Paulo","Ilhabela","-45.3499984741211","-23.7700004577637",NA,NA,"ESA033539","ESA033539","12308.0",NA,NA,NA,"Magnoliophyta",NA,NA,NA,NA,"23719","auto",NA,NA,NA,NA,NA
"10","2020-11-04 11:00:28-03","ESALQ","ESA","20543","PreservedSpecimen","Plantae","Araliaceae","Dendropanax","monogynus","Dendropanax monogynus",NA,"Fiaschi, P.",NA,NA,NA,"Simão-Bianchini, R. et al.","1994","09","07","Brasil","São Paulo","Salesopolis","-45.8400001525879","-23.5300006866455",NA,NA,"ESA020543","ESA020543","535.0",NA,NA,NA,"Magnoliophyta",NA,NA,NA,NA,"18032","auto",NA,NA,NA,NA,NA
"11","2020-11-04 11:00:28-03","ESALQ","ESA","123531","PreservedSpecimen","Plantae","Araliaceae","Dendropanax","monogynus","Dendropanax monogynus",NA,"Fiaschi, P.",NA,NA,NA,"Moreira, B.A.","1993","10","19","Brasil","Rio de Janeiro","Paraty","-44.7131004333496","-23.2178001403809",NA,NA,"ESA123531",NA,"13.0","Área de proteção Ambiental do Parque Nacional Cairuçu, subindo o morro da Pedra Rolada. Corrego dos Micos.","30","30","Magnoliophyta",NA,NA,NA,NA,"34470","auto",NA,NA,NA,NA,NA
"12","2020-11-04 11:00:28-03","ESALQ","ESA","50583","PreservedSpecimen","Plantae","Araliaceae","Dendropanax","monogynus","Dendropanax monogynus","(Vell.) Seem.",NA,NA,NA,NA,"Santos, M.B.; Pardi, M.M.; Bordini, M.C.P.; Bosquetti, L.B.; Marcelino, V.R.; Breier, T.B.; Souza, V.C.; Rodrigues, R.R.","2005","03","31","Brasil","São Paulo","Cananéia","-47.9199981689453","-25.0100002288818",NA,NA,"ESA050583",NA,"182.0","Distrito de Santa Maria. Situação Ecotonal de Floresta Ombrófila Densa Baixo Montana e Floresta sobre Restinga muito Degradada.",NA,NA,"Magnoliophyta",NA,NA,NA,"Árvore.1,6m.","37574","auto",NA,NA,NA,NA,NA
"13","2020-11-04 11:00:28-03","ESALQ","ESA","123115","PreservedSpecimen","Plantae","Araliaceae","Dendropanax","monogynus","Dendropanax monogynus",NA,NA,NA,NA,NA,"Zipparro, V.B.","2007","12","12","Brasil","São Paulo","Ubatuba","-45.0699996948242","-23.4300003051758",NA,NA,"ESA123115",NA,"2302.0","Parque Estadual da Ilha Anchieta (PEIA).",NA,NA,"Magnoliophyta",NA,NA,NA,NA,"34265","auto",NA,NA,NA,NA,NA
"14","2020-11-04 11:00:28-03","ESALQ","ESA","123056","PreservedSpecimen","Plantae","Araliaceae","Dendropanax","monogynus","Dendropanax monogynus",NA,NA,NA,NA,NA,"Zipparro, V.B. ; Alves, K.J.F.","2007","12","12","Brasil","São Paulo","Ubatuba","-45.0699996948242","-23.4300003051758",NA,NA,"ESA123056",NA,"2289.0","Parque Estadual da Ilha Anchieta (PEIA).",NA,NA,"Magnoliophyta",NA,NA,NA,NA,"34265","auto",NA,NA,NA,NA,NA
"15","2020-11-04 10:54:42-03","ESALQ","ESA","134418","PreservedSpecimen","Plantae","Araliaceae","Dendropanax","monogynus","Dendropanax monogynus","(Vell.) Seem.","Lima, R.A.F.","2014",NA,NA,NA,"2013","01","25",NA,NA,NA,NA,NA,"23.38.25",NA,"ESA134418",NA,"259.0",NA,NA,NA,NA,NA,NA,NA,"Floresta de Restinga Alta, fragmento no Bairro Gaivotas. Árvore da fitossociologia placa no. 16931. Altura: 5m",NA,NA,NA,NA,NA,NA,NA
