"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","typeStatus","fieldNumber","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","895359","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Proteopsis","argentea","Proteopsis argentea","Mart. & Zucc. ex Sch.Bip.","G. M. Barroso","H. S. Irwin","22063","1969","01","16","South America","Brazil","Minas Gerais","Ca. 26km SW of Diamantina on road to Gouveia. Serra do Espinhaço.","-43.7","-18.38","1300","1300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=977489' target='other'> <mi>dwc_moreinfo</mi></a>","NY00895359","NY00895359_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","895355","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Proteopsis","argentea","Proteopsis argentea","Mart. & Zucc. ex Sch.Bip.","G. M. Barroso","H. S. Irwin","27117","1970","03","07","South America","Brazil","Minas Gerais","Summit of Serra do Cabral, ca. 8 km W. of Joaquim Felício","-44.1708333","-17.7588","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=977478' target='other'> <mi>dwc_moreinfo</mi></a>","NY00895355","NY00895355_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","895358","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Proteopsis","argentea","Proteopsis argentea","Mart. & Zucc. ex Sch.Bip.","G. M. Barroso","A. P. Duarte","7564","1963","02","13","South America","Brazil","Minas Gerais","Serra do Cipó, km 138 da Estrada do Morro do Pilar.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=977487' target='other'> <mi>dwc_moreinfo</mi></a>","NY00895358","NY00895358_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","02629607","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Proteopsis","argentea","Proteopsis argentea","Mart. & Zucc. ex Sch.Bip.",NA,"F. A. Santana","133","2012","02","26","South America","Brazil","Bahia","Serra Geral, topo do Cachoeirão, trilha subida para o morro atrás da casa de barro.","-42.5583","-14.6961","1005",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2892943' target='other'> <mi>dwc_moreinfo</mi></a>","NY02629607","NY02629607_01","Licínio de Almeida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","895354","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Proteopsis","argentea","Proteopsis argentea","Mart. & Zucc. ex Sch.Bip.",NA,"G. Martinelli","11263","1985","07","22","South America","Brazil","Minas Gerais","Estr. p/ Botumirim, Morro do Chapéu, entre Mombucas e Boa Vista do Bananal.","-42.8894","-16.5594","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=977472' target='other'> <mi>dwc_moreinfo</mi></a>","NY00895354","NY00895354_01","Grão Mogol",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","895356","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Proteopsis","argentea","Proteopsis argentea","Mart. & Zucc. ex Sch.Bip.","G. M. Barroso","B. Maguire","49266","1960","08","17","South America","Brazil","Minas Gerais","Slopes ans summit of Serra Grao Mogul.",NA,NA,"900","1100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=977482' target='other'> <mi>dwc_moreinfo</mi></a>","NY00895356","NY00895356_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","895357","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Proteopsis","argentea","Proteopsis argentea","Mart. & Zucc. ex Sch.Bip.","E. Pereira","A. P. Duarte","7564","1963","02","13","South America","Brazil","Minas Gerais","Serra do Cipó, km 138 da Estrada do Morro do Pilar.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=977484' target='other'> <mi>dwc_moreinfo</mi></a>","NY00895357","NY00895357_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-30 12:35:02-03","EAO","IAN","107514","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Proteopsis","argentea","Proteopsis argentea","Mart. & Zucc.",NA,"Magalhães, MG","4463","1949","03","30","Southern America","Brasil","Minas Gerais","Serra do Cipó, km 140. Conceição.",NA,NA,NA,NA,NA,"Herba de 0,60-0,80m de altura.","IAN107514",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-30 12:35:02-03","EAO","IAN","107765","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Proteopsis","argentea","Proteopsis argentea","Mart. & Zucc.","Cabrera, I","Magalhães, MG","17041","1998","04","15","Southern America","Brasil","Minas Gerais","Serra do Cipó. Campo arenoso, seco. Estrada para o Morro do Pilar.",NA,NA,NA,NA,NA,"Frequente em pequenos grupos; flor violácea.","IAN107765",NA,"Conceição","1962",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-30 12:35:02-03","EAO","IAN","105920","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Proteopsis","argentea","Proteopsis argentea","Mart. & Zucc.",NA,"Magalhães, MG","39","1953","12","07","Southern America","Brasil","Minas Gerais","Bocaina. Serra do Curral. Várzea úmida, arenosa.","-44.1800003051758","-17.8733005523682",NA,NA,NA,"Herbácea. Muito em colonia.","IAN105920",NA,"Buenópolis",NA,"42854","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-30 12:35:02-03","EAO","IAN","105488","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Proteopsis","argentea","Proteopsis argentea","Mart. & Zucc.",NA,"Magalhães, MG","4806","1949","09","03","Southern America","Brasil","Minas Gerais","Serra do Cabral. Arenoso. Úmido. Local plano.","-44.1800003051758","-17.8733005523682",NA,NA,NA,"Herbácea de 0,50-0,80m de altura","IAN105488",NA,"Buenópolis",NA,"42854","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-30 12:35:02-03","EAO","IAN","105461","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Proteopsis","argentea","Proteopsis argentea","Mart. & Zucc.","Cabrera, I","Magalhães, MG","4378","1948","09","03","Southern America","Brasil","Minas Gerais","Serra do Cabral. Campo arenoso com graminea.","-44.1721992492676","-17.7574996948242",NA,NA,NA,"Herbacea de 0,590-0,80m de altura. Muito em grupos.","IAN105461",NA,"Joaquim Felício","1962","37503","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
