"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","typeStatus","class","individualCount"
"11","2020-12-21 16:17:05-03","MBM","MBM","243730","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Richterago","campestris","Richterago campestris","Roque & Nakajima","Roque, N.","Mello-Silva, R.; Farinaccio, M.A.; Costa, F.N.; Farinaccio, M.A.; Costa, F.N.","1710","1999","10","02","Southern America","Brazil","Minas Gerais","São Roque de Minas","Parque Nacional da Serra da Canastra, Estrada para a cachoeira Casca d'Anta, 500m da estrada principal do parque","-46.3657989501953","-20.2453002929688",NA,"Erva com sistema subterrâneo. Grande população. Brácteas involucrais verde-claro-acinzentadas com laivos castanhos. Pétalas creme, quase alvas. Anteras amarelas. estilete alvo. Campo limpo; Erva com sistema subterrâneo. Brácteas invo","MBM243730","MBM243730","1999","12",NA,NA,NA,NA,NA,"57119","auto","ISOTYPE",NA,NA
"12","2021-01-29 17:16:15-03","UFMG","BHCB","169623","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Richterago","campestris","Richterago campestris","N.Roque & J.N.Nakaj.",NA,"Sobral, M","15029","2012","09","28","Southern America","Brasil","Minas Gerais","Ouro Branco",NA,"-43.896667","-21.1875",NA,"Erva; capítulos brancos.; Em campo rupestre.","BHCB013898",NA,"2014","05","29","-43.896667","-21.1875","1112","1112",NA,NA,NA,NA,NA
"13","2021-01-29 17:16:15-03","UFMG","BHCB","61080","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Richterago","campestris","Richterago campestris","N.Roque & J.N.Nakaj.",NA,"Rossi, L; Cordeiro, I; Mello-Silva, R de; Pirani, JR","5782","1984","11","02","Southern America","Brasil","Minas Gerais","São Thomé das Letras","Morro do Gavião","-44.9852981567383","-21.7222003936768",NA,"No campo limpo, arenoso, úmido. Flores liguladas alvas e flores interiores rosas. Anteras amarelas. Brácteas paleáceas.; Campo rupestre","BHCB000067","BHCB000067 BHCB000067_01","1999",NA,NA,NA,NA,NA,NA,"16076","auto","Paratypus",NA,NA
"14","2021-01-29 17:16:15-03","UFMG","BHCB","50741","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Richterago","campestris","Richterago campestris","N.Roque & J.N.Nakaj.",NA,"Mello-Silva, R de; Farinaccio, MA; Costa, FN","1710","1999","10","02","Southern America","Brasil","Minas Gerais","São Roque de Minas","Parque Nacional da Serra da Canastra, Estrada para a cachoeira Casca d`Anta, 500 m da estrada principal do parque","-46.3657989501953","-20.2453002929688",NA,"Erva com sistema suberrâneo. Grande população. Brácteas involucrais verde-claro-acinzentadas com laivos castanhos. Pétalas creme, quase alvas. Anteras amarelas. Estilete alvo.; Campo limpo","BHCB000066","BHCB000066","1999",NA,NA,NA,NA,NA,NA,"57119","auto","Isotypus",NA,NA
"15","2021-03-04 11:04:32-03","UFRB","HURB","19505","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Richterago","campestris","Richterago campestris","Roque & J.N.Nakaj.","N.Roque","Roque, N.; Alves, M.; Campos,L. & Barres, L.","4687","2015","09","24",NA,"Brasil","Minas Gerais","Luminárias","Estrada Cachoeira Serra Grande para Luminárias;","-44.827778","-21.537222",NA,"ALCB 120861.","HURB000019505",NA,"2015","09",NA,"44º49'40W","21º32'14S","1309","1309",NA,NA,NA,NA,NA
"16","2019-06-07 18:04:50-03","UFLA","ESAL","30932","S","Plantae",NA,NA,"Asteraceae","Richterago","campestris","Richterago campestris","Roque & J.N.Nakaj.","Mansanares, ME","Domingos, DQ; Cambraia, CFC","468",NA,NA,NA,NA,"Brasil","Minas Gerais","Lavras","Parque Ecológico Quedas do Rio Bonito","-44.999698638916","-21.2453002929688",NA,"erva. Brácteas involucrais cinzas e flores creme; áreas úmidas de campo rupestre",NA,NA,"2016","02",NA,NA,NA,NA,NA,"20044","auto",NA,NA,NA
"17","2019-05-23 11:07:56-03","UFLA","ESAL","2174","S","Plantae",NA,NA,"Asteraceae","Richterago","campestris","Richterago campestris","Roque & J.N.Nakaj.","Mansanares, ME","Marco Antônio Rodrigues","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais","Lavras",NA,"-44.999444","-21.245278",NA,"árvore; 0.40; em capítulos terminais; aquênio",NA,NA,"2017","10","25","-44.999444","-21.245278",NA,NA,NA,NA,NA,NA,NA
"18","2019-06-07 18:04:50-03","UFLA","ESAL","31164","S","Plantae",NA,NA,"Asteraceae","Richterago","campestris","Richterago campestris","Roque & J.N.Nakaj.","Biondi, M","Arruda, I A C; Mansanares, M E; Martins, C P V; Ribeiro, W S","107","2015","09","22",NA,"Brasil","Minas Gerais","Itutinga","Serra do Pombeiro porção Norte","-44.687","-21.353139",NA,"Subarbusto, 40cm, filárias esverdeadas com base prateada, papus creme e flores brancas.; Campo Rupestre, campo geral arenoso.",NA,NA,"2017","03",NA,"-44.687","-21.353139","1034","1034",NA,NA,NA,NA,NA
"19","2019-06-07 18:04:50-03","UFLA","ESAL","30931","S","Plantae",NA,NA,"Asteraceae","Richterago","campestris","Richterago campestris","Roque & J.N.Nakaj.","Mansanares, ME","Domingos, DQ; Cambraia, CFC","392",NA,NA,NA,NA,"Brasil","Minas Gerais","Lavras","Parque Ecológico Quedas do Rio Bonito","-44.999698638916","-21.2453002929688",NA,"sub-arbusto, aproximadamente 0,4m. Brácteas involucrais pardas e flores do disco e do raio brancas; campo rupestre",NA,NA,"2016","02",NA,NA,NA,NA,NA,"20044","auto",NA,NA,NA
"20","2020-09-12 05:00:02-03","US","US","3432755","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Richterago","campestris","Richterago campestris","Roque & J.N. Nakaj.","Roque, N.","R. Mello-Silva, M. A. Farinaccio & F. N. Costa","1710","1999","10","2","South America - Neotropics","Brazil","Minas Gerais",NA,"Minas Gerais. São Roque de Minas: Parque Nacional da Serra da Canastra. Estrada para a cachoeira Casca d'Anta, 500 m da estrada principal do parque.",NA,NA,NA,"Holotype at SPF.","US00731464","US00731464_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Isotype","Dicotyledonae","1"
