"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","relationshipType","relatedCatalogItem","individualCount","fieldNumber","typeStatus"
"1","2021-04-05 14:25:00-03","UNESC","CRI","11044","PreservedSpecimen","Plantae","Asteraceae","Smallanthus","connatus","Smallanthus connatus","(Spreng.) H.Rob.","M. Sobral","A. Stival-Santos; H.F. Uller & S. Silveira","255","2008","12","12","Brasil","Santa Catarina","Anita Garibaldi","Pinheirinho.","-51.130278","-27.689722","51º7'49''W","27º41'23''S","820","820","Floresta Ombrófila Mista Habitat: interior da mata","CRI001288","CRI001288",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","798461","PreservedSpecimen","Plantae","Asteraceae","Smallanthus","connatus","Smallanthus connatus","(Spreng.) H.Rob.",NA,"J. C. Solomon","10569","1983","05","07","Bolivia","Tarija",NA,"Prov. Arce, 2-3 hours by trail from comunidad Sidras ( on trail to Tariquia)","-64.53","-22.2",NA,NA,"900","1000","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=689876' target='other'> <mi>dwc_moreinfo</mi></a>","NY00798461",NA,"Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-09-27 13:04:00-03","NY","NYBG","798463","PreservedSpecimen","Plantae","Asteraceae","Smallanthus","connatus","Smallanthus connatus",NA,NA,"T. M. Pedersen","9551","1969","12","13","Paraguay","Misiones",NA,"Estancia  La Soledad, Santiago",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=689870' target='other'> <mi>dwc_moreinfo</mi></a>","NY00798463",NA,NA,"Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","798462","PreservedSpecimen","Plantae","Asteraceae","Smallanthus","connatus","Smallanthus connatus","(Spreng.) H.Rob.",NA,"H. H. Bartlett","21385","1944","01","22","Uruguay","Rocha",NA,"Palmares de Castillos; hilly country 25 km. north of Castillos, Departamento de Rocha",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=689869' target='other'> <mi>dwc_moreinfo</mi></a>","NY00798462",NA,"Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","798467","PreservedSpecimen","Plantae","Asteraceae","Smallanthus","connatus","Smallanthus connatus","(Spreng.) H.Rob.",NA,"C. E. O. Kuntze",NA,"1892","12",NA,"Brazil","Rio de Janeiro",NA,"Itatiaya","-44.581244","-22.382006",NA,NA,"1200","1200","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=689873' target='other'> <mi>dwc_moreinfo</mi></a>","NY00798467","NY00798467_01","Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","798470","PreservedSpecimen","Plantae","Asteraceae","Smallanthus","connatus","Smallanthus connatus","(Spreng.) H.Rob.",NA,"G. G. Hatschbach","Ha.13830","1966","02","10","Brazil","Paraná",NA,"Uniao da Vitoria",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=689872' target='other'> <mi>dwc_moreinfo</mi></a>","NY00798470","NY00798470_01","Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","798468","PreservedSpecimen","Plantae","Asteraceae","Smallanthus","connatus","Smallanthus connatus","(Spreng.) H.Rob.",NA,"C. E. O. Kuntze",NA,"1892","12",NA,"Brazil","Rio de Janeiro",NA,"Itatiaya","-44.581244","-22.382006",NA,NA,"1200","1200","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=689874' target='other'> <mi>dwc_moreinfo</mi></a>","NY00798468","NY00798468_01","Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","798464","PreservedSpecimen","Plantae","Asteraceae","Smallanthus","connatus","Smallanthus connatus","(Spreng.) H.Rob.",NA,"A. Schinini","34710","1998","04","21","Argentina","Salta","Orán","Cordillera Oriental, Sierra de Zenta. Trancas","-64.9","-23.1167",NA,NA,"2200","2200","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=689868' target='other'> <mi>dwc_moreinfo</mi></a>","NY00798464",NA,"Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","798469","PreservedSpecimen","Plantae","Asteraceae","Smallanthus","connatus","Smallanthus connatus","(Spreng.) H.Rob.",NA,"C. E. O. Kuntze",NA,"1892","12",NA,"Brazil","Rio de Janeiro",NA,"Itatiaya","-44.581244","-22.382006",NA,NA,"1200","1200","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=689875' target='other'> <mi>dwc_moreinfo</mi></a>","NY00798469","NY00798469_01","Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","798465","PreservedSpecimen","Plantae","Asteraceae","Smallanthus","connatus","Smallanthus connatus","(Spreng.) H.Rob.",NA,"G. G. Hatschbach","42693","1980","01","08","Brazil","Paraná","Palmeira","Rio Caniu","-50.0064","-25.4294",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=689871' target='other'> <mi>dwc_moreinfo</mi></a>","NY00798465","NY00798465_01","Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","798466","PreservedSpecimen","Plantae","Asteraceae","Smallanthus","connatus","Smallanthus connatus","(Spreng.) H.Rob.",NA,"L. B. Smith","14157","1964","12","19","Brazil","Santa Catarina","Guaraciaba","Rio Liso, 13 km northwest of Sao Miguel d'Oeste","-53.57","-26.53",NA,NA,"400","600","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=689877' target='other'> <mi>dwc_moreinfo</mi></a>","NY00798466","NY00798466_01","Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-11-13 09:19:03-03","UFRJ","RFA","9045","PreservedSpecimen","Plantae","Asteraceae","Polymnia","connata","Polymnia connata","S.F.Blake","J.R. Wells","G.G. Hatschbach","17800","1967","11","13","Brasil","Paraná","Campina Grande do Sul","Ribeirão Grande","-49.0553016662598","-25.3055992126465",NA,NA,NA,NA,"Arbusto de 1,50, ligulas crême.","RFA27868",NA,NA,NA,NA,NA,"55154","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-11-24 17:10:31-03","UTFPR","DVPR","3042","PreservedSpecimen","Plantae","Asteraceae","Smallanthus","connatus","Smallanthus connatus","(Spreng.) H.Rob.","Caxambu, MG","Caxambu, MG; et al.","2530","2009","02","27","Brasil","Paraná","Turvo","Propriedade da família Rickli","-51.3518","-25.03556","-51.3518","-25.03556","1107","1107","Subarbusto heliófito, ca. 1,8m, flores de cálice verde e corola amarela, formando agrupamentos na orla da floresta.; Relevo: suave-ondulado. Vegetação Floresta Ombrófila Mista Montana.","DVPR003042",NA,"Magnoliophyta",NA,NA,NA,NA,NA,"2011","04","28",NA,NA,NA,NA,NA,NA
"14","2020-11-24 17:10:31-03","UTFPR","DVPR","1072","PreservedSpecimen","Plantae","Asteraceae","Smallanthus","connatus","Smallanthus connatus","(Spreng.) H.Rob.","Estevan, DA","Duarte, E","40","2013","03","26","Brasil","Paraná","Dois Vizinhos","Unepe - Restauração Ecológica. Nucleação: Chuva de Sementes: parcela 10, sub-parcela 21","-53.0607","-25.4149","-53.0607","-25.4149",NA,NA,"Erva, flores.","DVPR001072","DVPR001072","Magnoliophyta",NA,NA,NA,NA,NA,"2013","06","04",NA,NA,NA,NA,NA,NA
"15","2021-03-30 12:35:02-03","EAO","IAN","40133","PreservedSpecimen","Plantae","Asteraceae","Polymnia","silphioides","Polymnia silphioides","DC.",NA,"Gaudichaud","885",NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN040133",NA,"Dicotiledônea",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-02-08 08:51:07-03","NBC","NL-BOTANY","L.1164974","PreservedSpecimen","Plantae","Compositae","Polymnia","connata","Polymnia connata","(Spreng.) S.F.Blake",NA,"Unknown",NA,NA,NA,NA,"Argentina",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1164974 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1164974","NL-L1164974",NA,"Asterales","Southern America",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"17","2020-02-08 08:51:07-03","NBC","NL-BOTANY","L.3652405","PreservedSpecimen","Plantae","Compositae","Polymnia","connata","Polymnia connata","(Spreng.) S.F.Blake",NA,"Pedersen TM",NA,"1969","12","13","Paraguay",NA,NA,"Plantae Paraguayenses, Estancia,,La Soledad', Santiago, Dep. misiones.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3652405 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3652405","NL-L3652405",NA,"Asterales","Southern America",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"18","2020-02-08 08:51:07-03","NBC","NL-BOTANY","L.3652406","PreservedSpecimen","Plantae","Compositae","Polymnia","connata","Polymnia connata","(Spreng.) S.F.Blake",NA,"Pedersen TM",NA,"1969","12","13","Paraguay",NA,NA,"Plantae Paraguayenses, Estancia,,La Soledad', Santiago, Dep. misiones.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3652406 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3652406","NL-L3652406",NA,"Asterales","Southern America",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
