"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","geoFlag","identifiedBy","fieldNumber","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","38436","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Diplusodon","ericoides","Diplusodon ericoides","Lourteig","isotype","W. R. Anderson","7949","1973","03","25","South America","Brazil","Goiás","São João d'Aliança","3-4 km northeast of Sao Joao da Aliança;","-47.5247001647949","-14.7055997848511","91641","1070","1070","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=690498' target='other'> <mi>dwc_moreinfo</mi></a>","NY00038436","NY00038436_01","auto",NA,NA,NA,NA,NA,NA,NA
"2","2020-12-21 16:32:20-03","MBM","MBM","165419","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Diplusodon","ericoides","Diplusodon ericoides","Louteig",NA,"Hatschbach, G.; Hatschbach, M.; Silva, J.M.; Hatschbach, M.; Silva, J.M.","60126",NA,NA,NA,"Southern America","Brazil","Goiás","Água Fria de Goiás","Estação Repetidora da Telebrasília de Roncador","-47.7841987609863","-14.9856004714966","38359",NA,NA,NA,NA,"MBM165419","MBM165419","auto","Lourteig, A.",NA,NA,NA,NA,NA,NA
"3","2020-12-21 16:32:20-03","MBM","MBM","248552","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Diplusodon","ericoides","Diplusodon ericoides","Louteig",NA,"Hatschbach, G.; Schinini, A.; Barboza, E.; Schinini, A.; Barboza, E.","70634","2000","05","08","Southern America","Brazil","Goiás","Água Fria de Goiás","Rod. GO-118, subida para a Torre Repetidora de Roncador","-47.7841987609863","-14.9856004714966","38359",NA,NA,NA,NA,"MBM248552","MBM248552","auto","Cavalcanti, T.B.",NA,NA,NA,NA,NA,NA
"4","2020-12-21 16:32:20-03","MBM","MBM","245317","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Diplusodon","ericoides","Diplusodon ericoides","Louteig",NA,"Hatschbach, G.; Hatschbach, M.; Ribas, O.S.; Hatschbach, M.; Ribas, O.S.","70485","2000","02","20","Southern America","Brazil","Goiás","São João da Aliança","Corrente",NA,NA,NA,NA,NA,NA,NA,"MBM245317","MBM245317",NA,"Cavalcanti, T.B.",NA,NA,NA,NA,NA,NA
"5","2020-12-21 16:32:20-03","MBM","MBM","245318","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Diplusodon","ericoides","Diplusodon ericoides","Louteig",NA,"Hatschbach, G.; Hatschbach, M.; Ribas, O.S.; Hatschbach, M.; Ribas, O.S.","70476","2000","02","20","Southern America","Brazil","Goiás","São João da Aliança","Corrente",NA,NA,NA,NA,NA,NA,NA,"MBM245318","MBM245318",NA,"Cavalcanti, T.B.",NA,NA,NA,NA,NA,NA
"6","2015-11-07 05:06:52-02","MNHN","RECOLNAT_MNHN_P","P01901906","PreservedSpecimen",NA,NA,NA,"Lythraceae","Diplusodon","ericoides","Diplusodon ericoides","Lourteig","holotype","Anderson, W.R.",NA,"1973","3","25",NA,"Brasil",NA,NA,"Estado de Goiás, Serra Geral do Parana, 3-4 km NE of Sao Joao da Aliança",NA,NA,NA,"1070",NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01901906' target='other'> <mi>dwc_moreinfo</mi></a>","P01901906","P01901906_01",NA,"Lourteig","7949",NA,NA,NA,NA,NA
"7","2015-09-05 05:52:06-03","MNHN","RECOLNAT_MNHN_P","P04713317","PreservedSpecimen",NA,NA,NA,"Lythraceae","Diplusodon","ericoides","Diplusodon ericoides","Lourteig",NA,"Hatschbach, G.|Hatschbach, M.|Silva, J.M.",NA,"1994","2","8",NA,"Brésil",NA,NA,"Estação Repetidora da Telebrasilia de Roncador (mun. Agua fria) Goias.",NA,NA,NA,"1150",NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04713317' target='other'> <mi>dwc_moreinfo</mi></a>","P04713317","P04713317_01 P04713317_02",NA,NA,"60126",NA,NA,NA,NA,NA
"8","2013-08-23 04:12:00-03","MO","MOBOT","3257948","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Diplusodon","ericoides","Diplusodon ericoides","Lourteig",NA,"Taciana B. Cavalcanti","Cavalcanti 2721","2001","5","28","South America","Brazil","Goiás",NA,"Sao Joao D'Alianca. Seguindo antiga pista de aviação, a 4 km NE a partir da cidade. Campo rupestre. Solo pedregoso branco.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T.B. Cavalcanti",NA,NA,NA,NA,NA,NA
"9","2014-12-21 15:23:00-02","MO","MOBOT","3257949","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Diplusodon","ericoides","Diplusodon ericoides","Lourteig",NA,"G.P. da Silva|João Benedito Pereira|P. de Almeida Salles|S. Pereira de Souza","Silva 5033","2001","5","21","South America","Brazil","Goiás",NA,"Sao Joao D'Alianca. Cerrado. Relevo: Acidentado. Solo areno-argiloso de coloração clara, com pequenas rochas soltas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G. Pereira-Silva",NA,NA,NA,NA,NA,NA
"10","2013-08-23 04:12:00-03","MO","MOBOT","3257951","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Diplusodon","ericoides","Diplusodon ericoides","Lourteig",NA,"Taciana B. Cavalcanti","Cavalcanti 3170","2003","1","30","South America","Brazil","Goiás",NA,"Sao Joao D'Alianca. Cerca de 4 km a NE da cidade. Cerrado sobre rochas. Relevo: Ondulado. Solo areno-pedregoso.","-47.50222","-14.7375",NA,"1000.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2009-08-27 17:10:00-03","MO","MOBOT","3396602","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Diplusodon","ericoides","Diplusodon ericoides","Lourteig",NA,"William R. Anderson","Anderson 7949","1973","3","25","South America","Brazil","Goiás",NA,"Serra Geral d Parana. 3-4 km Soa Joao da Alianca. cerrado and campo limpo with rocky clay",NA,NA,NA,"1070.00000000",NA,NA,NA,NA,NA,NA,"T. B. Cavalcanti 8/8/98",NA,NA,NA,NA,NA,NA
"12","2020-09-02 16:31:33-03","Cenargen","CEN","104370","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Diplusodon","ericoides","Diplusodon ericoides","Lourteig",NA,"João Bernardo de Azevedo Bringel Jr.","1181","2015","01","30",NA,"Brasil","GO","SAO JOAO D'ALIANCA","Estrada de terra para Vãozinho, cerca de 8 km N de São João d' Aliança.","-47.535555","-14.657777",NA,"1012","1012","Exsicatas",NA,"CEN00104370","CEN00104370",NA,"T. B. Cavalcanti",NA,"2017","11","-47.535555","-14.657777","3"
"13","2020-09-02 16:31:33-03","Cenargen","CEN","100211","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Diplusodon","ericoides","Diplusodon ericoides","Lourteig",NA,"Glocimar Pereira-Silva","16571","2014","02","04",NA,"Brasil","GO","AGUA FRIA DE GOIAS","Estrada de acesso à repetidora do Roncador, cerca de 3 km a leste da GO 118 (BR - 010).","-47.555555","-14.885",NA,"1000","1000","Exsicatas",NA,"CEN00100211","CEN00100211",NA,"G. P. Silva",NA,"2014","02","-47.555555","-14.885","5"
"14","2020-09-02 16:31:33-03","Cenargen","CEN","102419","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Diplusodon","ericoides","Diplusodon ericoides","Lourteig",NA,"Jimi Naoki Nakajima","4099","2005","12","08",NA,"Brasil",NA,NA,"Trilha Paraíso Perdido; ca. 5 km da rodovia MG 050. Região da Represa de Furnas.",NA,NA,NA,NA,NA,"Exsicatas","Cálice vinho, corola lilás, nervuras vinho. Doação HUFU. Herbário nº 43.767","CEN00102419","CEN00102419",NA,"M. G. Facco",NA,"2017","06",NA,NA,"1"
