"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","phylum","continentOcean","verbatimLongitude","verbatimLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters","class","order","individualCount","typeStatus","relatedCatalogItem","fieldNumber","sex","preparationType"
"1","2020-06-29 11:29:40-03","UFRJ","RFA","30318","PreservedSpecimen","Plantae","Bromeliaceae","Portea","fosteriana","Portea fosteriana","L.B.Sm.","T. Wendt","2000","12","07","T. Wendt; G. K. Brown; L. Kollmann","396","2000","12","07","Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.6002998352051","-19.9356002807617","23813","Epífita. Folhas verdes, bainha escura. Escapo e sépalas rosa claro","RFA51234","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-06-29 11:29:40-03","UFRJ","RFA","30319","PreservedSpecimen","Plantae","Bromeliaceae","Portea","fosteriana","Portea fosteriana","L.B.Sm.","T. Wendt","2000","12","07","T. Wendt; G. K. Brown; L. Kollmann","397","2000","12","07","Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.6002998352051","-19.9356002807617","23813","Epífita. Escapo, sépalas e pedicelo rosa claro. Pétalas azuis","RFA51233","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-07-02 18:52:17-03","UFJF","CESJ","59907","PreservedSpecimen","Plantae","Bromeliaceae","Portea","fosteriana","Portea fosteriana","L.B. Smith","F.C. Favoreto","2012","05",NA,"F.C. Favoreto; T. Gava","156","2012","04","11","Brasil","Espírito Santo","Cachoeiro de Itapemirim","Burarama, Base da Pedra da Ema","-41.330583","-20.684694",NA,"Saxícola à meia sombra. Folhas verdes com ápice da bainha arroxeado, acúleos pretos. Escapo rosado, coberto por escamas brancas, brácteas da base do escapo rosadas com ápice verde, às do ápice rosadas com forte apículo rosa. Raque e ramos rosados, lepido","CESJ059907",NA,"Angiosperma","América do Sul","-41.330583","-20.684694",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-11-21 14:32:49-03","UFJF","CESJ","59909","PreservedSpecimen","Plantae","Bromeliaceae","Portea","fosteriana","Portea fosteriana","L.B. Smith","F.C. Favoreto","2012","05",NA,"F.C. Favoreto; A.E. da Silva","158","2012","04","25","Brasil","Espírito Santo","Cachoeiro de Itapemirim","FLONA Pacotuba, Borda da mata na área de pastagem a esquerda da estrada para Monte Alegre","-41.297306","-20.744056",NA,"Erva epífita em Sapotaceae, heliófila. Parte superior da bainha vinosa, apículos marrons escuro, brácteas do escapo rosadas com ápice verde, brácteas primárias rosa, bráctea floral incospícua, ovário e sépalas brancas.","CESJ059909",NA,"Angiosperma","América do Sul","-41.297306","-20.744056",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-11-21 14:32:49-03","UFJF","CESJ","59916","PreservedSpecimen","Plantae","Bromeliaceae","Portea","fosteriana","Portea fosteriana","L.B. Smith","F.C. Favoreto","2012","05",NA,"F.C. Favoreto; A.E. da Silva","164","2012","04","25","Brasil","Espírito Santo","Cachoeiro de Itapemirim","FLONA Pacotuba, Borda da mata na área de pastagem a esquerda da estrada para Monte Alegre","-41.297306","-20.744056",NA,"Erva epífita em Sapotaceae, heliófila, em flor passada. Parte superior da bainha vinosa, apículos marrons escuro, brácteas do escapo rosadas com ápice verde, brácteas primárias rosadas, bráctea floral incospícua, ovário e sépalas de branco a bege.","CESJ059916",NA,"Angiosperma","América do Sul","-41.297306","-20.744056",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-02-12 18:11:56-03","UFES","VIES","17800","S","Plantae","Bromeliaceae","Portea","fosteriana","Portea fosteriana","L.B.Sm.","Sousa, L.O.F. de; Coser, T.S.","1994","09","29","Gomes, J.M.L.","s.n.",NA,NA,NA,"Brasil","Espírito Santo","Espírito Santo",NA,NA,NA,NA,NA,"VIES017800",NA,NA,NA,NA,NA,"VIES017800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-04-27 16:09:06-03","UFES","VIES","21664","S","Plantae","Bromeliaceae","Portea","fosteriana","Portea fosteriana","L.B.Sm.","Favoreto, F.C.","2012","05",NA,"Favoreto, F.C.; Gava, T.","156","2012","04","14","Brasil","Espírito Santo","Cachoeiro de Itapemirim","Burarama.","-41.1128005981445","-20.8488998413086","35694",NA,"VIES021664","auto",NA,NA,NA,NA,"VIES021664 VIES021664_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-06-27 10:24:21-03","UFES","VIES","30105","S","Plantae","Bromeliaceae","Portea","fosteriana","Portea fosteriana","L.B.Sm.","Favoreto, F.C.",NA,NA,NA,"Favoreto, F.C.; Pereira, R.M.","178","2012","07","20","Brasil","Espírito Santo","Cachoeiro de Itapemirim","Burarama.","-41.1128005981445","-20.8488998413086","35694",NA,"VIES030105","auto",NA,NA,NA,NA,"VIES030105 VIES030105_1","420","420",NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-04-27 16:09:06-03","UFES","VIES","21411","S","Plantae","Bromeliaceae","Portea","fosteriana","Portea fosteriana","L.B.Sm.","Couto, D.R.","2010","03","20","Couto, D.R.","1049","2008","11","16","Brasil","Espírito Santo","Alegre","Roseira.","-41.5331001281738","-20.763599395752","26101",NA,"VIES021411","auto",NA,NA,NA,NA,"VIES021411 VIES021411_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-04-27 16:09:06-03","UFES","VIES","21665","S","Plantae","Bromeliaceae","Portea","fosteriana","Portea fosteriana","L.B.Sm.","Favoreto, F.C.","2012","05",NA,"Favoreto, F.C.; Silva, A.E.","158","2012","04","25","Brasil","Espírito Santo","Cachoeiro de Itapemirim","Pacotuba.","-41.1128005981445","-20.8488998413086","35694",NA,"VIES021665","auto",NA,NA,NA,NA,"VIES021665 VIES021665_1 VIES021665_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-04-27 16:09:06-03","UFES","VIES","26336","S","Plantae","Bromeliaceae","Portea","fosteriana","Portea fosteriana","L.B.Sm.","Wanderley, M.G.L.; Sousa, G.M.","1999","12",NA,"Martinelli, G.; Heron, L.; Ronaldes R. & Azoury R.","15637","1999","08","10","Brasil","Espírito Santo","Santa Teresa","Estrada para Alto Santo Antônio.","-40.6002998352051","-19.9356002807617","23813",NA,"VIES026336","auto",NA,NA,NA,NA,"VIES026336",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-07-10 09:44:37-03","MBML","MBML-HERBARIO","20700",NA,"Plantae","Bromeliaceae","Portea","fosteriana","Portea fosteriana","L.B.Sm.","V. R. Almeida/22-04-2005",NA,NA,NA,"R.R. Vervloet; et al","2409","2003","05","13","Brasil","Espírito Santo","Santa Teresa","Reserva Biológica Augusto Ruschi - Nova Lombardia","-40.553056","-19.9075",NA,"Terrestre, folhas de cor verde claro com base vinho, escapo de cor avermelhado com tegumento branco, flores de cor rosa. Baixada, capoeira aberta.","MBML020700",NA,NA,NA,"40W33'11","19S54'27","MBML020700_1 MBML020700_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-07-10 09:44:37-03","MBML","MBML-HERBARIO","21441",NA,"Plantae","Bromeliaceae","Portea","fosteriana","Portea fosteriana","L.B.Sm.","Bruno Rezende Silva/29-10-2003",NA,NA,NA,"J. Rossini; et al","490","2003","08","27","Brasil","Espírito Santo","Santa Teresa","Reserva Biológica Augusto Ruschi - Nova Lombardia","-40.553056","-19.9075",NA,"Rupícola. Folhas verde claras. Pedúnculo verde claro. Flores rosáceas, lobos do cálice vinho.","MBML021441",NA,NA,NA,"40W33'11","19S54'27","MBML021441 MBML021441_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-07-10 09:44:37-03","MBML","MBML-HERBARIO","24024",NA,"Plantae","Bromeliaceae","Portea","fosteriana","Portea fosteriana","L.B.Smith","T.S. Coser & T. Wendt/30-08-2008",NA,NA,NA,"L. Kollmann; et al","7681","2005","04","29","Brasil","Espírito Santo","Santa Teresa","25 de Julho, Bela Vista","-40.604167","-19.780556",NA,"Terrestre na sombra, frutos rosas.0","MBML024024",NA,NA,NA,"40W36'15","19S46'50","MBML024024_1 MBML024024_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-07-10 09:44:37-03","MBML","MBML-HERBARIO","25057",NA,"Plantae","Bromeliaceae","Portea","fosteriana","Portea fosteriana","L.B.Smith","L. Kollmann/16-11-2005",NA,NA,NA,"L. Kollmann; et al","8311","2005","09","16","Brasil","Espírito Santo","São Roque do Canaã","Alto Misterioso","-40.775278","-19.796944",NA,"Inflorescências secas, rupestre na sombra.","MBML025057",NA,NA,NA,"40W46'31","19S47'49","MBML025057_1 MBML025057_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-07-10 09:44:37-03","MBML","MBML-HERBARIO","42717",NA,"Plantae","Bromeliaceae","Portea","fosteriana","Portea fosteriana","L.B. Sm.","T.S. Coser",NA,NA,NA,"T.S. Coser; D.M.T. Francino","572","2012","02","24","Brasil","Espírito Santo","Domingos Martins","Propriedade do Condomínio Alemão","-40.659444","-20.388056",NA,"Epífita, ca 1,5m, esciófila, folhas verdes, bainhas vináceas, espinhos castanhos, brácteas escapais basais verde-rosadas, as superiores e primárias róseas, raqui avermelhada, sépalas róseas, pétalas, estigma e anteras lilases","MBML042717",NA,NA,NA,"40W39'34","20S23'17","MBML042717_1 MBML042717_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-07-10 09:44:37-03","MBML","MBML-HERBARIO","50656",NA,"Plantae","Bromeliaceae","Portea","fosteriana","Portea fosteriana","L.B.Sm.","A.P. Fontana/26-04-2009",NA,NA,NA,"A. P. Fontana; L. Kolmann, E. Leme & C. Esgario","5950","2009","04","26","Brasil","Espírito Santo","Vargem Alta","Córrego do Ouro. Mata","-41.004444","-20.687222",NA,"Erva epífita na sombra. Folhas verdes. Brácteas escapais e cálice rosaa, corola branca com ápice lilás.","MBML050656",NA,NA,NA,"41W0'16","20S41'14",NA,"643","643",NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-07-10 09:44:37-03","MBML","MBML-HERBARIO","26631",NA,"Plantae","Bromeliaceae","Portea","fosteriana","Portea fosteriana","L.B.Sm.","M.G.Wanderley & G.M.Sousa/1999",NA,NA,NA,"G. Martinelli; et al","15637","1999","08","10","Brasil","Espírito Santo","Santa Teresa","Estrada p/ Alto Santo Antônio","-40.6002998352051","-19.9356002807617","23813","Erva epífita ou rupícola, heliófila, folhas na face ventral verde, face dorsal verde com indumento argênteo; infl.verde-clara com escapo roseo, raque vermelho, brácteas primárias vermelhas com indumento alvacento, raque vermelho; pedic","MBML026631","auto",NA,NA,NA,NA,"MBML026631_1 MBML026631_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-02-25 10:11:29-03","CVRD","CVRD","12116","PreservedSpecimen","Plantae","Bromeliaceae","Portea","fosteriana","Portea fosteriana","L.B. Sm.","M.G. Wanderley & G.M. Sousa","1999","12","01","Martinelli, G.","15637","1999","08","10","BRASIL","ES","Santa Teresa",NA,"-40.6002998352051","-19.9356002807617","23813","<ll>dwc_commonname:</ll> Bromélia portea","CVRD012116","auto","Magnoliophyta","América do Sul",NA,NA,NA,NA,NA,"Liliopsida","Bromeliales",NA,NA,NA,NA,NA,NA
"20","2020-09-12 05:00:02-03","US","US","2538335","PreservedSpecimen","Plantae","Bromeliaceae","Portea","fosteriana","Portea fosteriana","L.B. Sm.",NA,NA,NA,NA,"A. C. Brade, -- Altamiro & -. Apparicio","18156","1946","5","11","Brazil","Espírito Santo",NA,"Municipio de Itaguassú - Alto Limoeiro.",NA,NA,NA,NA,NA,NA,NA,"South America - Neotropics",NA,NA,NA,NA,NA,"Monocotyledonae","Bromeliales","1",NA,NA,NA,NA,NA
