"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","typeStatus","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","1921018","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Newtonia","glaziovii","Newtonia glaziovii","(Harms) Burkart","G. G. Hatschbach","20231","1968","11","07","South America","Brazil","Paraná","Morretes","Rio Sagrado de Cima","-48.8342","-25.4769","200","200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2181541' target='other'> <mi>dwc_moreinfo</mi></a>","NY01921018","NY01921018_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","459524","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Pseudopiptadenia","warmingii","Pseudopiptadenia warmingii","(Benth.) G.P.Lewis & M.P.Lima","A. F. M. Glaziou",NA,NA,NA,NA,"South America","Brazil","Minas Gerais",NA,"Ad Duro Branco, in paludosis [=In paludosis ad Ouro Branco, Minas Gerais]",NA,NA,NA,NA,"sheet","Reçu le 16 juillet 1883 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=533346' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459524","NY00459524_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","459529","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Pseudopiptadenia","warmingii","Pseudopiptadenia warmingii","(Benth.) G.P.Lewis & M.P.Lima","T. S. dos Santos","3060","1975","10","09","South America","Brazil","Bahia",NA,"Km 3 a 8 do ramal que liga o km 41 à Lomanto Jr.",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=533340' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459529","NY00459529_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","459537","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Pseudopiptadenia","warmingii","Pseudopiptadenia warmingii","(Benth.) G.P.Lewis & M.P.Lima","G. G. Hatschbach","17907","1967","11","21","South America","Brazil","Paraná","Paranaguá","Picadao Cambará - Col. Limeira","-48.5092","-25.5203","30","200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=533337' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459537","NY00459537_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","459527","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Pseudopiptadenia","warmingii","Pseudopiptadenia warmingii","(Benth.) G.P.Lewis & M.P.Lima","A. Gehrt","34395","1935","10","21","South America","Brazil","São Paulo","Sao Paulo","Parque da Avenida Paulista","-46.63","-23.54",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=533343' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459527","NY00459527_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","459531","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Pseudopiptadenia","warmingii","Pseudopiptadenia warmingii","(Benth.) G.P.Lewis & M.P.Lima","R. P. Belém","1426","1965","07","29","South America","Brazil","Bahia",NA,"Rodovia Camacan-Itabuna",NA,NA,NA,NA,"sheet","colecao de madeira <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=533345' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459531","NY00459531_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","459528","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Pseudopiptadenia","warmingii","Pseudopiptadenia warmingii","(Benth.) G.P.Lewis & M.P.Lima","A. F. M. Glaziou","11924",NA,NA,NA,"South America","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,"sheet","Reçu le 12 mai 1881 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=533339' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459528","NY00459528_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","459535","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Pseudopiptadenia","warmingii","Pseudopiptadenia warmingii","(Benth.) G.P.Lewis & M.P.Lima","G. G. Hatschbach","17907","1967","11","21","South America","Brazil","Paraná","Paranaguá","Picadao Cambará - Col. Limeira","-48.5092","-25.5203","30","200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=533335' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459535","NY00459535_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","459526","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Pseudopiptadenia","warmingii","Pseudopiptadenia warmingii","(Benth.) G.P.Lewis & M.P.Lima","A. Gehrt","34395","1935","10","21","South America","Brazil","São Paulo","Sao Paulo","Parque da Avenida Paulista","-46.63","-23.54",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=533342' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459526","NY00459526_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","459530","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Pseudopiptadenia","warmingii","Pseudopiptadenia warmingii","(Benth.) G.P.Lewis & M.P.Lima","R. P. Belém","1426","1965","07","29","South America","Brazil","Bahia",NA,"Rodovia Camacan-Itabuna",NA,NA,NA,NA,"sheet","colecao de madeira <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=533341' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459530","NY00459530_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","1015512","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Pseudopiptadenia","warmingii","Pseudopiptadenia warmingii","(Benth.) G.P.Lewis & M.P.Lima","N. L. de A. Nunes","2","2000","03","13","South America","Brazil","Rio de Janeiro","Miguel Pereira","Vera Cruz.","-43.3897","-22.4825",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1106758' target='other'> <mi>dwc_moreinfo</mi></a>","NY01015512","NY01015512_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","459533","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Pseudopiptadenia","warmingii","Pseudopiptadenia warmingii","(Benth.) G.P.Lewis & M.P.Lima","G. G. Hatschbach","30922","1972","12","06","South America","Brazil","Paraná","Guaraqueçaba","Rio Vermelho","-48.3289","-25.3069",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=533338' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459533","NY00459533_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","459532","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Pseudopiptadenia","warmingii","Pseudopiptadenia warmingii","(Benth.) G.P.Lewis & M.P.Lima","R. P. Belém","1426","1965","07","29","South America","Brazil","Bahia",NA,"Rodovia Camacan-Itabuna",NA,NA,NA,NA,"sheet","colecao de madeira <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=533333' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459532","NY00459532_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","1018220","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Pseudopiptadenia","warmingii","Pseudopiptadenia warmingii","(Benth.) G.P.Lewis & M.P.Lima","H. C. de Lima","4982","1995","01","11","South America","Brazil","Rio de Janeiro","Silva Jardim","Reserva Biológica Poço das Antas. Estrada p/Juturnaiba, a km da porteira. Área FP 031.","-42.28333","-22.525",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1251616' target='other'> <mi>dwc_moreinfo</mi></a>","NY01018220","NY01018220_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
