"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","imagecode","geoFlag","fieldNumber","year","month","day","minimumElevationInMeters","preparationType","occurrenceRemarks"
"1","2020-12-21 16:32:30-03","MBM","MBM","118950","PreservedSpecimen","Plantae","Malpighiaceae","Banisteriopsis","pseudojanusia","Banisteriopsis pseudojanusia","(Nied.) B. Gates","Anderson, W.R.","Britez, R.M.; et al.; et al.","273","Southern America","Brazil","Paraná","São Mateus do Sul","Fazenda doDurgo","-50.3828010559082","-25.8742008209229","31353","MBM118950","MBM118950","auto",NA,NA,NA,NA,NA,NA,NA
"2","2018-03-30 19:13:47-03","MNHN","RECOLNAT_MNHN_P","P04770997","PreservedSpecimen",NA,"Malpighiaceae","Banisteriopsis","pseudojanusia","Banisteriopsis pseudojanusia","(Nied.) B.Gates",NA,"Reitz|Klein",NA,NA,"Brasil","Santa Catarina","Porto União",NA,"-51.0783004760742","-26.2381000518799","41804","P04770997","P04770997_01","auto","12424","1962","2","25","750","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04770997' target='other'> <mi>dwc_moreinfo</mi></a>"
