"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","continentOcean","country","stateProvince","relatedCatalogItem","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","recordNumber","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","locality","phylum","minimumElevationInMeters","maximumElevationInMeters","individualCount","preparationType","fieldNumber"
"1","2020-02-08 08:46:20-03","NBC","NL-BOTANY","U.1459776","PreservedSpecimen","Plantae","Magnoliopsidae","Asparagales","Orchidaceae","Habenaria","exaltata","Habenaria exaltata","Barb.Rodr.","Pabst GFJ","Hatschbach GG","1964","02","09","Southern America","Brazil","Paraná","U 0256177","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1459776 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1459776","NL-U1459776",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 08:46:20-03","NBC","NL-BOTANY","U.1459777","PreservedSpecimen","Plantae","Magnoliopsidae","Asparagales","Orchidaceae","Habenaria","exaltata","Habenaria exaltata","Barb.Rodr.","Pabst GFJ","Trinta ZA","1966","01","25","Southern America","Brazil","Rio Grande do Sul","U 0256176","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1459777 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1459777","NL-U1459777","1967","05","04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-31 13:40:59-03","MN","R","221256","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","exaltata","Habenaria exaltata","Barb. Rodr.","Pabst, G.F.J.","Emmerich, M.","1968","03","31",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,"1968","06","06","3174",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-31 13:40:59-03","MN","R","28724","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","exaltata","Habenaria exaltata","Barb. Rodr.","Batista, J.A.N.","Dúsen, P.K.H.","1904","01","26",NA,"Brasil","Paraná",NA,NA,NA,NA,"1998","11",NA,"3272","Curitiba","-49.2731018066406","-25.4277992248535","25180","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-08-16 08:40:23-03","UTFPR","HCF","11877","S","Plantae",NA,NA,"Orchidaceae","Habenaria","exaltata","Habenaria exaltata","Barb.Rodr.","J. Cordeiro","M.G. Caxambu","2013","04","26",NA,"Brasil","PR",NA,"erva ereta, ciófila, ca. 0,50 m. Flores verdes. Interior de capão.",NA,NA,"2013",NA,NA,"4606","Campo Mourão","-52.385722","-23.991694",NA,NA,"52°23'08,6 W","23°59'30,1 S",NA,NA,NA,NA,NA,NA,NA
"6","2020-12-21 16:38:30-03","MBM","MBM","7781","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","exaltata","Habenaria exaltata","Barb. Rodr.","Batista, J.A.N.","Hatschbach, G.","1968","01","18","Southern America","Brazil","Paraná",NA,NA,"MBM007781","MBM007781",NA,NA,NA,"18323","Guarapuava","-51.4580993652344","-25.395299911499","53832","auto",NA,NA,"Posto Agro-pecuário",NA,NA,NA,NA,NA,NA
"7","2020-12-21 16:38:30-03","MBM","MBM","2207","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","exaltata","Habenaria exaltata","Barb. Rodr.","Pabst, G.","Hatschbach, G.","1967","02","03","Southern America","Brazil","Paraná",NA,NA,"MBM002207","MBM002207",NA,NA,NA,"15962","Curitiba","-49.2731018066406","-25.4277992248535","25180","auto",NA,NA,"Rio Iguaçu",NA,NA,NA,NA,NA,NA
"8","2020-12-21 16:38:30-03","MBM","MBM","49662","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","exaltata","Habenaria exaltata","Barb. Rodr.","Pabst, G.","Hatschbach, G.","1964","02","09","Southern America","Brazil","Paraná",NA,NA,"MBM049662","MBM049662",NA,NA,NA,"10946","Quatro Barras","-49.0769004821777","-25.3656005859375","17116","auto",NA,NA,"Quatro Barras",NA,NA,NA,NA,NA,NA
"9","2020-12-21 16:38:30-03","MBM","MBM","49700","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","exaltata","Habenaria exaltata","Barb. Rodr.","Batista, J.A.N.","Hatschbach, G.","1966","02","08","Southern America","Brazil","Paraná",NA,NA,"MBM049700","MBM049700",NA,NA,NA,"13773","São Mateus do Sul","-50.3828010559082","-25.8742008209229","31353","auto",NA,NA,"Vila Santana",NA,NA,NA,NA,NA,NA
"10","2020-12-11 11:44:37-03","UFMG","BHCB","102888","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","exaltata","Habenaria exaltata","Barb.Rodr.",NA,"Trinta, ZA","1966","01","25","Southern America","Brasil","Rio Grande do Sul",NA,"Brejo, flor verde, labelo amarelo.",NA,NA,NA,NA,NA,"1204",NA,NA,NA,NA,NA,NA,NA,"Entre Erval e Pedras Altas","Monocotyledon",NA,NA,NA,NA,NA
"11","2020-12-11 11:44:37-03","UFMG","BHCB","120201","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","exaltata","Habenaria exaltata","Barb.Rodr.",NA,"Batista, JAN; Ribas, OS; Morais da Silva, J","2008","02","04","Southern America","Brasil","Paraná",NA,"Erva terrestre. Pouco comum, observado este único exemplar. Em plena floração.; na margem de brejo, crescendo na base de Eriocauláceas de grande porte. Solo argiloso, escuro, instável, com água sobre a superfície","BHCB001922","BHCB001922","2008","02","04","2520",NA,"-49.056333","-25.402778",NA,NA,"-49.056333","-25.402778","Piraquara, na estrada Borda do Campo-Piraquara, próximo a Borda do Campo","Monocotyledon","905","905",NA,NA,NA
