"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","typeStatus","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","dayIdentified","fieldNumber","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","568905","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Rhynchospora","biflora","Rhynchospora biflora","Boeckeler","W. W. Thomas","M. Alves","1781","1999","01","07","South America","Brazil","São Paulo","Peruíbe","Estaçao Ecológica Juréia-Itains, trilha do morrinho.","-46.99","-24.32","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=495305' target='other'> <mi>dwc_moreinfo</mi></a>","NY00568905","NY00568905_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","568907","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Rhynchospora","biflora","Rhynchospora biflora","Boeckeler","W. W. Thomas","M. Alves","1798","2000","01","14","South America","Brazil","São Paulo","Santo André","Reserva de Paranapiacaba.","-46.5297","-23.66","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=495307' target='other'> <mi>dwc_moreinfo</mi></a>","NY00568907","NY00568907_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","3785679","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Rhynchospora","biflora","Rhynchospora biflora","Boeckeler",NA,"T. C. Plowman","13589","1984","04","15","South America","Venezuela","Amazonas","Mun. Río Negro","Cerro de La Neblina, ridge at divide between Brazil & Venezuela, 26 km ENE of Neblina base camp","-65.93333333","0.883333333","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4161326' target='other'> <mi>dwc_moreinfo</mi></a>","NY03785679","NY03785679_01","2000","2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","668334","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Rhynchospora","biflora","Rhynchospora biflora","Boeckeler","W. W. Thomas","G. G. Hatschbach","14588","1966","08","12","South America","Brazil","Paraná",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=56620' target='other'> <mi>dwc_moreinfo</mi></a>","NY00668334","NY00668334_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","568895","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Rhynchospora","biflora","Rhynchospora biflora","Boeckeler","W. W. Thomas","B. D. Sucre","2245","1968","01","28","South America","Brazil","Rio de Janeiro",NA,"Petrópolis, Rocio.","-43.245074","-22.475577","sheet","Jardim Botânico do Rio de Janeiro <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=495295' target='other'> <mi>dwc_moreinfo</mi></a>","NY00568895","NY00568895_01","700","700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","612863","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Rhynchospora","biflora","Rhynchospora biflora","Boeckeler","M. Barros","R. Reitz","7749","1958","12","10","South America","Brazil","Santa Catarina",NA,"Curral Falso, Bom Jardim, S. Joaquim.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=637546' target='other'> <mi>dwc_moreinfo</mi></a>","NY00612863","NY00612863_01","1500","1500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","686426","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Rhynchospora","biflora","Rhynchospora biflora","Boeckeler","L. T. Eiten","A. C. Brade","20959","1951","05","12","South America","Brazil","São Paulo",NA,"Serra da Bocaina","-44.678829","-22.840477","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=834149' target='other'> <mi>dwc_moreinfo</mi></a>","NY00686426","NY00686426_01","1650","1650",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","686424","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Rhynchospora","biflora","Rhynchospora biflora","Boeckeler","L. T. Eiten","A. C. Brade","20789","1951","04","29","South America","Brazil","São Paulo",NA,"Serra da Bocaina","-44.678829","-22.840477","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=834146' target='other'> <mi>dwc_moreinfo</mi></a>","NY00686424","NY00686424_01","1650","1650",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","686427","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Rhynchospora","biflora","Rhynchospora biflora","Boeckeler","T. M. Koyama","L. B. Smith","7326","1956","11","06","South America","Brazil","Santa Catarina","Campo Alegre","4 km south of Campo Alegre on the road to Jaraguá do Sul","-49.2656","-26.1925","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=834151' target='other'> <mi>dwc_moreinfo</mi></a>","NY00686427","NY00686427_01","900","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","884561","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Rhynchospora","biflora","Rhynchospora biflora","Boeckeler",NA,"A. C. Brade","19285","1948","08","13","South America","Brazil","Espírito Santo","Castelo","Braço do Sul - Forno","-41.091417","-20.483564","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=961552' target='other'> <mi>dwc_moreinfo</mi></a>","NY00884561","NY00884561_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
