"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","recordNumber","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","typeStatus","relatedCatalogItem","individualCount","fieldNumber","infraspecificEpithet","previousCatalogNumber","sex"
"1","2021-04-05 14:25:16-03","UNESC","CRI","2698","PreservedSpecimen","Plantae","Fabaceae","Cochliasanthus","caracalla","Cochliasanthus caracalla","(L.) Trew","A. Burkat","1963","04","12","R. Reitz; R. Klein","1963","04","12","Brasil","Santa Catarina","Capinzal","Lacerdópolis","-51.556944","-27.261389","51º33'25''W","27º15'41''S","717","717","Fruto imaturo com vagem verde Habito: Liana","CRI012940","CRI012940",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:26-03","UNESC","CRI","12428","PreservedSpecimen","Plantae","Leguminosae","Leptospron","adenanthum","Leptospron adenanthum","(G. Mey.) A. Delgado","Peterson T. Padilha & Renato Colares","2017","07","18","Alexandre Medeiros","2017","04","20","Brasil","Santa Catarina","Balneário Camboriú","Praia do Estaleiro.","-48.585","-27.023333","48º35'6''W","27º1'24''S",NA,NA,"Coleta 106. Habito: Trepadeira","CRI010635","CRI010635",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:32-03","UNESC","CRI","10029","PreservedSpecimen","Plantae","Fabaceae","Vigna","adenantha","Vigna adenantha","(G.Mey.) Maréchal et al.","J. Durigon",NA,NA,NA,"M. Verdi; B.O. Boeni","2012","02","10","Brasil","Rio Grande do Sul","Muitos Capões","Muitos Capões.","-51.183889","-28.313611","51º11'2''W","28º18'49''S","925","925","Fom - Estepe Habitat: margem do rio Habito: liana","CRI003170","CRI003170","6180",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","02687476","PreservedSpecimen","Plantae","Fabaceae","Cochliasanthus","caracalla","Cochliasanthus caracalla","(L.) Trew","W. M.B. São-Mateus",NA,NA,NA,"W. M.B. São-Mateus","2012","04","14","Brazil","Rio Grande do Norte","Martins","Localidade de seu Clesinho","-37.937778","-6.064722",NA,NA,"720",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2953253' target='other'> <mi>dwc_moreinfo</mi></a>","NY02687476","NY02687476_01","118","Magnoliophyta","Fabales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","02099058","PreservedSpecimen","Plantae","Fabaceae","Cochliasanthus","caracalla","Cochliasanthus caracalla","(L.) Trew","W. M.B. São-Mateus",NA,NA,NA,"J. G. Jardim","2012","04","29","Brazil","Rio Grande do Norte","Martins","Sítio do Sr. Clesinho, entrada na saída para Umarizal, ca. 2 Km da entrada","-37.937583","-6.064417",NA,NA,"707",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2953288' target='other'> <mi>dwc_moreinfo</mi></a>","NY02099058","NY02099058_01","6215","Magnoliophyta","Fabales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","04034768","PreservedSpecimen","Plantae","Fabaceae","Leptospron","adenanthum","Leptospron adenanthum","(G.Mey.) A.Delgado",NA,NA,NA,NA,"P. Acevedo-Rodríguez","2017","09","03","Brazil","Mato Grosso do Sul","Corumbá","along road MS-184 north of Base de Estudo do Pantanal - UFMS","-57.0544","-19.3131",NA,NA,"88",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4337949' target='other'> <mi>dwc_moreinfo</mi></a>","NY04034768",NA,"16682","Magnoliophyta","Fabales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","04034762","PreservedSpecimen","Plantae","Fabaceae","Leptospron","adenanthum","Leptospron adenanthum","(G.Mey.) A.Delgado",NA,NA,NA,NA,"P. Acevedo-Rodríguez","2017","09","05","Brazil","Mato Grosso do Sul","Corumbá","along Paraguay River north of Corumbá","-57.6689","-18.945",NA,NA,"95",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4337943' target='other'> <mi>dwc_moreinfo</mi></a>","NY04034762",NA,"16718","Magnoliophyta","Fabales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1843618","PreservedSpecimen","Plantae","Fabaceae","Vigna","adenantha","Vigna adenantha","(G.Mey.) Maréchal, Mascherpa & Stainier",NA,NA,NA,NA,"J. da Costa Sacco","1955","03","08","Brazil","Rio Grande do Sul","Pelotas","I.A.S. - Pelotas","-52.3422","-31.7719",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2078085' target='other'> <mi>dwc_moreinfo</mi></a>","NY01843618","NY01843618_01","960","Magnoliophyta","Fabales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1843480","PreservedSpecimen","Plantae","Fabaceae","Vigna","adenantha","Vigna adenantha","(G.Mey.) Maréchal, Mascherpa & Stainier",NA,NA,NA,NA,"Y. E. J. Mexia","1930","02","05","Brazil","Minas Gerais","Carangola","About 2 km north of Fazenda da Gramma.","-42.0294","-20.7331",NA,NA,"900",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2076291' target='other'> <mi>dwc_moreinfo</mi></a>","NY01843480","NY01843480_01","4323","Magnoliophyta","Fabales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1144859","PreservedSpecimen","Plantae","Fabaceae","Vigna","adenantha","Vigna adenantha","(G.Mey.) Maréchal, Mascherpa & Stainier","L. P. de Queiroz",NA,NA,NA,"D. B. O. S. Cardoso","2005","09","22","Brazil","Bahia","Itaberaba","ARIE Serra do Orobó. Serra Um.","-40.5347","-12.4075",NA,NA,"960","960","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1299874' target='other'> <mi>dwc_moreinfo</mi></a>","NY01144859",NA,"820","Magnoliophyta","Fabales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","1843638","PreservedSpecimen","Plantae","Fabaceae","Vigna","adenantha","Vigna adenantha","(G.Mey.) Maréchal, Mascherpa & Stainier",NA,NA,NA,NA,"C. Moura","1961","04","30","Brazil","São Paulo","Ubatuba","Praia de Pereque","-45.0697","-23.4303",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2078556' target='other'> <mi>dwc_moreinfo</mi></a>","NY01843638","NY01843638_01","1","Magnoliophyta","Fabales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","1843574","PreservedSpecimen","Plantae","Fabaceae","Vigna","adenantha","Vigna adenantha","(G.Mey.) Maréchal, Mascherpa & Stainier","D. G. Debouck",NA,NA,NA,"B. G. S. Ribeiro","1976","02","10","Brazil","Maranhão",NA,"Maracaçumé- Terreno pertencente a Mesbla",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2077801' target='other'> <mi>dwc_moreinfo</mi></a>","NY01843574","NY01843574_01","1309","Magnoliophyta","Fabales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","1843578","PreservedSpecimen","Plantae","Fabaceae","Vigna","adenantha","Vigna adenantha","(G.Mey.) Maréchal, Mascherpa & Stainier","D. G. Debouck",NA,NA,NA,"G. Eiten","1968","08","24","Brazil","Mato Grosso","Barra do Garças","City of Xavantina on the Rio das Mortes. River shore at ferry point.","-52.35","-14.7",NA,NA,"450","450","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2077806' target='other'> <mi>dwc_moreinfo</mi></a>","NY01843578","NY01843578_01","8308","Magnoliophyta","Fabales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","1843633","PreservedSpecimen","Plantae","Fabaceae","Vigna","adenantha","Vigna adenantha","(G.Mey.) Maréchal, Mascherpa & Stainier",NA,NA,NA,NA,"J. Conrad","1974","01","06","Brazil","Santa Catarina",NA,"45° - 75° hill slope 5 km N of Itajuba.",NA,NA,NA,NA,"100","150","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2078549' target='other'> <mi>dwc_moreinfo</mi></a>","NY01843633","NY01843633_01","2102","Magnoliophyta","Fabales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
