"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","coordinatePrecision","geoFlag","phylum","continentOcean","imagecode","fieldNumber","preparationType","class","order","typeStatus","minimumElevationInMeters","maximumElevationInMeters","individualCount","relatedCatalogItem","previousCatalogNumber"
"1","2021-01-06 11:42:46-03","UFPI-MRV","HDELTA","5795","PreservedSpecimen","Plantae","Rutaceae","Pilocarpus","jaborandi","Pilocarpus jaborandi","Holmes","Bittencourt, C.B.","2019","07","11","Bittencourt, C.B.; Andrade, I.M.","6","2019","06","14","Brasil","Ceará","Viçosa do ceará","Juá dos Vieiras","-41.283083","-3.523","41°16'59,10w","3°31'22,80''s","Região de serra <ll>dwc_commonname:</ll> Jaborandi","HDELTA005795",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-01-06 11:42:46-03","UFPI-MRV","HDELTA","5798","PreservedSpecimen","Plantae","Rutaceae","Pilocarpus","jaborandi","Pilocarpus jaborandi","Holmes","Bittencourt, C.B.","2019","07","11","Bittencourt, C.B.; Andrade, I.M.","7","2019","06","14","Brasil","Ceará","Viçosa do ceará","Saco","-41.317556","-3.584278","41°19'03,20w","3°35'03,40''s","Região de serra <ll>dwc_commonname:</ll> Jaborandi","HDELTA005798",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2013-09-13 13:19:52-03","EBDA","BAH","2090","S","Plantae","Rutaceae","Pilocarpus","jaborandi","Pilocarpus jaborandi","Holmes","Hermínia Freitas Souza","1978","03",NA,"Luciano Figueredo",NA,"1978","03","06","Brasil","Bahia","Morro do Chapéu",NA,"-41.1561","-11.55",NA,NA,"IMPORT. PLANTA: Tem óleos essenciais nas folhas e frutos. Há referência da presença de alcalóides como:Pilocarpina,Pilocarpinina,Jaborandina. A Pilocarpina tem ação de contração na mucosa uterina, intestinal, nasal,etc.podendo ser antagonizada pela Atropi",NA,"98143","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2013-09-13 13:19:52-03","EBDA","BAH","8515","S","Plantae","Rutaceae","Pilocarpus","jaborandi","Pilocarpus jaborandi","Holmes",NA,"1988","06",NA,"Berenice C. Bastos","821","1988","03","18","Brasil","Bahia","Morro do Chapéu","Fazenda Fedegoso","-41.1561","-11.55",NA,NA,"IMPORT. PLANTA: Medicinal; um dos principais alcalóides empregado na medicina é extraído do jaborandi, é a pilocarpina. É potente sudorífico indicado no tratamento do reumatismo e artrite. É também empregado em dermatologia no tratamento de queda de cabel",NA,"98143","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2013-09-13 13:19:52-03","EBDA","BAH","9917","S","Plantae","Rutaceae","Pilocarpus","jaborandi","Pilocarpus jaborandi","Holmes","Neves, M. Fagundes","2002","05",NA,"Adriano G. Filho",NA,"2002","05","22","Brasil","Bahia","Mundo Novo",NA,"-40.4725","-11.8589",NA,NA,NA,NA,"50681","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-22 17:46:35-03","UFPI","TEPB","6702","PreservedSpecimen","Plantae","Rutaceae","Pilocarpus","jaborandi","Pilocarpus jaborandi","Holmes",NA,NA,NA,NA,"G. C. PEREIRA PINTO",NA,"1983","11","12","Brasil","Bahia","Cruz das Almas","Reserva Florestal-IBF","-39.1018981933594","-12.6700000762939",NA,NA,"<ll>dwc_commonname:</ll> Jaborandi",NA,"14660","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-22 17:46:35-03","UFPI","TEPB","10144","PreservedSpecimen","Plantae","Rutaceae","Pilocarpus","jaborandi","Pilocarpus jaborandi","Holmes",NA,NA,NA,NA,"R. F. VIEIRA",NA,"1991","07","24","Brasil","Pará","Moju",NA,"-48.7689018249512","-1.88389003276825",NA,NA,"<ll>dwc_commonname:</ll> Jaborandi",NA,"186920","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-02-15 11:50:00-02","IPA","IPA","76766","S","Plantae","Rutaceae","Pilocarpus","jaborandi","Pilocarpus jaborandi","Holmes",NA,NA,NA,NA,"Lima, D.P.","13275","1974","06","13","Brasil","Bahia","Barra","Fazenda Boca da Picada","-43.1417007446289","-11.0894002914429",NA,NA,NA,"IPA0076766","116121","auto","Plantae","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-02-15 11:50:00-02","IPA","IPA","90300","S","Plantae","Rutaceae","Pilocarpus","jaborandi","Pilocarpus jaborandi","Holmes","Equipe do Herbário-IPA","2015","06",NA,"Costa, T.L. da; Chagas, M.A.; Chagas, M.A.","74","2015","04","17","Brasil","Ceará","Araripe","Chapada do Araripe, Serra de São Vicente.","-40.0461006164551","-7.21250009536743",NA,NA,"Material em estudo na UFRPE, doutorado em Botânica - Investigação de Capacidade de Fixação de Nitrogênio - da aluna Tânia Lucia da Costa, sob a orientação do Prof. Everardo Valadares de Sá Barreto Sampaio.; Árvore ca. 3 m de altura.","IPA0090300","24561","auto","Plantae","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-11-27 13:52:43-03","UFS","ASE","17027","PreservedSpecimen","Plantae","Rutaceae","Pilocarpus","jaborandi","Pilocarpus jaborandi","Holmes","Groppo, M","2014","06","25","Fernandes, A; Fernandes, A","ASE17027","1976","09","06","Brasil","Ceará","Alcantâras","Algodões","-40.545278","-3.588889","-40.545278","-3.588889","Arbusto; Arbusto","ASE0023729",NA,NA,"Magnoliophyta","Southern America","ASE0023729",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
