"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","verbatimLongitude","verbatimLatitude","day","yearIdentified","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","414838","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Cirrhaea","longiracemosa","Cirrhaea longiracemosa","Hoehne","F. C. Hoehne","F. C. Hoehne","24486","1930","12","South America","Brazil","São Paulo","Sao Paulo","Sao Paulo capital","-46.63","-23.5403","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=708984' target='other'> <mi>dwc_moreinfo</mi></a>","NY00414838","NY00414838_01",NA,NA,NA,NA,NA
"2","2016-07-05 11:14:16-03","FFCLRP","LBMBP","174","S","Plantae",NA,NA,"Orchidaceae","Cirrhaea","longiracemosa","Cirrhaea longiracemosa","Hoehne","E.R. Pansarin","E.R. Pansarin",NA,NA,NA,NA,"Brasil","São Paulo","Ubatuba",NA,"-45.066667","-23.433333",NA,NA,NA,NA,"45°04'W","23°26'S",NA,NA,NA
"3","2016-07-05 11:14:16-03","FFCLRP","LBMBP","199","S","Plantae",NA,NA,"Orchidaceae","Cirrhaea","longiracemosa","Cirrhaea longiracemosa","Hoehne","E.R. Pansarin","L.M.Pansarin",NA,NA,NA,NA,"Brasil","Espírito Santo","Santa Teresa",NA,"-40.6","-19.933333",NA,NA,NA,NA,"40°36'W","19°56'S",NA,NA,NA
"4","2016-07-05 11:14:16-03","FFCLRP","LBMBP","206","S","Plantae",NA,NA,"Orchidaceae","Cirrhaea","longiracemosa","Cirrhaea longiracemosa","Hoehne","E.R. Pansarin","L.M.Pansarin",NA,NA,NA,NA,"Brasil","Espírito Santo","Santa Teresa",NA,"-40.6","-19.933333",NA,NA,NA,NA,"40°36'W","19°56'S",NA,NA,NA
"5","2016-07-05 11:14:16-03","FFCLRP","LBMBP","219","S","Plantae",NA,NA,"Orchidaceae","Cirrhaea","longiracemosa","Cirrhaea longiracemosa","Hoehne","E.R. Pansarin","E.R. Pansarin",NA,NA,NA,NA,"Brasil","Espírito Santo","Santa Teresa",NA,"-40.6","-19.933333",NA,NA,NA,NA,"40°36'W","19°56'S",NA,NA,NA
"6","2016-07-05 11:14:16-03","FFCLRP","LBMBP","227","S","Plantae",NA,NA,"Orchidaceae","Cirrhaea","longiracemosa","Cirrhaea longiracemosa","Hoehne","E.R. Pansarin","L.M.Pansarin",NA,NA,NA,NA,"Brasil","Espírito Santo","Santa Teresa",NA,"-40.6","-19.933333",NA,NA,NA,NA,"40°36'W","19°56'S",NA,NA,NA
"7","2016-07-05 11:14:16-03","FFCLRP","LBMBP","232","S","Plantae",NA,NA,"Orchidaceae","Cirrhaea","longiracemosa","Cirrhaea longiracemosa","Hoehne","E.R. Pansarin","L.M.Pansarin",NA,NA,NA,NA,"Brasil","Espírito Santo","Santa Teresa",NA,"-40.6","-19.933333",NA,NA,NA,NA,"40°36'W","19°56'S",NA,NA,NA
"8","2016-07-05 11:14:16-03","FFCLRP","LBMBP","259","S","Plantae",NA,NA,"Orchidaceae","Cirrhaea","longiracemosa","Cirrhaea longiracemosa","Hoehne","E.R. Pansarin","E.R. Pansarin",NA,NA,NA,NA,"Brasil","Espírito Santo","Santa Teresa",NA,"-40.6","-19.933333",NA,NA,NA,NA,"40°36'W","19°56'S",NA,NA,NA
"9","2020-07-10 09:48:12-03","MBML","MBML-HERBARIO","22170",NA,"Plantae",NA,NA,"Orchidaceae","Cirrhaea","longiracemosa","Cirrhaea longiracemosa","Hoehne","A. P. Fontana 28-03-2004","A. P. Fontana; et al","362","2002","06",NA,"Brasil","Espírito Santo","Santa Teresa","São Lourenço","-40.620556","-19.931111",NA,"Epífita sobre árvore caída; florida em 23/12/2003; flores c/ sépalas c/ ápice verde amarronsado c/ margens viradas para trás e dorsal c/ meio concavo; pétalas e coluna verde cana, antera amarela; labelo verde cana c/ centro e parte dos","MBML022170","MBML022170","40W37'14","19S55'52","09",NA,NA
"10","2017-09-14 11:24:18-03","MBML","MBML-HERBARIO","4311",NA,"Plantae",NA,NA,"Orchidaceae","Cirrhaea","longiracemosa","Cirrhaea longiracemosa",NA,NA,"H. Q. Boudet Fernandes","2250","1987","11",NA,"Brasil","Espírito Santo","Santa Teresa","Museu de Biologia (Procedência desconhecida)","-40.616667","-19.936111",NA,"Álcool","MBML004311",NA,"40W36'60","19S56'10","10",NA,NA
"11","2020-07-10 09:48:12-03","MBML","MBML-HERBARIO","8355",NA,"Plantae",NA,NA,"Orchidaceae","Cirrhaea","longiracemosa","Cirrhaea longiracemosa","Hoehne","L. Kollmann/08-04-2004","L. Kollmann; E. Bausen & W. Pizziolo","1026","1998","11",NA,"Brasil","Espírito Santo","Santa Teresa","Santo Antônio","-40.589167","-19.922222",NA,"Lado do Vale Canaã. Planta terrestre na sombra. Labelo e pétalas amarelos. Sépalas marrons amareladas.","MBML008355","MBML008355","40W35'21","19S55'20","17",NA,NA
"12","2019-11-21 10:13:02-03","IBt","SP","24486","S","Plantae",NA,NA,"Orchidaceae","Cirrhaea","longiracemosa","Cirrhaea longiracemosa","Hoehne","Hoehne, FC","Hoehne, FC","s.n.","1930","12",NA,"Brasil","Santa Catarina",NA,"Litoral. Cultivada no Jardim Botânico de São Paulo",NA,NA,NA,NA,"SP001992","SP001992",NA,NA,NA,"1933","Holotype"
