"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","recordNumber","occurrenceRemarks","phylum","order","typeStatus","continentOcean","preparationType","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2021-04-05 14:25:06-03","UNESC","CRI","5107","PreservedSpecimen","Plantae","Burseraceae","Protium","kleinii","Protium kleinii","Cuatrec.","Vanilde Citadini- Zanette","V. Citadini-Zanette","1996","09","20","Brasil","Santa Catarina","Urussanga","Santana.","-49.321111","-28.518333","49º19'16''W","28º31'6''S","300","300","CRI006442","CRI006442",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:22-03","UNESC","CRI","9473","PreservedSpecimen","Plantae","Burseraceae","Protium","kleinii","Protium kleinii","Cuatrec.","A. L. de Gasper","J. L. Schmitt; E. Caglioni, S. Andrade & C. Cristofolini","2009","11","21","Brasil","Santa Catarina","Treviso","Brasilia.","-49.498611","-28.443611","49º29'55''W","28º26'37''S","572","572","CRI006443","CRI006443","2009","12","05","759","Floresta Ombrófila Densa Habito: árvore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","345801","PreservedSpecimen","Plantae","Burseraceae","Protium","dusenii","Protium dusenii","Swart",NA,"P. K. H. Dusén","1914","07","20","Brazil","Paraná",NA,"Serra da Prata",NA,NA,NA,NA,"50","50","NY00345801",NA,NA,NA,NA,"15296","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=450870' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Sapindales","isotype","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1416210","PreservedSpecimen","Plantae","Burseraceae","Protium","kleinii","Protium kleinii","Cuatrec.","D. C. Daly","R. G. Udulutsch","2003","09","26","Brazil","São Paulo","Cananéia","Parque Estadual da Ilha do Cardoso.","-47.992538","-25.197304",NA,NA,NA,NA,"NY01416210",NA,NA,NA,NA,"2420","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3101259' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Sapindales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1309780","PreservedSpecimen","Plantae","Burseraceae","Protium","kleinii","Protium kleinii","Cuatrec.","D. C. Daly","J. de P. Coelho","1947","08","19","Brazil","São Paulo",NA,"Capital, Arboreto de Vila Amália.",NA,NA,NA,NA,NA,NA,"NY01309780",NA,NA,NA,NA,"s.n.","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1546302' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Sapindales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1416227","PreservedSpecimen","Plantae","Burseraceae","Protium","kleinii","Protium kleinii","Cuatrec.","D. C. Daly","R. G. Udulutsch","2003","01","24","Brazil","São Paulo","Cananéia","Parque Estadual Ilha do Cardoso.","-47.992538","-25.197304",NA,NA,NA,NA,"NY01416227",NA,NA,NA,NA,"1535","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3104647' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Sapindales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","776894","PreservedSpecimen","Plantae","Burseraceae","Protium","kleinii","Protium kleinii","Cuatrec.","J. R. Pirani","I. C. C. Macedo","1985","12","05","Brazil","São Paulo","Cananéia","Parque Estadual da Ilha do Cardoso. Coletado no Morro das Pedras","-47.966514","-25.140513",NA,NA,NA,NA,"NY00776894","NY00776894_01",NA,NA,NA,"62","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=18088' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Sapindales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","609132","PreservedSpecimen","Plantae","Burseraceae","Protium","kleinii","Protium kleinii","Cuatrec.","G. G. Hatschbach","G. G. Hatschbach","1969","11","11","Brazil","Paraná","Paranaguá","Encosta oriental, Pico Torto","-48.5092","-25.5203",NA,NA,"200","200","NY00609132","NY00609132_01",NA,NA,NA,"22870","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=18091' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Sapindales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","609138","PreservedSpecimen","Plantae","Burseraceae","Protium","kleinii","Protium kleinii","Cuatrec.","L. B. Smith","R. Reitz","1958","10","24","Brazil","Santa Catarina",NA,"Vargem Grande, Lauro Müller",NA,NA,NA,NA,"350","350","NY00609138","NY00609138_01 NY00609138_02",NA,NA,NA,"7473","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=18089' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Sapindales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","609133","PreservedSpecimen","Plantae","Burseraceae","Protium","kleinii","Protium kleinii","Cuatrec.","R. Reitz","R. Reitz","1959","09","17","Brazil","Santa Catarina",NA,"Mata da Companhia Hering, Bom Retiro, Blumenau","-49.082834","-26.926032",NA,NA,"250","250","NY00609133","NY00609133_01",NA,NA,NA,"4119","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=18082' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Sapindales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
