"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","recordNumber","day","yearIdentified","monthIdentified","dayIdentified","locality","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","coordinatePrecision","geoFlag","phylum","order","continentOcean","preparationType","infraspecificEpithet","class","relatedCatalogItem","relationshipType","previousCatalogNumber","individualCount","minimumDepthInMeters","maximumDepthInMeters","fieldNumber","typeStatus","sex"
"1","2021-04-05 14:34:08-03","UNESC","CRI","116","PreservedSpecimen","Plantae","Sapindaceae","Allophylus","edulis","Allophylus edulis","(A.St.-Hil. et al.) Hieron. ex Niederl.","Jorge Waechter","Vanilde Citadini-Zanette; Márcia Butuhy","1989","07","Brasil","Santa Catarina","Jaguaruna","-49.025833","-28.615556","49º1'33''W","28º36'56''S","CRI009621","CRI009621",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:34:08-03","UNESC","CRI","5194","PreservedSpecimen","Plantae","Sapindaceae","Allophylus","edulis","Allophylus edulis","(A.St.-Hil. et al.) Hieron. ex Niederl.","Vanilde Citadini-Zanette","Vanilde Citadini-Zanette; V. Boff e A. Gozçe","1996","09","Brasil","Santa Catarina","Lauro Muller","-49.396944","-28.393333","49º23'49''W","28º23'36''S","CRI009622","CRI009622","2345","19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:34:08-03","UNESC","CRI","2901","PreservedSpecimen","Plantae","Sapindaceae","Allophylus","edulis","Allophylus edulis","(A.St.-Hil. et al.) Hieron. ex Niederl.","R. Reitz","R. M. Klein","1961","11","Brasil","Santa Catarina","Itajaí","-48.662222","-26.908333","48º39'44''W","26º54'30''S","CRI009898","CRI009898","2.803","19","1980",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:34:08-03","UNESC","CRI","4128","PreservedSpecimen","Plantae","Sapindaceae","Allophylus","edulis","Allophylus edulis","(A.St.-Hil. et al.) Hieron. ex Niederl.","Marcos Sobral","V. Boff","1995","09","Brasil","Santa Catarina","Curitibanos","-50.584722","-27.283056","50º35'5''W","27º16'59''S","CRI009896","CRI009896","133","09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:34:08-03","UNESC","CRI","6727","PreservedSpecimen","Plantae","Sapindaceae","Allophylus","edulis","Allophylus edulis","(A.St.-Hil. et al.) Hieron. ex Niederl.","R. Reitz","R. Reitz; R. M. Klein","1960","10","Brasil","Santa Catarina","Rancho Queimado","-49.021944","-27.673056","49º1'19''W","27º40'23''S","CRI009625","CRI009625","10208","14","1980","01","01","Serra da Boa Vista.","1000","1000","Habito: arvoreta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:34:08-03","UNESC","CRI","5276","PreservedSpecimen","Plantae","Sapindaceae","Allophylus","edulis","Allophylus edulis","(A.St.-Hil. et al.) Hieron. ex Niederl.","Valdecir de Faveri","Valdecir de Faveri","1996","11","Brasil","Santa Catarina","Nova Veneza","-49.498056","-28.637222","49º29'53''W","28º38'14''S","CRI009623","CRI009623",NA,"16",NA,NA,NA,NA,"74","74","Habito: arbusto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:34:08-03","UNESC","CRI","6063","PreservedSpecimen","Plantae","Sapindaceae","Allophylus","edulis","Allophylus edulis","(A.St.-Hil. et al.) Hieron. ex Niederl.","Vanilde Citadini-Zanette","Vanilde Citadini-Zanette","1996","09","Brasil","Santa Catarina","Lauro Muller","-49.396944","-28.393333","49º23'49''W","28º23'36''S","CRI009895","CRI009895","2452","09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:34:08-03","UNESC","CRI","3879","PreservedSpecimen","Plantae","Sapindaceae","Allophylus","edulis","Allophylus edulis","(A.St.-Hil. et al.) Hieron. ex Niederl.","J. A. Jarenkow","J. A. Jarenkow","1988","10","Brasil","Rio Grande do Sul","Marcelino Ramos","-51.906667","-27.462222","51º54'24''W","27º27'44''S","CRI009897","CRI009897","951","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:26:05-03","UNESC","CRI","14270","PreservedSpecimen","Plantae","Sapindaceae","Allophylus","edulis","Allophylus edulis","(A.St.-Hil. et al.) Hieron. ex Niederl.","Cadorin, TJ","Cadorin, T.J.; Grosch, B. & Lopes, C.P.","2010","02","Brasil","Santa Catarina","Joinville","-49.14","-26.28","49º8'24''W","26º16'48''S","CRI013379","CRI013379","1196","02","2010","03","15","Rio Manso. Rio Manso.","770","770","Florística IFFSC e1025a - forófito 8 Habitat: Floresta Ombrófila Densa; Estágio Primário Habito: Fruto vermelho;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:26:05-03","UNESC","CRI","10610","PreservedSpecimen","Plantae","Sapindaceae","Allophylus","edulis","Allophylus edulis","(A.St.-Hil. et al.) Hieron. ex Niederl.","Vanilde Citadini-Zanette","Robson dos Santos; Vanilde Citadini-Zanette & Alexandre S. Klein","2000","09","Brasil","Santa Catarina","Praia Grande","-49.950278","-29.198611","49º57'1''W","29º11'55''S","CRI013713","CRI013713",NA,"08","2000","09","08","Aparados da Serra.",NA,NA,"Habito: Arbóreo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
