"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","individualCount","class","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","1034112","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Rudgea","erythrocarpa","Rudgea erythrocarpa","Müll.Arg.","P. G. Delprete","J. M. Felfili","264","1994","09","21","South America","Brazil","Distrito Federal","Brasília","Fazenda Agua Limpa.","-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1230286' target='other'> <mi>dwc_moreinfo</mi></a>","NY01034112","NY01034112_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1034113","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Rudgea","erythrocarpa","Rudgea erythrocarpa","Müll.Arg.","P. G. Delprete","H. S. Irwin","15614","1966","05","04","South America","Brazil","Distrito Federal","Brasília","Lower slopes of Chapada do Contagem, ca. 15 km N.E. of Brasília","-47.81771","-15.68745","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1230289' target='other'> <mi>dwc_moreinfo</mi></a>","NY01034113","NY01034113_01","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1034114","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Rudgea","erythrocarpa","Rudgea erythrocarpa","Müll.Arg.","P. G. Delprete","H. S. Irwin","26546","1970","02","23","South America","Brazil","Distrito Federal","Brasília","Ca. 10 km E. of Lago Paranoá, DF-6","-47.7274","-15.75885","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1230292' target='other'> <mi>dwc_moreinfo</mi></a>","NY01034114","NY01034114_01","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-12-12 15:31:50-03","UFABC","HUFABC","001009","PreservedSpecimen","Plantae","Angiospermas",NA,"Rubiaceae","Rudgea","erythrocarpa","Rudgea erythrocarpa","Müll.Arg.","Bruniera, C P","Bruniera, C P; Silva, W da","727","2012","03","30",NA,"Brasil","Rio de Janeiro","Nova Iguaçu","Tinguá REBIO do Tinguá. Trilha da Catanuda, subind, Floresta submontana e montana.","-43.416667","-22.583333",NA,"Prensagem em álcool 70%. Doação do herbário SPFR.; Arbusto ca. 1,7m alt. Folhas cartáceas, discolores, carnosas, venação não evidente na face adaxial. Frutos verdes-claros.","HUFABC001009","HUFABC001009",NA,NA,"-43.416667","-22.583333",NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-12-12 15:31:50-03","UFABC","HUFABC","001013","PreservedSpecimen","Plantae","Angiospermas",NA,"Rubiaceae","Rudgea","erythrocarpa","Rudgea erythrocarpa","Müll.Arg.","Bruniera, C P","Bruniera, C P; Silva, W da","726","2012","03","30",NA,"Brasil","Rio de Janeiro","Nova Iguaçu","Tinguá. REBIO do Tinguá. Trilha da Catanuda, subin, Floresta submontana e montana.","-43.416667","-22.583333",NA,"Prensagem em álcool 70%. Doação do herbário SPFR.; Arbusto ca. 3m alt. Folhas cartáceas, discolores, carnosas, venação não evidente na face adaxial. Frutos verdes-claros.","HUFABC001013","HUFABC001013",NA,NA,"-43.416667","-22.583333",NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-12-12 15:31:50-03","UFABC","HUFABC","001014","PreservedSpecimen","Plantae","Angiospermas",NA,"Rubiaceae","Rudgea","erythrocarpa","Rudgea erythrocarpa","Müll.Arg.","Bruniera, C P","Bruniera, C P; Silva, W da","725","2012","03","30",NA,"Brasil","Rio de Janeiro","Nova Iguaçu","Tinguá. REBIO do Tinguá. Trilha da Catanuda, subin, Floresta submontana e montana.","-43.416667","-22.583333",NA,"Prensagem em álcool 70%; Arbusto ca. 2,5m alt. Folhas cartáceas, discolores, carnosas, venação não evidente na face adaxial. Frutos verdes-claros.","HUFABC001014","HUFABC001014",NA,NA,"-43.416667","-22.583333",NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-11-19 14:09:21-03","UFRPE","PEUFR","26235","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Rudgea","erythrocarpa","Rudgea erythrocarpa","Müll. Arg. ","D. Zappi","E.M.N. Ferraz; A. G. Bispo","293","1998","05","19",NA,"Brasil","Pernambuco","São Vicente Férrer","Mata do Estado","-35.5","-7.583333",NA,"Arbusto cerca de 1,5m de altura. Flores brancas.","PEUFR026235",NA,"600","600","35°30'00''W","07°35'00''S","2000","12","07",NA,NA,NA,NA,NA
"8","2019-11-19 14:09:21-03","UFRPE","PEUFR","26278","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Rudgea","erythrocarpa","Rudgea erythrocarpa","Müll. Arg. ","D. Zappi","A. Laurênio; E.M.N. Ferraz; M.F.A. Lucena; M.J.N. Rodal","829","1998","03","09",NA,"Brasil","Pernambuco","São Vicente Férrer","Mata do Estado","-35.5","-7.583333",NA,"Arbusto cerca de 4m de altura. Cálice verde.","PEUFR026278",NA,"600","600","35°30'00''W","07°35'00''S","2000","12","07",NA,NA,NA,NA,NA
"9","2020-06-29 09:32:02-03","UFRRJ","RBR","8410","S","Plantae",NA,NA,"Rubiaceae","Rudgea","erythrocarpa","Rudgea erythrocarpa","Müll.Arg.","M. Gomes","M.M.S. Conde","464","1996","05","14",NA,"Brasil","Rio de Janeiro","Nova Iguaçu","Reserva Biológica do Tinguá, Estrada Barrelão-Reunião, dentro da mata. Reserva Biológica do Tinguá","-43.451099395752","-22.7591991424561",NA,NA,"RBR00008410",NA,NA,NA,NA,NA,"2006","10","09","25743","auto",NA,NA,NA
"10","2020-06-29 09:32:02-03","UFRRJ","RBR","25893","S","Plantae",NA,NA,"Rubiaceae","Rudgea","erythrocarpa","Rudgea erythrocarpa","Müll.Arg.","M. Gomes","I.M. Silva","410","1995","08","22",NA,"Brasil","Rio de Janeiro","Nova Iguaçu","Reserva Biológica do Tinguá, Estrdaa para a represa do Macuco. Reserva Biológica do Tinguá","-43.451099395752","-22.7591991424561",NA,NA,"RBR00025893",NA,NA,NA,NA,NA,"2006","10","09","25743","auto",NA,NA,NA
