"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","typeStatus","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","relatedCatalogItem","minimumElevationInMeters","individualCount","monthIdentified","dayIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","01155322","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Aniba","santalodora","Aniba santalodora","Ducke","K. Kubitzki","W. A. Rodrigues","5297","1963","06","17","South America","Brazil","Amazonas","Manaus","Ponta Negra","-60.0987661","-3.0518325","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1302615' target='other'> <mi>dwc_moreinfo</mi></a>","NY01155322","NY01155322_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01155324","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Aniba","santalodora","Aniba santalodora","Ducke","K. Kubitzki","W. A. Rodrigues","s.n.","1955","06","03","South America","Brazil","Amazonas","Manaus","Ponte da Bolívia","-60.01574","-2.973581","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1302618' target='other'> <mi>dwc_moreinfo</mi></a>","NY01155324","NY01155324_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01155323","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Aniba","santalodora","Aniba santalodora","Ducke","K. Kubitzki","D. F. Coêlho","s.n.","1956","07","27","South America","Brazil","Amazonas","Manaus","Margem do igarapé da Bolivia","-60.0413427","-2.9755568","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1302617' target='other'> <mi>dwc_moreinfo</mi></a>","NY01155323","NY01155323_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-30 12:39:08-03","EAO","IAN","29136","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Lauraceae","Aniba","santalodora","Aniba santalodora","Ducke","Kubitzki, K","Ducke, A","2110","1947","09","23","Southern America","Brasil","Amazonas","Manaus","Rio Tucumã, mata para Além da Cachoeira Alta, terra firme, arenosa úmida.","-60.0250015258789","-3.10193991661072",NA,"Árvore bastante alta, inflorescências ferruginosa pálido; lenho muito aromático.","IAN029136","IAN029136 IAN029136_e IAN029136_e1","1978","holotipo","138090","auto",NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 09:35:18-03","NBC","NL-BOTANY","U 0002622","PreservedSpecimen","Plantae",NA,"Laurales","Lauraceae","Aniba","santalodora","Aniba santalodora","Ducke","Werff HH van der","Ducke A",NA,"1947","09","23","Southern America","Brazil","Amazonas",NA,"Amazonas: Manaus, Rio Tarumá","-60.025278","-3.113333",NA,"mata para alem de cachoeira alta, terra firmé arenosa humida<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200002622 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0002622","NL-U0002622",NA,"isotype",NA,NA,"Magnoliopsidae","-60.025278","-3.113333","76487 A",NA,NA,NA,NA
"6","2014-04-05 06:07:00-03","MO","MOBOT","1502224","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Aniba","santalodora","Aniba santalodora","Ducke","A. Vicentini","P. A. Costa Lima Assunção|et al.","Assunção 219","1995","5","15","South America","Brazil","Amazonas",NA,"Manaus, Reserva Florestal Ducke, Manaus-Itacoatiara, km 26. Floresta de Campinarana. Solo arenoso.","-59.96944","-2.88611",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70.00000000",NA,NA,NA
"7","2008-05-27 22:02:00-03","MO","MOBOT","1837447","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Aniba","santalodora","Aniba santalodora","Ducke",NA,"Coelho","Coelho 4003","1956","7","27","South America","Brazil","Amazonas",NA,"Manaus, margem do igarapé da Bolivia. Terreno firme, arenoso, capoeira baixa, aberta.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-10-10 15:39:00-03","MO","MOBOT","100933396","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Aniba","santalodora","Aniba santalodora","Ducke","Kubitzki, K.","William A. Rodrigues","Rodrigues 5297","1963","6","17","South America","Brazil","Amazonas","Manaus","Ponta Negra.: Ponta Negra. Campina arenosa de terra firme, Pponta Negra.","-60.0250015258789","-3.10193991661072",NA,NA,NA,NA,NA,NA,"138090","auto",NA,NA,NA,NA,NA,"1",NA,NA
"9","2020-08-31 09:11:04-03","INPA","INPA","1134","S","Plantae","Dicotyledon Magnoliids","Laurales","Lauraceae","Aniba","santalodora","Aniba santalodora","Ducke","Kubitzki, K","Rodrigues, WA","INPA1134","1955","06","03","Southern America","Brasil","Amazonas","Manaus","Ponte da Bolívia., Ponte da Bolívia","-60.01","-2.9",NA,NA,"INPA0001134","INPA0001134 INPA0001134_e","1979",NA,NA,NA,NA,"-60.01","-2.9",NA,NA,NA,NA,NA
"10","2020-08-31 09:11:04-03","INPA","INPA","13965","S","Plantae","Dicotyledon Magnoliids","Laurales","Lauraceae","Aniba","santalodora","Aniba santalodora","Ducke","Kubitzki, K","Rodrigues, WA","5297","1963","06","17","Southern America","Brasil","Amazonas","Manaus","Ponta Negra, Ponta Negra","-60.098766","-3.051833",NA,NA,"INPA0013965","INPA0013965 INPA0013965_e","1979",NA,NA,NA,NA,"-60.098766","-3.051833",NA,NA,NA,NA,NA
"11","2021-01-10 20:48:15-03","INPA","INPA","185562","S","Plantae","Dicotyledon Magnoliids","Laurales","Lauraceae","Aniba","santalodora","Aniba santalodora","Ducke","Vicentini, A","Assunção, PACL","219","1995","05","15","Southern America","Brasil","Amazonas","Manaus","Reserva Florestal Adolfo Ducke","-59.966667","-2.883333",NA,NA,"INPA0185562","INPA0185562 INPA0185562_e",NA,NA,NA,NA,NA,"-59.966667","-2.883333",NA,NA,NA,NA,NA
"12","2020-08-31 09:11:04-03","INPA","INPA","262099","S","Plantae","Dicotyledon Magnoliids","Laurales","Lauraceae","Aniba","santalodora","Aniba santalodora","Ducke","Vicentini, A","Demarchi, LO","312","2013","06","09","Southern America","Brasil","Amazonas","Manaus","RDS do Tupé, Campinarana próxima a comunidade Agrovila, trilha que segue a 4 KM a dentro da Mata de Terra Firme.","-60.240544","-2.982036",NA,NA,"INPA0262099",NA,"2014",NA,NA,NA,NA,"-60.240544","-2.982036",NA,NA,NA,"04",NA
