"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","typeStatus","individualCount","verbatimLongitude","verbatimLatitude"
"1","2021-03-15 16:37:00-03","NY","NYBG","772831","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Poa","reitzii","Poa reitzii","Swallen","J. R. Swallen","L. B. Smith","7672","1956","11","16","South America","Brazil","Santa Catarina","Bom Retiro","Morro da Bela Vista, Campo dos Padres","-49.4892","-27.7972","1700","1821","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=244464' target='other'> <mi>dwc_moreinfo</mi></a>","NY00772831","NY00772831_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","772832","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Poa","reitzii","Poa reitzii","Swallen","J. R. Swallen","L. B. Smith","7657","1956","11","16","South America","Brazil","Santa Catarina","Bom Retiro","Campos dos Padres","-49.4892","-27.7972","1400","1650","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=244465' target='other'> <mi>dwc_moreinfo</mi></a>","NY00772832","NY00772832_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-12-20 21:19:04-03","UFV","VIC","41201","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Poa","reitzii","Poa reitzii","Swallen",NA,"Bastos, F.E.A.; et al.","17","2011","12","16",NA,"Brasil","Rio Grande do Sul","Santa Catarina","Ubirici-Parque Nacional de São Joaquim, Morro da Igreja",NA,NA,NA,NA,NA,"Planta masculina","VIC041201","VIC041201","2012",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-10-14 10:05:03-03","FURB","FURB","60189","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Poa","reitzii","Poa reitzii","Swallen","da Silva, L.N.","Windisch, P.G.; et alii","8668","1996","10","16",NA,"Brasil","Minas Gerais","Camanducaia",NA,"-46.1446990966797","-22.7553005218506","2000","2000",NA,"Habitat: Topo da Pedra do Bispo, local semi-sombrado, sobre rocha junto à bromeliaceae","FURB60189","FURB60189","2019","12","18","22140","auto",NA,NA,NA,NA,NA
"5","2018-06-22 05:24:00-03","MO","MOBOT","217998","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Poa","reitzii","Poa reitzii","Swallen",NA,"Pe. Raulino Reitz","Reitz 2373","1948","12","16","South America","Brazil","Santa Catarina",NA,"Campo dos Padres, Bom Retiro","-49.3","-27.91666",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2012-04-05 14:30:00-03","MO","MOBOT","2478526","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Poa","reitzii","Poa reitzii","Swallen",NA,"José F.M. Valls","Valls 1891",NA,NA,NA,"South America","Brazil","Rio Grande do Sul",NA,"Bom Jesus. Encruzo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2017-11-24 14:12:09-02","UFLA","ESAL","659","S","Plantae",NA,NA,"Poaceae","Poa","reitzii","Poa reitzii","Swallen",NA,"?","s.n.",NA,NA,NA,NA,"?",NA,NA,NA,NA,NA,NA,NA,NA,"; ; ;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-09-12 05:00:02-03","US","US","2011894","PreservedSpecimen","Plantae",NA,"Cyperales","Poaceae","Poa","reitzii","Poa reitzii","Swallen",NA,"R. Reitz","2373","1948","12","16","South America","Brazil","Santa Catarina",NA,"Campo dos Padres, Bom Retiro.",NA,NA,"1900","1900",NA,NA,"US00141187","US00141187_01",NA,NA,NA,NA,NA,"Monocotyledonae","Holotype","1",NA,NA
"9","2020-09-02 16:37:43-03","Cenargen","CEN","30509","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Poa","reitzii","Poa reitzii","Swallen","J. F. M. Valls","José Francisco Montenegro Valls","1891","1972","01","04",NA,"Brasil","RS","BOM JESUS","Bom Jesus, Encruzo, Cabeceira do rio das Antas.","-50.4166984558105","-28.6678009033203",NA,NA,"Exsicatas","Planta com espiguetas teratológicas, no campo arbustivo sob pinhal ( Araucarieto) muito ralo. Doação - Herb. U.F.R.G.S. - Porto Alegre. n°: 24910","CEN00030509","CEN00030509","2016","02",NA,"55856","auto",NA,NA,"1",NA,NA
"10","2020-11-12 17:02:39-03","UEL","FUEL","51528","PreservedSpecimen","Plantae","Tracheophyta","Poales","Poaceae","Poa","reitzii","Poa reitzii","Swallen","Dalmolim, E","Silva, E; Francisco das Chagas e Silva; Zanin, A","51","2009","12","07",NA,"Brasil","Santa Catarina","Urubici","Parque Nacional de São Joaquim,, propriedade Caiambra, baixada úmida","-49.5","-28.1","1616","1616",NA,NA,NA,NA,"2012",NA,NA,NA,NA,NA,NA,NA,"-49.5","-28.1"
"11","2020-08-20 20:41:41-03","UFSC","FLOR","42118","PreservedSpecimen","Plantae",NA,"Poales","Poaceae","Poa","reitzii","Poa reitzii","Swallen","Dalmolim, E.B.","Bastos, F.E.A.; Dalmolim, E.B. & Zannin, A.","3","2011","12","16",NA,"Brasil","Santa Catarina","Urubici","Morro da Igreja,Parque Nacional de São Joaquim. Àrea próxima ao CINDACTA II.","-49.480556","-28.1275","1805","1805",NA,"Planta com teratologia na espigueta.","FLOR0042118",NA,"2012",NA,NA,NA,NA,NA,NA,NA,"49º28'50''W","28º7'39''S"
"12","2020-08-20 14:59:56-03","UFSC","FLOR","67026","PreservedSpecimen","Plantae",NA,"Poales","Poaceae","Poa","reitzii","Poa reitzii","Swallen","Funez, L.A.","Funez, L.A.","8400","2019","02","12",NA,"Brasil","Santa Catarina","Bom Jardim da Serra","Parque Nacional de São Joaquim. Campos de Santa Bárbara. Parque Nacional de São Joaquim","-49.606389","-28.162222","1665","1665",NA,"Erva. Flores brancas Habitat: Afloramentos rochosos em meio à floresta, ambiente muito úmido Habito: Erva","FLOR0067026","FLOR0067026","2019","04","10",NA,NA,NA,NA,NA,"49º36'23''W","28º9'44''S"
