"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","occurrenceRemarks","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","typeStatus","fieldNumber","preparationType","barcode","imagecode","phylum","continentOcean","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","class","order","individualCount"
"1","2020-03-12 10:28:54-03","UFOP","OUPR","34207","PreservedSpecimen","Plantae","Acanthaceae","Staurogyne","vauthieriana","Staurogyne vauthieriana","(Nees) Kuntze","Pedrosa, L.G.","2019","06","24","Pedrosa, L.G.","1683","2019","06","24","Brasil","Minas Gerais","Ouro Preto/ Mariana","Parque Estadual do Itacolomi","Subarbusto, 1,5m. Folhas pegajosas. Flores amarelas. Mata de galeria.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-03-12 10:28:54-03","UFOP","OUPR","34088","PreservedSpecimen","Plantae","Acanthaceae","Staurogyne","vauthieriana","Staurogyne vauthieriana","(Nees) Kuntze","Pedrosa, L.G.","2019","04","14","Pedrosa, L.G.","1566","2019","04","14","Brasil","Minas Gerais","Ouro Preto","Parque Estadual do Itacolomi","Subarbusto, 1,3m. Flores verde-amareladas. Mata de altitude.","-43.5080986022949","-20.2875003814697","44599","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-11-05 16:32:31-03","UFOP","OUPR","31996","PreservedSpecimen","Plantae","Acanthaceae","Staurogyne","vauthieriana","Staurogyne vauthieriana","(Nees) Kuntze","Pedrosa, L.G.","2018","09","30","Pedrosa, L.G.","862","2018","09","30","Brasil","Minas Gerais","Ouro Preto","Parque Estadual do Itacolomi, Monte Itacolomi.","Subarbusto, ca. 1,6m. Flores amarelas. Planta muito rara no Parque.","-43.5080986022949","-20.2875003814697","44599","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2015-09-26 04:40:46-03","MNHN","RECOLNAT_MNHN_P","P00650258","PreservedSpecimen",NA,"Acanthaceae","Staurogyne","vauthieriana","Staurogyne vauthieriana","(Nees) Kuntze","Braz",NA,NA,NA,"Vauthier",NA,"1833",NA,NA,"Brésil",NA,NA,"Prov. de Minas Geraes : Villa rica","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00650258' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,"isotype","182","hb","P00650258","P00650258_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2015-09-26 03:31:36-03","MNHN","RECOLNAT_MNHN_P","P00650259","PreservedSpecimen",NA,"Acanthaceae","Staurogyne","vauthieriana","Staurogyne vauthieriana","(Nees) Kuntze","Braz",NA,NA,NA,"Vauthier",NA,"1833",NA,NA,"Brésil",NA,NA,"Prov. de Minas Geraes : Villa rica","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00650259' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,"isotype","182","hb","P00650259","P00650259_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2015-09-26 03:31:42-03","MNHN","RECOLNAT_MNHN_P","P00650260","PreservedSpecimen",NA,"Acanthaceae","Staurogyne","vauthieriana","Staurogyne vauthieriana","(Nees) Kuntze","Braz",NA,NA,NA,"Vauthier",NA,"1833",NA,NA,"Brésil",NA,NA,"Prov. de Minas Geraes : Villa rica","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00650260' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,"isotype","182","hb","P00650260","P00650260_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-12-11 11:31:16-03","UFMG","BHCB","41516","PreservedSpecimen","Plantae","Acanthaceae","Staurogyne","vauthieriana","Staurogyne vauthieriana",NA,NA,"2004","10",NA,"Lombardi, JA","2280","1998","05","13","Brasil","Minas Gerais","Ouro Preto","Parque Estadual do Itacolomi.","Erva. Folhas herbáceas, acinzentadas na face abaxial, cálice e corola amarelos, ambos de ápice verde, estilete e filetes verdes, anteras brancas.; Mata secundária.","-43.506944","-20.408056",NA,NA,NA,NA,NA,"BHCB053648","BHCB053648","Dicotyledon","Southern America","-43.506944","-20.408056","1110","1450",NA,NA,NA
"8","2020-12-11 11:31:16-03","UFMG","BHCB","55384","PreservedSpecimen","Plantae","Acanthaceae","Staurogyne","vauthieriana","Staurogyne vauthieriana",NA,NA,NA,NA,NA,"Barreto, HLM","282","1934","05","06","Brasil","Minas Gerais","Caeté","Serra da Piedade","Arbusto 1,5m, alta frequência e flôr amarela; Campo","-43.6697006225586","-19.8799991607666","22051","auto",NA,NA,NA,"BHCB041820","BHCB041820","Dicotyledon","Southern America",NA,NA,NA,NA,NA,NA,NA
"9","2020-06-15 15:28:10-03","UNESP-RC","HRCB","42225","PreservedSpecimen","Plantae","Acanthaceae","Staurogyne","vauthieriana","Staurogyne vauthieriana","(Nees) Kuntze","Braz, D.M.","2004","10","07","Souza, H.C.","113","1997","07","17","Brasil","Minas Gerais",NA,"Parque Estadual Itacolomi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-06-15 15:28:10-03","UNESP-RC","HRCB","42226","PreservedSpecimen","Plantae","Acanthaceae","Staurogyne","vauthieriana","Staurogyne vauthieriana","(Nees) Kuntze","Braz, D.M.","2004","10","07","Souza, H.C.",NA,"1997","07","17","Brasil","Minas Gerais",NA,"Parque Estadual Itacolomi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-09-12 05:00:02-03","US","US","59496","PreservedSpecimen","Plantae","Acanthaceae","Ebermaiera","vauthieriana","Ebermaiera vauthieriana","Nees",NA,NA,NA,NA,"M. Vauthier","182. 4","1847","9","15","Brazil",NA,NA,"Villa Rica, Minas Geraes",NA,NA,NA,NA,NA,"Isotype",NA,NA,"US01117709","US01117709_01",NA,"South America - Neotropics",NA,NA,NA,NA,"Dicotyledonae","Scrophulariales","1"
"12","2020-09-12 05:00:02-03","US","US","3149590","PreservedSpecimen","Plantae","Acanthaceae","Staurogyne","vauthieriana","Staurogyne vauthieriana","Kuntze",NA,NA,NA,NA,"L. Krieger & et al.","FPNC0107",NA,NA,NA,"Brazil","Minas Gerais",NA,"Serra do Caparaó.",NA,NA,NA,NA,NA,NA,NA,NA,"US02850008","US02850008_01",NA,"South America - Neotropics",NA,NA,NA,NA,"Dicotyledonae","Scrophulariales","1"
"13","2019-09-04 19:21:36-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Acanthaceae","Staurogyne","macrantha","Staurogyne macrantha",NA,NA,NA,NA,NA,"C. A. W. Schwacke","10495",NA,NA,NA,"Brazil",NA,NA,NA,NA,"-52.8731","-10.8339",NA,NA,"Type [status unknown]",NA,NA,NA,NA,"Spermatophyta","South America",NA,NA,NA,NA,"Dicotyledoneae",NA,NA
"14","2014-10-09 13:58:12-03","UHH","HBG","522695","S","Plantae","Acanthaceae","Staurogyne","macrantha","Staurogyne macrantha","Lindau","Lindau, G.",NA,NA,NA,"Ule, E.","2662","1892","02",NA,"Brazil",NA,NA,"in Wäldchen der serra do Itacolumy",NA,NA,NA,NA,NA,"Syntype",NA,NA,"HBG522695",NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA
"15","2017-09-11 16:26:09-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Acanthaceae","Ebermaiera","vauthieriana","Ebermaiera vauthieriana","Nees",NA,NA,NA,NA,"Vauthier, AC","182",NA,NA,NA,"Brazil","Minas Gerais","Ouro Preto","IBB/Villa Rica, MG, Ad Villam Ricam prov. Minarum","There is another Vauthier 182 that is Tibouchina (Melastomataceae)","-43.51","-20.29",NA,NA,NA,NA,NA,NA,NA,NA,"Southern America","-43.51","-20.29",NA,NA,NA,NA,NA
"16","2014-11-13 10:55:23-02","UM","RECOLNAT_UM_MPU","MPU016043","PreservedSpecimen",NA,"Acanthaceae","Ebermaiera","vauthieriana","Ebermaiera vauthieriana","Nees","Daveau",NA,NA,NA,"Vauthier",NA,"1833",NA,NA,"Brésil",NA,NA,"Prov. de Minas Geraes : Villa rica","Double de P00650258, P00650259, P00650260 <a href='http://coldb.mnhn.fr/catalognumber/um/mpu/mpu016043' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,"type","182","hb","MPU016043",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
