"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","occurrenceRemarks","phylum","order","coordinatePrecision","individualCount","geoFlag","continentOcean","preparationType","class","relatedCatalogItem","fieldNumber","minimumDepthInMeters","maximumDepthInMeters","typeStatus","infraspecificEpithet"
"1","2021-04-05 14:25:04-03","UNESC","CRI","1184","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","aeranthos","Tillandsia aeranthos","(Loisel.) L.B.Sm.","Jorge Luiz Waechter","Vanilde Citadini-Zanette; Aurélio José de Aguiar","1431","1992","07","17","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","CRI006400","CRI006400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:04-03","UNESC","CRI","7534","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","aeranthos","Tillandsia aeranthos","(Loisel.) L.B.Sm.","Jorge Luiz Waechter","Telma Elyta V. Azeredo","42","2007","08","19","Brasil","Santa Catarina","Nova Veneza","Fazenda Vale do Paraíso - Rio Cedro Alto.","-49.498056","-28.637222","49º29'53''W","28º38'14''S",NA,NA,"CRI006401","CRI006401","2007","09","20","Habito: epífita",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:47-03","FZB-BH","CVJBFZB","3837","S","Plantae","Bromeliaceae","Tillandsia","aeranthos","Tillandsia aeranthos","(Loisel.) L.B.Sm.","Lucas Assis","Kelen Soares; Lucas Assis",NA,"2016","02",NA,"Brasil","Rio Grande do Sul","Canguçu",NA,"-52.6755981445312","-31.3950004577637",NA,NA,NA,NA,NA,NA,"2016","02",NA,"254","Magnoliophyta","Poales","68702","2","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","400308","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","aëranthos","Tillandsia aëranthos","(Loisel.) L.B.Sm.","L. B. Smith","G. Grazziotin","3708","1987","11","07","Brazil","Rio Grande do Sul","Sao Francisco de Paula","Casuza Ferreira","-50.5833","-29.4483",NA,NA,"780","780","NY00400308","NY00400308_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=43697' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Poales",NA,NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","884579","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","aëranthos","Tillandsia aëranthos","(Loisel.) L.B.Sm.","L. B. Smith","R. A. Wasum","HUCS6187","1989","10","10","Brazil","Rio Grande do Sul","Flores da Cunha","Otavio Rocha","-51.26034","-29.061484",NA,NA,"750","750","NY00884579","NY00884579_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=961611' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Poales",NA,NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","400307","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","aëranthos","Tillandsia aëranthos","(Loisel.) L.B.Sm.","L. B. Smith","R. A. Wasum","4742","1988","10","28","Brazil","Rio Grande do Sul","Caxias do Sul","Ana Rech - Faxinal","-51.094927","-29.108528",NA,NA,"700","700","NY00400307","NY00400307_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=43698' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Poales",NA,NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","822287","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","aëranthos","Tillandsia aëranthos","(Loisel.) L.B.Sm.","R. C. Tardivo","I. Guerra","271","1984","08","26","Brazil","Rio Grande do Sul",NA,"Estrada para São Vergílio - Forquata.",NA,NA,NA,NA,NA,NA,"NY00822287","NY00822287_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=911350' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Poales",NA,NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","822288","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","aëranthos","Tillandsia aëranthos","(Loisel.) L.B.Sm.","R. C. Tardivo","G. Grazziotin","3773","1987","11","07","Brazil","Rio Grande do Sul",NA,"São Francisco de Paula - Casuza Ferreira.",NA,NA,NA,NA,"800","800","NY00822288","NY00822288_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=911352' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Poales",NA,NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","822289","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","aëranthos","Tillandsia aëranthos","(Loisel.) L.B.Sm.","R. C. Tardivo","J. E. Leite","129","1940",NA,NA,"Brazil","Rio Grande do Sul",NA,"Vicinity of San Leopoldo","-51.143791","-29.75136",NA,NA,NA,NA,"NY00822289","NY00822289_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=911333' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Poales",NA,NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","400306","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","aëranthos","Tillandsia aëranthos","(Loisel.) L.B.Sm.","S. F. Smith","R. A. Wasum","3335","1987","10","09","Brazil","Rio Grande do Sul","Caxias do Sul","Caxias do Sul","-51.173697","-29.165735",NA,NA,"750","750","NY00400306","NY00400306_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=43696' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Poales",NA,NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
