"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","infraspecificEpithet","class","yearIdentified","monthIdentified","relatedCatalogItem","dayIdentified","fieldNumber","individualCount","typeStatus","previousCatalogNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","585488","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chaetocalyx","scandens","Chaetocalyx scandens","(L.) Urb.","M. Lavin","S. A. Mori","11829","1979","05","06","South America","Brazil","Bahia","Jequié","Chácara Provisao, ca. de 4 km a E de Jequié","-40.0833","-13.8578","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=650684' target='other'> <mi>dwc_moreinfo</mi></a>","NY00585488","NY00585488_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","585491","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chaetocalyx","scandens","Chaetocalyx scandens","(L.) Urb.","M. Lavin","R. M. Harley","22024","1980","05","03","South America","Brazil","Bahia",NA,"Serra do Jatobá. About 3 km of S of Milagres, on the road to Jequié","-39.87","-12.08","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=650675' target='other'> <mi>dwc_moreinfo</mi></a>","NY00585491","NY00585491_01","500","500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","585501","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chaetocalyx","scandens","Chaetocalyx scandens","(L.) Urb.","M. Lavin","O. Salazar de Benavides","7188","1986","08",NA,"South America","Colombia","Antioquia","Nariño","Mpio. de Taminango. El Remolino, El Algodonal",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=650674' target='other'> <mi>dwc_moreinfo</mi></a>","NY00585501",NA,"1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1523102","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chaetocalyx","scandens","Chaetocalyx scandens","(L.) Urb.","M. Lavin","B. Maguire","40242","1954","12","13","South America","Brazil","Roraima",NA,"Near Fazenda natal 10-12 km. northeast of Fazenda Vista Geral, Rio Cotinga",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1791505' target='other'> <mi>dwc_moreinfo</mi></a>","NY01523102","NY01523102_01","720","750",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","585489","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chaetocalyx","scandens","Chaetocalyx scandens","(L.) Urb.","M. Lavin","A. M. Amorim","978","1993","02","21","South America","Brazil","Bahia","Jacobina","Estrada Jacobina-Itaitu, ca. de 22 km a partir da Sede do município","-40.5181","-11.1808","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=650667' target='other'> <mi>dwc_moreinfo</mi></a>","NY00585489","NY00585489_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","585498","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chaetocalyx","scandens","Chaetocalyx scandens","(L.) Urb.","M. Lavin","R. M. Harley","15242","1972","01","18","South America","Brazil","Bahia",NA,"Serra do Rio de Contas. On road to Abaira ca. 8 km to N of the town of Rio de Contas","-41.78","-13.55","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=650672' target='other'> <mi>dwc_moreinfo</mi></a>","NY00585498","NY00585498_01","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1522906","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Nissolia","vincentina","Nissolia vincentina","(Ker Gawl.) T.M.Moura & Fort.-Perez","T. M. de Moura","A. P. Duarte","1263","1948","08","02","South America","Brazil","Ceará","Fortaleza","Crato.","-38.5431","-3.7172","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1787748' target='other'> <mi>dwc_moreinfo</mi></a>","NY01522906","NY01522906_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","585511","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Nissolia","vincentina","Nissolia vincentina","(Ker Gawl.) T.M.Moura & Fort.-Perez","T. M. de Moura","M. M. Arbo","7436","1997","01","17","South America","Brazil","Bahia",NA,"BA-426, 29 km al NE de Morro do Chapéu, camino a Várzea Nova","-41","-11.33","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=647246' target='other'> <mi>dwc_moreinfo</mi></a>","NY00585511","NY00585511_01","800","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","585486","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Nissolia","vincentina","Nissolia vincentina","(Ker Gawl.) T.M.Moura & Fort.-Perez","T. M. de Moura","R. P. Belém","328","1965","01","28","South America","Brazil","Bahia",NA,"Rodovia BR-4, a 300 km de Salvador para Jequié",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=650668' target='other'> <mi>dwc_moreinfo</mi></a>","NY00585486","NY00585486_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","585492","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Nissolia","vincentina","Nissolia vincentina","(Ker Gawl.) T.M.Moura & Fort.-Perez","T. M. de Moura","R. M. Harley","16497","1974","02","27","South America","Brazil","Bahia","Senhor do Bonfim","Serra da Jacobina, 8 km N of Senhor do Bonfim on the BA 130 to Juazeiro, on side road from Carrapichel towards the Serra","-40.25","-10.38","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=650671' target='other'> <mi>dwc_moreinfo</mi></a>","NY00585492","NY00585492_01","600","600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
