"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","typeStatus","recordNumber","continentOcean","preparationType","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","class","verbatimLongitude","verbatimLatitude","dayIdentified","relatedCatalogItem","fieldNumber","sex"
"1","2019-06-10 10:10:47-03","FZB-BH","CVJBFZB","649","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Orthophytum","rubiginosum","Orthophytum rubiginosum","Leme","Elton. C. M. Leme","2009","05","Elton M. C. Leme; M. Zanoni; Euclídio Colnago","2003","08","17","Brasil","Espírito Santo","Vila pavão","Estrada Barra de São Francisco-Vila Pavão, 6 Km antes de Vila Pavão","-40.611400604248","-18.6149997711182","19647","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","247180","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Orthophytum","compactum","Orthophytum compactum","L.B.Sm.",NA,NA,NA,"R. P. Belém","1965","08","14","Brazil","Minas Gerais",NA,"Margem da Rodovia Nanuque -Teófilo Otoni. Serra rochosa.",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=667423' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"isotype","1626","South America","sheet","NY00247180","NY00247180_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","376856","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Orthophytum","foliosum","Orthophytum foliosum","L.B.Sm.","L. B. Smith",NA,NA,"R. P. Belém","1968","07","09","Brazil","Espírito Santo","Ibiraçu","Margem da Rodovia Colatina-Vitória. 45 km leste de Colatina","-40.3694","-19.8319",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=654762' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"3832","South America","sheet","NY00376856","NY00376856_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","873373","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Orthophytum","foliosum","Orthophytum foliosum","L.B.Sm.","R. B. Louzada",NA,NA,"R. P. Belém","1968","06","30","Brazil","Minas Gerais",NA,"Margem da Rodovia Teófilo Otoni. Nanuque.",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=955668' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"3793","South America","sheet","NY00873373","NY00873373_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","376857","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Orthophytum","foliosum","Orthophytum foliosum","L.B.Sm.","L. B. Smith",NA,NA,"S. A. Mori","1979","07","13","Brazil","Bahia","Jequié","BR 116, a 15 km ao N de Jequié","-40.0833","-13.8578",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=654763' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"12185","South America","sheet","NY00376857","NY00376857_01","600","600",NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","376855","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Orthophytum","foliosum","Orthophytum foliosum","L.B.Sm.","L. B. Smith",NA,NA,"R. P. Belém","1968","07","09","Brazil","Espírito Santo","Ibiraçu","Margem da Rodovia Colatina-Vitória. 45 km leste de Colatina","-40.3694","-19.8319",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=654761' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"3832","South America","sheet","NY00376855","NY00376855_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-30 12:51:42-03","EAO","IAN","125197","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Bromeliaceae","Orthophytum","foliosum","Orthophytum foliosum","L.B.Sm.","Smith, LB","1970",NA,"Belém, RP","1968","07","09","Brasil","Espírito Santo",NA,"Margem da Rodovia Colatina-Vitória, 45km leste de Colatina. Zona calcárea.",NA,NA,NA,NA,"Planta sobre rocha calcárea. Pétalas brancas, stames esverdeados, anteras amarelas, bracteas brancas.",NA,NA,"3832","Southern America",NA,"IAN125197",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-30 12:51:42-03","EAO","IAN","106672","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Bromeliaceae","Orthophytum","foliosum","Orthophytum foliosum","L.B.Sm.","Smith, LB","1965","06","Magalhães, MG","1958","08",NA,"Brasil","Minas Gerais","Teófilo Otoni","caatinga em disposição (afloramento). Local: Pedro Vessiani.","-41.505298614502","-17.8575000762939","62594",NA,"Herba no humus depositado na rocha. Em 3 grupos. Flor alva.","auto",NA,"17402","Southern America",NA,"IAN106672",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-30 12:51:42-03","EAO","IAN","106672","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Bromeliaceae","Orthophytum","foliosum","Orthophytum foliosum","L.B.Sm.","Smith, LB","1965","06","Magalhães, MG","1958","08",NA,"Brasil","Minas Gerais","Teófilo Otoni","caatinga em disposição (afloramento). Local: Pedro Vessiani.","-41.505298614502","-17.8575000762939","62594",NA,"Herba no humus depositado na rocha. Em 3 grupos. Flor alva.","auto",NA,"17402","Southern America",NA,"IAN106672",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 10:12:17-03","NBC","NL-BOTANY","U.1177942","PreservedSpecimen","Plantae",NA,"Poales","Bromeliaceae","Orthophytum","compactum","Orthophytum compactum","L.B.Sm.",NA,NA,NA,"Harley RM; et al.","1988","10","16","Brazil",NA,NA,"Minas Gerias. Mun.L Grão Mogol. Ca. 5-15 km ao norte da cidade.","-42.783333","-16.533333",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1177942 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"Southern America",NA,"NL-U1177942","NL-U1177942",NA,NA,"Magnoliopsidae","-42.783333","-16.533333",NA,NA,NA,NA
