"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","individualCount","fieldNumber","minimumDepthInMeters","maximumDepthInMeters","typeStatus","eventTime","previousCatalogNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","617581","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Apiaceae","Eryngium","ombrophilum","Eryngium ombrophilum","Dusén & H.Wolff","G. G. Hatschbach","J. Cordeiro","370","1986","12","04","South America","Brazil","Paraná","Morretes","Véu de Noiva","-48.8342","-25.4769","850","850","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=166060' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617581","NY00617581_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","617582","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Apiaceae","Eryngium","ombrophilum","Eryngium ombrophilum","Dusén & H.Wolff","L. Constance","G. G. Hatschbach","20700","1969","01","09","South America","Brazil","Paraná","Morretes","Estr. Graciosa, Grota Funda","-48.8342","-25.4769","700","700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=166057' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617582","NY00617582_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","617583","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Apiaceae","Eryngium","ombrophilum","Eryngium ombrophilum","Dusén & H.Wolff","P. K. H. Dusén","P. K. H. Dusén","8313","1909","03","22","South America","Brazil","Paraná","Ipiranga","Ypiranga","-50.5842","-25.0242",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=166058' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617583","NY00617583_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","617584","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Apiaceae","Eryngium","ombrophilum","Eryngium ombrophilum","Dusén & H.Wolff","K. F. A. H. Wolff","P. K. H. Dusén","3611","1904","02","03","South America","Brazil","Paraná","Ipiranga","Ypiranga","-50.5842","-25.0242",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=166059' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617584","NY00617584_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 08:43:55-03","NBC","NL-BOTANY","L.2576667","PreservedSpecimen","Plantae",NA,"Apiales","Umbelliferae","Eryngium","ombrophilum","Eryngium ombrophilum","Dusén & H.Wolff",NA,"Hatschbach GG",NA,"1958","12","25","Southern America","Brazil",NA,NA,"Est. Parana (Brasil), Mun. Campina Gtande de Sul.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2576667 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2576667","NL-L2576667","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 08:43:55-03","NBC","NL-BOTANY","U.1076931","PreservedSpecimen","Plantae",NA,"Apiales","Umbelliferae","Eryngium","ombrophilum","Eryngium ombrophilum","Dusén & H.Wolff",NA,"Düsen P",NA,"1914","01","15","Southern America","Brazil",NA,NA,"Paraná: Serra do Mar, Ypiranga, locis subpaludosis.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1076931 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1076931","NL-U1076931","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-08-27 13:33:47-03","IAP","PACA-AGP","69654","PreservedSpecimen","Plantae","Magnoliophyta","Umbellales","Umbelliferae","Eryngium","ombrophilum","Eryngium ombrophilum","Dusen & Wolff","G. Hatschbach","J. Cordeiro","370","1986","12","04",NA,"Brasil","PR","Morretes","Véu de Noiva","-48.834400177002","-25.476900100708","850","850",NA,"VULNERÁVEL&nf;erva com 70 cm; flores alvescentes; mata pluvial sombria; solo úmido. Habitat: mata pluvial sombria Fenofase: flores Hábito: erva Ecossistema: MATA PLUVIAL","PACA069654",NA,"Magnoliatae","1988","30514","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-01-17 11:23:54-02","PUCRS","MPUC","9613","S","Plantae",NA,"Apiales","Apiaceae","Eryngium","ombrophilum","Eryngium ombrophilum","Dusén & H. Wolff","N.I. Matzenbacher",NA,NA,"2000","02","25","South America","Brasil","RS","São Francisco de Paula","CPCN Pró-Mata","-50.1744444","-29.4808333",NA,NA,NA,NA,NA,NA,"Magnoliopsida","2010",NA,NA,"01","01","-50.1744444000","-29.4808333000","1",NA,NA,NA,NA,NA,NA,NA
"9","2019-01-17 11:23:54-02","PUCRS","MPUC","22099","S","Plantae",NA,"Apiales","Apiaceae","Eryngium","ombrophilum","Eryngium ombrophilum","Dusén & H. Wolff","B.E. Irgang","B.E. Irgang",NA,"2000","02","25","South America","Brasil","RS","São Francisco de Paula","CPCN Pró-Mata","-51.1505555556","-29.1522222222",NA,NA,NA,"Em uma clareira na mata de araucária à beira de um córrego; solo humoso",NA,NA,"Magnoliopsida",NA,NA,NA,NA,NA,"-51.1505555556","-29.1522222222","1","2326","867","867",NA,NA,NA,NA
"10","2019-01-17 11:23:54-02","PUCRS","MPUC","9645","S","Plantae",NA,"Apiales","Apiaceae","Eryngium","ombrophilum","Eryngium ombrophilum","Dusén & H. Wolff","N.I. Matzenbacher",NA,NA,"2000","02","20","South America","Brasil","RS","São Francisco de Paula","CPCN Pró-Mata","-50.1744444","-29.4808333",NA,NA,NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA,NA,NA,"-50.1744444000","-29.4808333000","1",NA,NA,NA,NA,NA,NA,NA
