"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","phylum","order","verbatimLongitude","verbatimLatitude","imagecode","continentOcean","class","individualCount","typeStatus","fieldNumber","sex","preparationType"
"1","2020-06-29 11:29:37-03","UFRJ","RFA","30946","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","fosteriana","Aechmea fosteriana","L.B.Sm.","A.P.G. Faria","2002","10","01","A.P.G. Faria; T. Wendt; R.A. Kautsky; G.K. Brown; T. Evans","92","2002","10","01","Brasil","Espírito Santo","Domingos Martins","Reserva particular de Roberto A. Kautsky","-40.6591987609863","-20.3633003234863","48150","Epífita. Escapo e raque verdes. Brácteas escapais e primárias cor de vinho. Bráctea floral vinho. Sépalas verdes, pétalas amarelas","RFA52446","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-06-29 11:29:37-03","UFRJ","RFA","30403","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","fosteriana","Aechmea fosteriana","L.B.Sm.","A.P.G. Faria","2001","07","06","A.P.G. Faria; T. Wendt","34","2001","07","06","Brasil","Espírito Santo","Vitória","Cultivada por Luiz Carlos Gurken","-40.3377990722656","-20.3194007873535","15291","Escapo vinoso com indumento. Brácteas primárias e florais vinosas. Sépalas esverdeadas. Pétalas amarelas","RFA52445","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-06-29 11:29:37-03","UFRJ","RFA","30692","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","fosteriana","Aechmea fosteriana","L.B.Sm.","C.M. Vieira","1998","07","19","C.M. Vieira; L.C. Gurken","1217","1998","07","18","Brasil","Espírito Santo","Vitória","Proximidades de Vitória, BR 101. Planta cultivada por L.C. Gurken","-40.3377990722656","-20.3194007873535","15291","Epífita, heliófila. Folhas discolores, face adaxial verde, abaxial verde com manchas transversais vinoso-nigrescente, bainha nigrescente internamente. Escapo e bráctras escapais verde-nigrescente; raque acastanhada, brácteas primárias v","RFA52447","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-16 17:54:13-03","UCS","HUCS","47663","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","fosteriana","Aechmea fosteriana","L.B. Sm.","Souza, L.O.F.","2005",NA,NA,"Gomes, J.M.L.","1605","1991","07","20","Brasil","Espírito Santo","Guarapari","Parque Estadual Paulo Cesar Vinha","-40.716944","-21.0525",NA,"Doação Herbário VIES 5975&nf;Epífita, folhas verdes caja. com muitos estames alvos. Escapo floral coberto por brácteas parecidas com as folhas, flor rósea.",NA,NA,"Angiospermae","Poales","-40.716944","-21.0525",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-02-12 18:11:56-03","UFES","VIES","7351","S","Plantae","Bromeliaceae","Aechmea","fosteriana","Aechmea fosteriana","L.B.Sm.","Gomes, J.M.L.","2003",NA,NA,"Gomes, J.M.L.","s.n.","1993","06","28","Brasil","Espírito Santo","Domingos Martins",NA,"-40.6591987609863","-20.3633003234863","48150",NA,"VIES007351","auto",NA,NA,NA,NA,"VIES007351",NA,NA,NA,NA,NA,NA,NA
"6","2019-06-27 10:24:18-03","UFES","VIES","5975","S","Plantae","Bromeliaceae","Aechmea","fosteriana","Aechmea fosteriana","L.B.Sm.","Souza, L.O.F.; Coser, T.S.","2005",NA,NA,"Gomes, J.M.L.; Pereira, O.J. & Rosa, L.V.","1605","1991","07","20","Brasil","Espírito Santo","Guarapari","Parque Estadual Paulo César Vinha.","-40.5110015869141","-20.6580009460449","28401",NA,"VIES005975","auto",NA,NA,NA,NA,"VIES005975",NA,NA,NA,NA,NA,NA,NA
"7","2019-06-27 10:24:18-03","UFES","VIES","41017","S","Plantae","Bromeliaceae","Aechmea","fosteriana","Aechmea fosteriana","L.B.Sm.",NA,NA,NA,NA,"Gomes, J. M. L.","4471","2010","09","30","Brasil","Espírito Santo","Vitória","Campus UFES Goiabeiras.","-40.3377990722656","-20.3194007873535","15291",NA,"VIES041017","auto",NA,NA,NA,NA,"VIES041017",NA,NA,NA,NA,NA,NA,NA
"8","2020-12-21 16:19:16-03","MBM","MBM","167519","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","fosteriana","Aechmea fosteriana","L.B.Sm.","Leme, E.M.C.",NA,NA,NA,"Hatschbach, G.","60663","1994","05","22","Brazil","Espírito Santo",NA,"s",NA,NA,NA,NA,"MBM167519",NA,NA,NA,NA,NA,"MBM167519","Southern America",NA,NA,NA,NA,NA,NA
"9","2020-12-19 04:39:00-03","MO","MOBOT","2754484","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","fosteriana","Aechmea fosteriana","L.B. Sm.",NA,NA,NA,NA,"M. B. Foster|Racine S. Foster","Foster s.n.",NA,NA,NA,"Brazil",NA,NA,"Cultivated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA
"10","2020-07-10 09:44:16-03","MBML","MBML-HERBARIO","19721",NA,"Plantae","Bromeliaceae","Aechmea","fosteriana","Aechmea fosteriana","L.B.Smith","A. P. G. de Faria/01-10-2002",NA,NA,NA,"A. P. G. de Faria; et al","92","2002","10","01","Brasil","Espírito Santo","Domingos Martins","Reserva particular R. A. Kaustky","-40.6591987609863","-20.3633003234863","48150","Epífita. Escapo e raque verdes. Brácteas escapais e primérias cor de vinho. Bráctea floral vinho. Sépalas verdes. Pétalas amarelas.","MBML019721","auto",NA,NA,NA,NA,"MBML019721_1 MBML019721_2",NA,NA,NA,NA,NA,NA,NA
"11","2020-07-10 09:44:16-03","MBML","MBML-HERBARIO","48538",NA,"Plantae","Bromeliaceae","Aechmea","fosteriana","Aechmea fosteriana","L.B.Smith","Nagibi/26-10-2002",NA,NA,NA,"N.N.F. da Silva","214","2002","10","26","Brasil","Espírito Santo","Serra","Itaiobaia, Morro do Céu","-40.3078002929688","-20.1285991668701","16451","Epífita, brácteas vermelhas, pétalas laranjas","MBML048538","auto",NA,NA,NA,NA,"MBML048538",NA,NA,NA,NA,NA,NA,NA
"12","2020-07-10 09:44:16-03","MBML","MBML-HERBARIO","48881",NA,"Plantae","Bromeliaceae","Aechmea","fosteriana","Aechmea fosteriana","L.B.Smith","Nagibi/04-01-2002",NA,NA,NA,"N.N.F. da Silva","118","2002","01","04","Brasil","Espírito Santo","Serra","Itaiobaia, Morro do Céu","-40.3078002929688","-20.1285991668701","16451","Epífita, bainha castanha, bráctea floral vermelha, sépalas verdes, pétalas laranja","MBML048881","auto",NA,NA,NA,NA,"MBML048881_1 MBML048881_2",NA,NA,NA,NA,NA,NA,NA
"13","2020-09-25 10:42:43-03","UFPE","UFP","32454","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","fosteriana","Aechmea fosteriana","L.B.Sm.","Siqueira-Filho, JA","2001","11","02","Siqueira-Filho, JA","1183","2001","11","02","Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,"Folhas maculadas com 60,5x5cm. Face interna da bainha castanha com 18x8cm comp., Inflorescência vináceo-castanha com 67cm alt. Brácteas escapais vináceas. Inflorescência laxa, ramificada. Flores amarelas. Brácteas florais com ápice agu","UFP032454",NA,NA,"Pales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-09-12 05:00:02-03","US","US","1802542","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","fosteriana","Aechmea fosteriana","L.B. Sm.",NA,NA,NA,NA,"M. B. Foster & R. Foster","878","1940","8","9","Brazil","Espírito Santo",NA,"Victoria.",NA,NA,NA,NA,NA,NA,NA,"Bromeliales",NA,NA,NA,"South America - Neotropics","Monocotyledonae","1",NA,NA,NA,NA
"15","2020-09-12 05:00:02-03","US","US","1985786","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","fosteriana","Aechmea fosteriana","L.B. Sm.",NA,NA,NA,NA,"M. B. Foster","s.n.","1948","12",NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bromeliales",NA,NA,NA,"South America","Monocotyledonae","1",NA,NA,NA,NA
"16","2021-03-05 16:09:36-03","MN","R-TIPOS","32395","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","fosteriana","Aechmea fosteriana","L.B. Sm.","Smith, L.B.","1964","10","01","Foster, M.B. ; Foster, R.","177","1939","07","11","Brasil","Espírito Santo","Vitória",NA,"-40.3377990722656","-20.3194007873535","15291",NA,"R000032395","auto",NA,NA,NA,NA,"R000032395_001 R000032395_002",NA,NA,NA,"Isotypus",NA,NA,NA
"17","2019-11-21 10:02:25-03","IBt","SP","44749","S","Plantae","Bromeliaceae","Aechmea","fosteriana","Aechmea fosteriana","L.B.Sm.",NA,NA,NA,NA,"Foster, M; Foster, R","878",NA,NA,NA,"Brasil","Espírito Santo","Vitória",NA,"-40.3377990722656","-20.3194007873535","15291",NA,"SP050171","auto",NA,NA,NA,NA,"SP050171",NA,NA,NA,NA,NA,NA,NA
"18","2010-08-16 16:38:50-03","GH","HU-HERB","GH 00028995","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","fosteriana","Aechmea fosteriana","L. B. Smith",NA,NA,NA,NA,"M. B. Foster","177","1939","7","11","Brazil","Bahia",NA,"Litoral outside of Victoria, Esp. Santo; alt: sea level",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,"Holotype","177","undetermined","Sheet,Sheet"
"19","2012-07-16 13:56:51-03","GH","HU-HERB","GH 00028996","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","fosteriana","Aechmea fosteriana","L. B. Smith",NA,NA,NA,NA,"M. B. Foster","177","1939","7","11","Brazil","Bahia",NA,"Litoral outside of Victoria, Esp. Santo; alt: sea level",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,"Holotype","177","undetermined","Sheet,Sheet"
