"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","recordNumber","minimumElevationInMeters","maximumElevationInMeters","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","typeStatus","individualCount"
"1","2021-04-05 14:33:29-03","UNESC","CRI","13695","PreservedSpecimen","Plantae","Fabaceae","Abarema","langsdorffii","Abarema langsdorffii","(Benth.) Barneby & J.W.Grimes","Rodrigo Camargo","2017","11","22","Alexandre Medeiros","2017","11","22","Brasil","Santa Catarina","Balneário Camboriú","Barra","-48.637778","-27.001389","48º38'16''W","27º0'5''S","Coleta 764 Flor branca Habitat: Terrestre Habito: Arbóreo","CRI012302","CRI012302",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:29-03","UNESC","CRI","9169","PreservedSpecimen","Plantae","Fabaceae","Abarema","langsdorffii","Abarema langsdorffii","(Benth.) Barneby & J.W.Grimes","Daniel B. Falkenberg",NA,NA,NA,"Daniel B. Falkenberg; A.L. Gerber","1991","11","10","Brasil","Santa Catarina","Florianópolis","Costeira do Ribeirão, Ilha de Santa Catarina.","-48.48","-27.592222","48º28'48''W","27º35'32''S","Habitat: beira da mata","CRI002579","CRI002579","5548",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:29-03","UNESC","CRI","4732","PreservedSpecimen","Plantae","Fabaceae","Abarema","langsdorffii","Abarema langsdorffii","(Benth.) Barneby & J.W.Grimes","Vanilde C. Zanette",NA,NA,NA,"Vanilde C. Zanette; J. C. Caetano","1996","02","01","Brasil","Santa Catarina","Governador Celso Ramos","Lot. Palmar, Praia das Palmas.","-48.559444","-27.315278","48º33'34''W","27º18'55''S","Floresta Ombrófila Densa de Terras Baixas Habitat: Árvore","CRI003051","CRI003051",NA,"24","24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:29-03","UNESC","CRI","7711","PreservedSpecimen","Plantae","Fabaceae","Abarema","langsdorffii","Abarema langsdorffii","(Benth.) Barneby & J.W.Grimes","Vanilde Citadini-Zanette","2005","02","21","Daniel B. Falkenberg; T. B. Guimarães","2005","02","21","Brasil","Santa Catarina","Florianópolis",NA,"-48.510556","-27.596944","48º30'38''W","27º35'49''S",NA,"CRI003052","CRI003052",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","391067","PreservedSpecimen","Plantae","Fabaceae","Abarema","langsdorfii","Abarema langsdorfii","(Benth.) Barneby & J.W.Grimes","R. C. Barneby; J. W. Grimes",NA,NA,NA,"O. Handro","1971","11","04","Brazil","São Paulo","Sao Paulo","Sao Paulo, Agua Funda, nativa no Jardim Botanico","-46.618358","-23.646109",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=532788' target='other'> <mi>dwc_moreinfo</mi></a>","NY00391067","NY00391067_01","2176",NA,NA,"Magnoliophyta","Fabales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","391075","PreservedSpecimen","Plantae","Fabaceae","Abarema","langsdorfii","Abarema langsdorfii","(Benth.) Barneby & J.W.Grimes","R. C. Barneby; J. W. Grimes",NA,NA,NA,"S. A. Mori","1978","11","22","Brazil","Bahia","Barra do Choça","Estrada que liga Barra do Choça a Faz. Roda d'Agua (Rio Catolé), 3-6 km a E de Barra do Choça. Folha SD-24 (15-41b)","-40.57","-14.88",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=532773' target='other'> <mi>dwc_moreinfo</mi></a>","NY00391075","NY00391075_01","11314",NA,NA,"Magnoliophyta","Fabales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","391343","PreservedSpecimen","Plantae","Fabaceae","Abarema","langsdorfii","Abarema langsdorfii","(Benth.) Barneby & J.W.Grimes","M. de L. Rico-Arce",NA,NA,NA,"G. G. Hatschbach","1999","12","03","Brazil","Paraná","Doutor Ulysses","Serra de Paranapiacaba","-49.4194","-24.5683",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=275378' target='other'> <mi>dwc_moreinfo</mi></a>","NY00391343","NY00391343_01","69846",NA,NA,"Magnoliophyta","Fabales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","391076","PreservedSpecimen","Plantae","Fabaceae","Abarema","langsdorfii","Abarema langsdorfii","(Benth.) Barneby & J.W.Grimes","R. C. Barneby; J. W. Grimes",NA,NA,NA,"J. P. P. Carauta","1977","03","19","Brazil","Rio de Janeiro","Rio de Janeiro","Rio de Janeiro, Pedra da Gávea, Cabeca, perto da gruta","-43.284653","-22.997401",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=532776' target='other'> <mi>dwc_moreinfo</mi></a>","NY00391076","NY00391076_01","2368","840","840","Magnoliophyta","Fabales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","391058","PreservedSpecimen","Plantae","Fabaceae","Abarema","langsdorfii","Abarema langsdorfii","(Benth.) Barneby & J.W.Grimes","R. C. Barneby; J. W. Grimes",NA,NA,NA,"G. G. Hatschbach","1967","09","12","Brazil","Paraná","Paranaguá","Ponte da Pita","-48.5092","-25.5203",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=532792' target='other'> <mi>dwc_moreinfo</mi></a>","NY00391058","NY00391058_01","17165",NA,NA,"Magnoliophyta","Fabales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","391072","PreservedSpecimen","Plantae","Fabaceae","Abarema","langsdorfii","Abarema langsdorfii","(Benth.) Barneby & J.W.Grimes","R. C. Barneby; J. W. Grimes",NA,NA,NA,"S. F. Athayde","1995","01","20","Brazil","Paraná","Guaraqueçaba","Morro do Quitumbe. Em local aberto, próximo a trilha do Quitumbe","-48.33","-25.28",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=532777' target='other'> <mi>dwc_moreinfo</mi></a>","NY00391072","NY00391072_01","90",NA,NA,"Magnoliophyta","Fabales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","02423485","PreservedSpecimen","Plantae","Fabaceae","Abarema","langsdorfii","Abarema langsdorfii","(Benth.) Barneby & J.W.Grimes",NA,NA,NA,NA,"W. D. Barros","1940","12","10","Brazil","Rio de Janeiro","Itatiaia","Vale do Taquaral","-44.5631","-22.4961",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2685403' target='other'> <mi>dwc_moreinfo</mi></a>","NY02423485","NY02423485_01","130",NA,NA,"Magnoliophyta","Fabales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","391071","PreservedSpecimen","Plantae","Fabaceae","Abarema","langsdorfii","Abarema langsdorfii","(Benth.) Barneby & J.W.Grimes","R. C. Barneby; J. W. Grimes",NA,NA,NA,"M. Kuhlmann","1956","11","09","Brazil","São Paulo","Cunha","Cunha","-44.9597","-23.07",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=532795' target='other'> <mi>dwc_moreinfo</mi></a>","NY00391071","NY00391071_01","4054",NA,NA,"Magnoliophyta","Fabales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","391081","PreservedSpecimen","Plantae","Fabaceae","Abarema","langsdorfii","Abarema langsdorfii","(Benth.) Barneby & J.W.Grimes","R. C. Barneby; J. W. Grimes",NA,NA,NA,"R. Reitz","1958","12","16","Brazil","Santa Catarina","Lauro Muller","Rio do Rastro, Lauro Mueller","-49.3967","-28.3931",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=532784' target='other'> <mi>dwc_moreinfo</mi></a>","NY00391081","NY00391081_01","8049","350","350","Magnoliophyta","Fabales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","391080","PreservedSpecimen","Plantae","Fabaceae","Abarema","langsdorfii","Abarema langsdorfii","(Benth.) Barneby & J.W.Grimes","R. C. Barneby; J. W. Grimes",NA,NA,NA,"R. Reitz","1954","03","01","Brazil","Santa Catarina","Ibirama","Horto Florestal I. N. P. Ibirama","-49.52","-27.07",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=532783' target='other'> <mi>dwc_moreinfo</mi></a>","NY00391080","NY00391080_01","1596","300","300","Magnoliophyta","Fabales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","391066","PreservedSpecimen","Plantae","Fabaceae","Abarema","langsdorfii","Abarema langsdorfii","(Benth.) Barneby & J.W.Grimes","R. C. Barneby; J. W. Grimes",NA,NA,NA,"K. Mizoguchi","1978","12","10","Brazil","São Paulo","Sao Paulo","Santo Amaro, 47km. S from Sao Paulo City","-46.63","-23.5403",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=532775' target='other'> <mi>dwc_moreinfo</mi></a>","NY00391066","NY00391066_01","820","780","780","Magnoliophyta","Fabales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","391055","PreservedSpecimen","Plantae","Fabaceae","Abarema","langsdorfii","Abarema langsdorfii","(Benth.) Barneby & J.W.Grimes",NA,NA,NA,NA,"M. Kirizawa","1977","10","14","Brazil","São Paulo","Sao Paulo","Sao Paulo, Parque Estadual das Fontes do Ipiranga, Jardim Botanico. Area 9","-46.618358","-23.646109",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=532802' target='other'> <mi>dwc_moreinfo</mi></a>","NY00391055","NY00391055_01","298",NA,NA,"Magnoliophyta","Fabales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","391061","PreservedSpecimen","Plantae","Fabaceae","Abarema","langsdorfii","Abarema langsdorfii","(Benth.) Barneby & J.W.Grimes","R. C. Barneby; J. W. Grimes",NA,NA,NA,"F. C. Hoehne","1932","10","19","Brazil","São Paulo","Sao Paulo","Jardim Botanico, Sao Paulo","-46.618358","-23.646109",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=532778' target='other'> <mi>dwc_moreinfo</mi></a>","NY00391061","NY00391061_01","29842",NA,NA,"Magnoliophyta","Fabales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","391062","PreservedSpecimen","Plantae","Fabaceae","Abarema","langsdorfii","Abarema langsdorfii","(Benth.) Barneby & J.W.Grimes",NA,NA,NA,NA,"W. Hoehne","1941","12","01","Brazil","São Paulo","Sao Paulo","Campo de Congonhas","-46.660488","-23.627973",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=532790' target='other'> <mi>dwc_moreinfo</mi></a>","NY00391062","NY00391062_01",NA,NA,NA,"Magnoliophyta","Fabales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","01018061","PreservedSpecimen","Plantae","Fabaceae","Abarema","langsdorfii","Abarema langsdorfii","(Benth.) Barneby & J.W.Grimes","J. A. Kallunki",NA,NA,NA,"C. Farney","1990","11","25","Brazil","Rio de Janeiro","Parati","Pico do Cairuçu - acesso pela Praia Negra.","-44.7131","-23.2181",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1248497' target='other'> <mi>dwc_moreinfo</mi></a>","NY01018061","NY01018061_01","2529","200","800","Magnoliophyta","Fabales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","01081552","PreservedSpecimen","Plantae","Fabaceae","Abarema","langsdorfii","Abarema langsdorfii","(Benth.) Barneby & J.W.Grimes","R. C. Barneby; J. W. Grimes",NA,NA,NA,"T. Yano","1983","10","22","Brazil","São Paulo","Ibiúna","8 km da SP-250 no km 63, bairro Sorocabuçu","-47.22","-23.65",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1237897' target='other'> <mi>dwc_moreinfo</mi></a>","NY01081552","NY01081552_01","47",NA,NA,"Magnoliophyta","Fabales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","391082","PreservedSpecimen","Plantae","Fabaceae","Abarema","langsdorfii","Abarema langsdorfii","(Benth.) Barneby & J.W.Grimes","R. C. Barneby; J. W. Grimes",NA,NA,NA,"R. M. Klein","1957","11","27","Brazil","Santa Catarina","Vidal Ramos","Sabiá, Vidal Ramos","-49.3556","-27.3919",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=532785' target='other'> <mi>dwc_moreinfo</mi></a>","NY00391082","NY00391082_01","2272","750","750","Magnoliophyta","Fabales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
