"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","coordinatePrecision","geoFlag","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","00893177","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Byrsonima","affinis","Byrsonima affinis","W.R.Anderson","W. R. Anderson","W. R. Anderson","9518","1973","04","30","South America","Brazil","Goiás","Caiapônia","Serra do Caiapó, ca. 12 km (straight line) S of Caiapônia.","-51.81666667","-17.0566","860","860","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=965950' target='other'> <mi>dwc_moreinfo</mi></a>","NY00893177","NY00893177_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00893180","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Byrsonima","affinis","Byrsonima affinis","W.R.Anderson","W. R. Anderson","W. R. Anderson","11323","1975","02","11","South America","Brazil","Mato Grosso","Jaciara","Highway BR 364 km 113","-54.9681","-15.9656","780","780","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=965957' target='other'> <mi>dwc_moreinfo</mi></a>","NY00893180","NY00893180_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00893182","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Byrsonima","affinis","Byrsonima affinis","W.R.Anderson","W. R. Anderson","W. R. Anderson","12394","1982","02","19","South America","Brazil","Minas Gerais",NA,"70 km S of Uberlandia.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=965962' target='other'> <mi>dwc_moreinfo</mi></a>","NY00893182","NY00893182_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00893187","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Byrsonima","affinis","Byrsonima affinis","W.R.Anderson","M. C. H. Mamede","S. Martius","s.n.","1989","01","07","South America","Brazil","Minas Gerais","Uberlândia","Reserva Ecológia do Panga, Uberlândia.","-48.2769","-18.9186",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=966025' target='other'> <mi>dwc_moreinfo</mi></a>","NY00893187","NY00893187_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00893183","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Byrsonima","affinis","Byrsonima affinis","W.R.Anderson","W. R. Anderson","T. M. Pedersen","12136","1978","01","31","South America","Brazil","Goiás","Rio Verde","BR 452 km 249.","-50.9281","-17.7983",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=965967' target='other'> <mi>dwc_moreinfo</mi></a>","NY00893183","NY00893183_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00893184","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Byrsonima","affinis","Byrsonima affinis","W.R.Anderson",NA,"R. R. de Santos","R.1244","1968","05","02","South America","Brazil","Mato Grosso",NA,"5 km S of the Base Camp of the Expedition. Base Camp close to the Xavantina - São Felix road.","-51.87","-12.9",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=966018' target='other'> <mi>dwc_moreinfo</mi></a>","NY00893184","NY00893184_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00909366","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Byrsonima","affinis","Byrsonima affinis","W.R.Anderson","M. C. H. Mamede","M. G. da Silva","4419","1979","08","03","South America","Brazil","Mato Grosso","Várzea Grande","Entrocamento das rodovias, Cuiabá Santarém e Porto Velho, arredores do aeroporto.","-56.1322","-15.6469",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=980428' target='other'> <mi>dwc_moreinfo</mi></a>","NY00909366","NY00909366_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00893179","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Byrsonima","affinis","Byrsonima affinis","W.R.Anderson","W. R. Anderson","W. R. Anderson","9518","1973","04","30","South America","Brazil","Goiás","Caiapônia","Serra do Caiapó, ca. 12 km (straight line) S of Caiapônia.","-51.81666667","-17.0566","860","860","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=965955' target='other'> <mi>dwc_moreinfo</mi></a>","NY00893179","NY00893179_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00893186","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Byrsonima","affinis","Byrsonima affinis","W.R.Anderson","W. R. Anderson","M. G. da Silva","4419","1979","02","03","South America","Brazil","Mato Grosso","Várzea Grande","Entrocamento das rodovias, Cuiabá Santarém e Porto Velho, arredores do aeroporto.","-56.1322","-15.6469",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=966023' target='other'> <mi>dwc_moreinfo</mi></a>","NY00893186","NY00893186_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00893178","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Byrsonima","affinis","Byrsonima affinis","W.R.Anderson","W. R. Anderson","W. R. Anderson","9518","1973","04","30","South America","Brazil","Goiás","Caiapônia","Serra do Caiapó, ca. 12 km (straight line) S of Caiapônia.","-51.81666667","-17.0566","860","860","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=965954' target='other'> <mi>dwc_moreinfo</mi></a>","NY00893178","NY00893178_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","55546","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Byrsonima","affinis","Byrsonima affinis","W.R.Anderson",NA,"W. R. Anderson","11274","1975","02","08","South America","Brazil","Mato Grosso do Sul","Rio Verde de Mato Grosso","Serra da Pimenteira, 25-35 km SW of the town of Rio Verde","-54.8442","-18.9183",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=768709' target='other'> <mi>dwc_moreinfo</mi></a>","NY00055546","NY00055546_01","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
