"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","dayIdentified","coordinatePrecision","geoFlag","fieldNumber","individualCount","sex"
"1","2020-09-23 10:42:09-03","E","E","385268","PreservedSpecimen","Plantae","Orchidaceae","Cyrtopodium","parviflorum","Cyrtopodium parviflorum","unspecified kind of","Schomburgk, Robert Hermann","617","1905","01","10","E. Tropical South America","GY","herbarium specimen of unspecif","BGBASE:439053","<a href=http://data.rbge.org.uk/herb/E00385268 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00385268",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1844020","PreservedSpecimen","Plantae","Orchidaceae","Cyrtopodium","parviflorum","Cyrtopodium parviflorum",NA,"L. O. Williams","7932","1945","10","06","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2134776' target='other'> <mi>dwc_moreinfo</mi></a>","NY01844020","Magnoliophyta","Asparagales","Lindl.","G. A. Romero","Minas Gerais","Serro","Boca da Mata","-43.3792","-18.6047","1400","1400","NY01844020_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","4054829","PreservedSpecimen","Plantae","Orchidaceae","Cyrtopodium","parviflorum","Cyrtopodium parviflorum",NA,"O. Huber","10571","1985","06","16","South America","Venezuela","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4370486' target='other'> <mi>dwc_moreinfo</mi></a>","NY04054829","Magnoliophyta","Asparagales","Lindl.",NA,"Bolívar","Roscio","sabanas sobre dorsos de cuesta en la región de interfluvio entre el alto Río Arabopó y el Río Kukenán, aprox. 20 Km al SW del Uei-tepui (Cerro del Sol)","-66.77","4.88","1300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","4054821","PreservedSpecimen","Plantae","Orchidaceae","Cyrtopodium","parviflorum","Cyrtopodium parviflorum",NA,"P. J. M. Maas","5728","1981","10","15","South America","Guyana","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4370478' target='other'> <mi>dwc_moreinfo</mi></a>","NY04054821","Magnoliophyta","Asparagales","Lindl.",NA,NA,NA,"Pakaraima Mts., Mt. Aymatoi","-61","5.92","1150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","4054825","PreservedSpecimen","Plantae","Orchidaceae","Cyrtopodium","parviflorum","Cyrtopodium parviflorum",NA,"B. Maguire","40611","1955","02","07","South America","Guyana","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4370482' target='other'> <mi>dwc_moreinfo</mi></a>","NY04054825","Magnoliophyta","Asparagales","Lindl.",NA,NA,NA,"Mt. Ayanganna, Pakaraima Mountains. savanna near Chinowieng",NA,NA,"1000","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","04054818","PreservedSpecimen","Plantae","Orchidaceae","Cyrtopodium","parviflorum","Cyrtopodium parviflorum",NA,"B. Maguire","33731","1952","04","04","South America","Venezuela","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4370473' target='other'> <mi>dwc_moreinfo</mi></a>","NY04054818","Magnoliophyta","Asparagales","Lindl.",NA,NA,NA,"Ilu-Tepui, Gran Sabana. Northwest of mission at Kavanayen",NA,NA,"1300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1721108","PreservedSpecimen","Plantae","Orchidaceae","Cyrtopodium","parviflorum","Cyrtopodium parviflorum",NA,"B. Maguire","40467","1955","01","01","South America","Venezuela","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1038323' target='other'> <mi>dwc_moreinfo</mi></a>","NY01721108","Magnoliophyta","Asparagales","Lindl.",NA,NA,NA,"Rio Quino at Caju. Frontier between territorio do rio branco, Brazil and estado Bolivar. In morichal 10 km north of Caju.",NA,NA,"850",NA,"NY01721108_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","4054820","PreservedSpecimen","Plantae","Orchidaceae","Cyrtopodium","parviflorum","Cyrtopodium parviflorum",NA,"B. Maguire","32166","1951","10","21","South America","Guyana","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4370477' target='other'> <mi>dwc_moreinfo</mi></a>","NY04054820","Magnoliophyta","Asparagales","Lindl.",NA,NA,NA,"Pakaraima Mountains, Imbaimadai Savannas, Upper Mazaruni River",NA,NA,"550",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","4054828","PreservedSpecimen","Plantae","Orchidaceae","Cyrtopodium","parviflorum","Cyrtopodium parviflorum",NA,"T. W. Henkel","3739","1994","02","12","South America","Guyana","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4370485' target='other'> <mi>dwc_moreinfo</mi></a>","NY04054828","Magnoliophyta","Asparagales","Lindl.",NA,"Upper Takutu-Upper Essequibo",NA,"South Rupununi savanna; Keridwau Creek","-59.3","2.5","200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","4054819","PreservedSpecimen","Plantae","Orchidaceae","Cyrtopodium","parviflorum","Cyrtopodium parviflorum",NA,"B. Maguire","33281","1952","02","10","South America","Venezuela","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4370476' target='other'> <mi>dwc_moreinfo</mi></a>","NY04054819","Magnoliophyta","Asparagales","Lindl.",NA,"Bolívar","Gran Sabana","Ilu-tepui, open savanna near Uarupata",NA,NA,"1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
