"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","fieldNumber","infraspecificEpithet","typeStatus","previousCatalogNumber"
"1","2021-04-05 14:25:29-03","UNESC","CRI","14222","PreservedSpecimen","Plantae","Marcgraviaceae","Marcgravia","polyantha","Marcgravia polyantha","Delpino","Cadorin, TJ","2010","03","15","Cadorin, T.J.; Grosch, B. & Lopes, C.P.","1071","2010","01","26","Brasil","Santa Catarina","Doutor Pedrinho","Forcação. Forcação.","-49.585278","-26.7275","49º35'7''W","26º43'39''S","785","785","Epífita IFFSC e801a (Acima de 4m) Habitat: Floresta Ombrófila Densa; Estágio Avançado Habito: epífita;","CRI013386","CRI013386",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:29-03","UNESC","CRI","14648","PreservedSpecimen","Plantae","Marcgraviaceae","Marcgravia","polyantha","Marcgravia polyantha","Delpino","Pasetto, M. R.","2008","08","28","Pasetto, M. R.",NA,"2008","08","13","Brasil","Santa Catarina","Maracajá",NA,"-49.454444","-28.848056","49º27'16''W","28º50'53''S",NA,NA,"Habito: Arbórea","CRI013956","CRI013956",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:29-03","UNESC","CRI","8247","PreservedSpecimen","Plantae","Marcgraviaceae","Marcgravia","polyantha","Marcgravia polyantha","Delpino","Vanilde Citadini- Zanette",NA,NA,NA,"Mainara F. Cascaes",NA,"2008","05","16","Brasil","Santa Catarina","Maracajá","Parque Ecológico do Maracajá.","-49.453056","-28.847222","49º27'11''W","28º50'50''S","30","30",NA,"CRI004062","CRI004062",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:41-03","UNESC","CRI","1465","PreservedSpecimen","Plantae","Marcgraviaceae","Marcgravia","polyantha","Marcgravia polyantha","Delpino","R. Negrelle",NA,NA,NA,"R. Negrelle; et al.","220","1992","05","16","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha, início da trilha.","-48.616389","-26.1175","48º36'59''W","26º7'3''S","9","9",NA,"CRI004060","CRI004060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:29-03","UNESC","CRI","14237","PreservedSpecimen","Plantae","Marcgraviaceae","Marcgravia","polyantha","Marcgravia polyantha","Delpino","Cadorin, TJ","2010","02","02","Cadorin, T.J.; Grosch, B. & Lopes, C.P.","1157","2010","02","02","Brasil","Santa Catarina","Joinville","Rio Manso. Rio Manso.","-49.14","-26.28","49º8'24''W","26º16'48''S","770","770","Forófito 3. Epífita IFFSC e1025a (Acima de 4m) Habitat: Floresta Ombrófila Densa; Estágio Primário Habito: epífita;","CRI013385","CRI013385",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:25:29-03","UNESC","CRI","7900","PreservedSpecimen","Plantae","Marcgraviaceae","Marcgravia","polyantha","Marcgravia polyantha","Delpino","Vanilde Citadini- Zanette","2008","06","27","Marcelo Romagna Pasetto",NA,"2008","06","26","Brasil","Santa Catarina","Turvo",NA,"-49.679444","-28.926667","49º40'46''W","28º55'36''S",NA,NA,NA,"CRI009933",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","2206250","PreservedSpecimen","Plantae","Marcgraviaceae","Marcgravia","polyantha","Marcgravia polyantha","Delpino",NA,NA,NA,NA,"G. G. Hatschbach","16311","1967","04","13","Brazil","Paraná","Guaraqueçaba","Serrinha","-48.3289","-25.3069",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2334609' target='other'> <mi>dwc_moreinfo</mi></a>","NY02206250","NY02206250_01","Magnoliophyta","Ericales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","2206253","PreservedSpecimen","Plantae","Marcgraviaceae","Marcgravia","polyantha","Marcgravia polyantha","Delpino",NA,NA,NA,NA,"R. Reitz","2175","1954","10","14","Brazil","Santa Catarina","Blumenau","Mata da Cia. Hering, Blumenau","-49.082834","-26.926032",NA,NA,"250","250","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2334612' target='other'> <mi>dwc_moreinfo</mi></a>","NY02206253","NY02206253_01","Magnoliophyta","Ericales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","2206257","PreservedSpecimen","Plantae","Marcgraviaceae","Marcgravia","polyantha","Marcgravia polyantha","Delpino",NA,NA,NA,NA,"R. Reitz","7514","1958","10","24","Brazil","Santa Catarina","Lauro Muller","Novo Horizonte, Lauro Müller","-49.483071","-28.387264",NA,NA,"400","400","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2334616' target='other'> <mi>dwc_moreinfo</mi></a>","NY02206257","NY02206257_01","Magnoliophyta","Ericales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1145437","PreservedSpecimen","Plantae","Marcgraviaceae","Marcgravia","polyantha","Marcgravia polyantha","Delpino","J. C. Yesilyurt",NA,NA,NA,"R. de Mello-Silva","1581","1999","02","14","Brazil","Espírito Santo",NA,"Itarana. Jatiboca, Alto da Jatiboca, Fazenda da família Seidler.",NA,NA,NA,NA,"630","630","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1317051' target='other'> <mi>dwc_moreinfo</mi></a>","NY01145437","NY01145437_01","Magnoliophyta","Ericales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
