"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","preparationType","occurrenceRemarks","barcode","imagecode","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","typeStatus","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","fieldNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","451804","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Aeschynomene","denticulata","Aeschynomene denticulata","Rudd","R. O. Vanni","A. Schinini","30481","1996","02","29","South America","Argentina","Formosa","Pilcomayo","Ruta 86, alrededores de Laguna Blanca (ca. 500 m. antes de lallegada al pueblo). Finca de Caceres","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=685283' target='other'> <mi>dwc_moreinfo</mi></a>","NY00451804",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","451805","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Aeschynomene","denticulata","Aeschynomene denticulata","Rudd",NA,"D. O. Norris","288","1964","05","27","South America","Brazil","São Paulo",NA,"Mun. de Ribeirao Preto: near village of Guatapará. River flat of Rio Moji-Guaçu","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=685289' target='other'> <mi>dwc_moreinfo</mi></a>","NY00451805","NY00451805_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-09-27 04:13:00-03","NY","NYBG","451802","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Aeschynomene","denticulata","Aeschynomene denticulata",NA,"R. O. Vanni","T. M. Pedersen","9604","1969","12","17","South America","Paraguay","Misiones",NA,"Estancia La Soledad (Estero Tyecuá). Santiago","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=685287' target='other'> <mi>dwc_moreinfo</mi></a>","NY00451802",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-27 02:27:00-03","NY","NYBG","451806","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Aeschynomene","denticulata","Aeschynomene denticulata",NA,NA,"E. L. Ekman","1721","1907","12","02","South America","Argentina","Misiones",NA,"Posadas, in ripa humida fluminis Alto-Paraná","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=685288' target='other'> <mi>dwc_moreinfo</mi></a>","NY00451806",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","451834","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Aeschynomene","denticulata","Aeschynomene denticulata","Rudd","R. O. Vanni","R. M. Aguilar","327","1945","02","17","South America","Argentina","Chaco",NA,"Margarita Belén","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=685284' target='other'> <mi>dwc_moreinfo</mi></a>","NY00451834",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","451803","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Aeschynomene","denticulata","Aeschynomene denticulata","Rudd","V. E. Rudd","J. Steinbach","5391","1921","03","05","South America","Bolivia","Santa Cruz","Sara","Bañados, Buena Vista","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=685282' target='other'> <mi>dwc_moreinfo</mi></a>","NY00451803",NA,"-63.674299","-17.484936","500","500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-09-27 15:08:00-03","NY","NYBG","4998","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Aeschynomene","denticulata","Aeschynomene denticulata denticulata","Rudd",NA,"S. Venturi","5604","1927","11","17","South America","Argentina","Salta",NA,"Departamento Orau: Obra Grande [not clear on label]. Alt. 750 m.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=183229' target='other'> <mi>dwc_moreinfo</mi></a>","NY00004998","NY00004998_01",NA,NA,NA,NA,"denticulata","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-09-27 15:08:00-03","NY","NYBG","5014","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Aeschynomene","sensitiva","Aeschynomene sensitiva paucifoliolata","Hassl.",NA,"E. Hassler","6162",NA,NA,NA,"South America","Paraguay",NA,NA,"Stagnis porpe Tobaty.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=165047' target='other'> <mi>dwc_moreinfo</mi></a>","NY00005014","NY00005014_01",NA,NA,NA,NA,"paucifoliolata","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-01-28 13:11:12-03","MCN-PUC-MINAS","HPUC-MG","ANG5451","S","Plantae",NA,NA,"Fabaceae","Aeschynomene","denticulata","Aeschynomene denticulata",NA,"Starling, M.F.V & Silva, A.F.","Cunha, S.P.S.",NA,NA,NA,NA,NA,"Brasil","Minas Gerais","Belo Horizonte","Aeroporto Carlos Drummond de Andrade",NA,NA,NA,NA,"-43.952744","-19.850936",NA,NA,NA,NA,"43°57'09.88W","19°51'03.37S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-02-18 09:29:34-03","UNESP-IBB","BOTU","27852","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Aeschynomene","denticulata","Aeschynomene denticulata","Rudd",NA,"Záchia, R.A.","5571","2003","03","27",NA,"Brasil","Rio Grande do Sul","São Borja",NA,NA,"Flor amarela, planta glutinosa, ca. 1m de altura","BOTU027852",NA,NA,NA,NA,NA,NA,NA,"9999","9999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
