"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","247091","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Encholirium","irwinii","Encholirium irwinii","L.B.Sm.","L. B. Smith","possible type","H. S. Irwin","23573","1969","02","19","South America","Brazil","Minas Gerais","Serra do Espinhaço. Rio Itacambiruçu, and adjacent rocky cerrado, ca. 10 km W of Grao Mogol, road to Cristália.","900","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=365530' target='other'> <mi>dwc_moreinfo</mi></a>","NY00247091","NY00247091_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","873357","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Encholirium","irwinii","Encholirium irwinii","L.B.Sm.","R. C. Forzza",NA,"J. R. Pirani","4348","1998","05","15","South America","Brazil","Minas Gerais","Chapada do Bosque (Chapada do Cardoso na Folha IBGE). Fazenda Vargem Redonda, ca. 11 km em estrada ramal da estrada Grão-Mogol - Salinas.","780","780","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=955262' target='other'> <mi>dwc_moreinfo</mi></a>","NY00873357","NY00873357_01","Grão Mogol","-42.8831","-16.4936",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-01-14 15:25:52-03","MN","R","213476","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Encholirium","irwinii","Encholirium irwinii","L.B. Sm.","Coser, T.S.",NA,"Moura, R. 737; Oliveira, A.",NA,"2008","11","18",NA,"Brasil","Bahia",NA,NA,NA,NA,NA,"R010005781,R010004185","R010004185 R010005781","Morro do Chapéu","-41.1561012268066","-11.5500001907349","2010","10","28","98143","auto",NA,NA,NA,NA
"4","2020-12-20 21:16:25-03","UFV","VIC","31926","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Encholirium","irwinii","Encholirium irwinii","Smith, L. B.","Leme.",NA,"Ribeiro, O B C; Paula, C C Coser de","181","2008","06","24",NA,"Brasil","Minas Gerais","Estrada de Mato Verde a Santo Antônio do Retiro, 995 m elev.",NA,NA,NA,"Saxícola lateralmente em afloramento rochoso quartizítico voltado para Oeste. População associada a cupins.","VIC031926","VIC031926","Mato Verde","-42","-15","2008","06","24",NA,NA,"-42","-15",NA,NA
"5","2020-12-21 16:19:25-03","MBM","MBM","270918","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Encholirium","irwinii","Encholirium irwinii","L.B. Sm.","Forzza, R.C.",NA,"Pirani, J.R.; et al.; et al.","s.n.","1990","09","05","Southern America","Brazil","Minas Gerais","Vale do Rio Itacambiruçu",NA,NA,NA,NA,"MBM270918","MBM270918","Grão Mogol","-42.8897018432617","-16.5594005584717",NA,NA,NA,"67219","auto",NA,NA,NA,NA
"6","2020-12-11 11:43:31-03","UFMG","BHCB","70385","PreservedSpecimen","Plantae","Monocotyledon",NA,"Bromeliaceae","Encholirium","irwinii","Encholirium irwinii","L.B.Sm.",NA,NA,"Forzza, RC","801",NA,NA,NA,"Southern America","Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,"Grão Mogol","-42.8897018432617","-16.5594005584717",NA,NA,NA,"67219","auto",NA,NA,NA,NA
"7","2020-09-12 05:00:02-03","US","US","2598593","PreservedSpecimen","Plantae",NA,"Bromeliales","Bromeliaceae","Encholirium","irwinii","Encholirium irwinii","L.B. Sm.",NA,"Holotype","H. S. Irwin","23573","1969","2","19","South America - Neotropics","Brazil","Minas Gerais","Rio Itacambirucu west of Grao Mogol, road to Cristalis.","900","900",NA,NA,"US00008224","US00008224_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Monocotyledonae","1"
"8","2020-09-12 05:00:02-03","US","US","3439637","PreservedSpecimen","Plantae",NA,"Bromeliales","Bromeliaceae","Encholirium","irwinii","Encholirium irwinii","L.B. Sm.",NA,NA,"R. C. Forzza, M. C. Assis, A. Marcato, M. C. Assis & P. Labiak","801","1998","5","14","South America - Neotropics","Brazil","Minas Gerais","Próximo ao Rio Itacambiruçu","680",NA,NA,NA,"US01935173","US01935173_01","Grãoogol","-42.92","-16.58",NA,NA,NA,NA,NA,NA,NA,"Monocotyledonae","1"
"9","2019-11-21 10:02:37-03","IBt","SP","248180","S","Plantae",NA,NA,"Bromeliaceae","Encholirium","irwinii","Encholirium irwinii","L.B.Sm.","Forzza, RC",NA,"Bidá, A; et al.","CFCR12049","1988","05","28",NA,"Brasil","Minas Gerais","Margem direita do rio Itacambiruçu, entre a ponte para Cristália e a Fazenda Jambeiro","650","650",NA,NA,"SP051758","SP051758","Grão Mogol","-42.75","-16.583333",NA,NA,NA,NA,NA,"-42.75","-16.583333",NA,NA
"10","2019-11-21 10:02:37-03","IBt","SP","357056","S","Plantae",NA,NA,"Bromeliaceae","Encholirium","irwinii","Encholirium irwinii","L.B.Sm.","Forzza, RC",NA,"Pirani, JR; et al.","CFCR13263","1990","11","05",NA,"Brasil","Minas Gerais","Vale do Rio Itacambiruçu.","670","670",NA,NA,"SP051757","SP051757","Grão Mogol","-42.916667","-16.6","2001",NA,NA,NA,NA,"-42.916667","-16.6",NA,NA
"11","2019-11-21 10:02:37-03","IBt","SP","359549","S","Plantae",NA,NA,"Bromeliaceae","Encholirium","irwinii","Encholirium irwinii","L.B.Sm.","Forzza, RC",NA,"Forzza, RC; et al.","801","1998","07","17",NA,"Brasil","Minas Gerais","Próximo do Rio Itacambiruçu.","680","680",NA,NA,"SP051753","SP051753","Grão Mogol","-42.916667","-16.583333","2001",NA,NA,NA,NA,"-42.916667","-16.583333",NA,NA
