"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","phylum","order","continentOcean","preparationType","class","individualCount","fieldNumber","relatedCatalogItem"
"1","2021-04-05 14:33:44-03","UNESC","CRI","1749","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","pruinosa","Eugenia pruinosa","D.Legrand","Marcos Sobral","V. Citadini-Zanette; C. M. Martinello & A. J. de Aguiar","1727","1993","05","13","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.291667","-28.359444","49º17'30''W","28º21'34''S","110","110","Habito: arbórea","CRI005002","CRI005002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:44-03","UNESC","CRI","1748","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","pruinosa","Eugenia pruinosa","D.Legrand","Marcos Sobral","Vanilde Citadini Zanette; C. M. Martinello & A. J. de Aguiar","1726","1993","05","06","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.291667","-28.359444","49º17'30''W","28º21'34''S","110","110","Habito: arbórea","CRI004999","CRI004999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:44-03","UNESC","CRI","1745","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","pruinosa","Eugenia pruinosa","D.Legrand","Marcos Sobral","V. Citadini-Zanette; C. M. Martinello & A. J. de Aguiar","1723","1993","05","19","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.291667","-28.359444","49º17'30''W","28º21'34''S","110","110","Habito: arbórea","CRI005000","CRI005000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:38-03","UNESC","CRI","14638","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","pruinosa","Eugenia pruinosa","D.Legrand","Ribeiro, C.L.","Magagnin, J. F.; Rosa, M. Z.",NA,"1997","10","04","Brasil","Santa Catarina","Turvo",NA,"-49.681944","-28.928056","49º40'55''W","28º55'41''S",NA,NA,"Planta terrestre, solo arenoso, frutos comestíveis. Habito: Arbórea","CRI013946","CRI013946","2019","08","05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:33:44-03","UNESC","CRI","1692","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","pruinosa","Eugenia pruinosa","D.Legrand","Marcos Sobral","Vanilde Citadini Zanette; R. dos Santos & J. L. Waechter",NA,"1993","08","06","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.291667","-28.359444","49º17'30''W","28º21'34''S","110","110",NA,"CRI004997","CRI004997","1993","08","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:33:44-03","UNESC","CRI","1722","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","pruinosa","Eugenia pruinosa","D.Legrand","Marcos Sobral","V. Citadini-Zanette; R. dos Santos & A. J. de Aguiar","1701","1993","06","02","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.291667","-28.359444","49º17'30''W","28º21'34''S","110","110",NA,"CRI004995","CRI004995",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:33:44-03","UNESC","CRI","1686","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","pruinosa","Eugenia pruinosa","D.Legrand","Marcos Sobral","Vanilde Citadini-Zanette; A. J. Aguiar e C. M. Martinello",NA,"1993","05","13","Brasil","Santa Catarina","Orleans",NA,"-49.285278","-28.368333","49º17'7''W","28º22'6''S",NA,NA,NA,"CRI005001","CRI005001","1993","08","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:33:44-03","UNESC","CRI","1684","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","pruinosa","Eugenia pruinosa","D.Legrand","Marcos Sobral","V. Citadini-Zanette; C. M. Martinello & A. J. de Aguiar","1601","1993","03","31","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.291667","-28.359444","49º17'30''W","28º21'34''S","110","110","Habito: arbórea","CRI004998","CRI004998","1993","08","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:25:38-03","UNESC","CRI","13753","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","pruinosa","Eugenia pruinosa","D.Legrand","Fábio Longen","Alexandre Medeiros","974","2018","08","19","Brasil","Santa Catarina","Balneário Camboriú","Pinhonat","-48.6347007751465","-26.9906005859375",NA,NA,NA,NA,"Fruto laranja Habitat: Terrestre Habito: Arbórea","CRI012360",NA,"2018","08","19","8793","auto",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","580112","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","pruinosa","Eugenia pruinosa","D.Legrand","M. Sobral","G. G. Hatschbach","19591","1968","08","13","Brazil","Paraná","Morretes","Col. Floresta","-48.8342","-25.4769",NA,NA,"50","100","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=379427' target='other'> <mi>dwc_moreinfo</mi></a>","NY00580112","NY00580112_01",NA,NA,NA,NA,NA,"Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA
"11","2020-06-29 11:31:36-03","UFRJ","RFA","17810","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","pruinosa","Eugenia pruinosa","D.Legrand","M. Sobral","D. Sucre","7577","1971","06","29","Brasil","Rio de Janeiro","Rio de Janeiro","Pedra de Itauna","-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,"Árvore com ca. de 12 m de altura, saxícola, lâmina da folha na face ventral verde escuro, lucida com a margem e a nervura central verde argentea, fruto ainda verde","RFA46355",NA,"2015","06","24","57442","auto",NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-02-08 10:06:25-03","NBC","NL-BOTANY","L.2514286","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","pruinosa","Eugenia pruinosa","D.Legrand",NA,"Klein RM",NA,"1954","03","17","Brazil",NA,NA,"Plantas de Catarina- Brasil. Morro da fazende, Itajai.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2514286 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2514286","NL-L2514286",NA,NA,NA,NA,NA,NA,"Myrtales","Southern America",NA,"Magnoliopsidae",NA,NA,NA
"13","2020-11-04 11:14:35-03","ESALQ","ESA","128284","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","pruinosa","Eugenia pruinosa",NA,"Ivanauskas, N.M.","Virillo, C.B.","150.0","2013","04","01","Brasil","São Paulo","Tapiraí","Reserva Particular da Votorantim (CBA). UHE - Trilha da Chaminé, Floresta Ombrófila Densa na beira do ribeirão do veado","-47.204722","-24.110555","-47.204722","-24.110555","269","269",NA,"ESA128284",NA,"2013",NA,NA,NA,NA,"Magnoliophyta",NA,NA,NA,NA,NA,NA,NA
"14","2020-11-04 11:14:35-03","ESALQ","ESA","29419","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","pruinosa","Eugenia pruinosa","D.Legrand","Ivanauskas, N.M.","Ivanauskas, N.M. et al.","974.0","1995","06","04","Brasil","São Paulo","Pariquera-Açu",NA,"-47.8800010681152","-24.7099990844727",NA,NA,NA,NA,NA,"ESA029419","ESA029419",NA,NA,NA,"17990","auto","Magnoliophyta",NA,NA,NA,NA,NA,NA,NA
"15","2020-11-04 11:14:35-03","ESALQ","ESA","104508","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","pruinosa","Eugenia pruinosa",NA,"Aguiar, O.T.","Aguiar, O.T.","1020.0","2002","03","14","Brasil","São Paulo","São Miguel Arcanjo",NA,"-47.9900016784668","-23.8700008392334",NA,NA,NA,NA,NA,"ESA104508","ESA104508","2002","03","17","27904","auto","Magnoliophyta",NA,NA,NA,NA,NA,NA,NA
"16","2020-11-04 11:14:35-03","ESALQ","ESA","52019","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","pruinosa","Eugenia pruinosa","D. Legrand",NA,"Lima, R.A.F.","450.0",NA,NA,NA,"Brasil","São Paulo","Sete Barras","Parcela permanente - Parque Estadual de Carlos Botelho","-47.9199981689453","-24.3799991607666",NA,NA,"400","400",NA,"ESA052019","ESA052019",NA,NA,NA,"34059","auto","Magnoliophyta",NA,NA,NA,NA,NA,NA,NA
"17","2020-11-04 11:14:35-03","ESALQ","ESA","109753","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","pruinosa","Eugenia pruinosa",NA,NA,"Souza, V.C.; Duarte, A.R.; Rando, J.G.; Ferreira, M.P.; et al.","29327.0",NA,NA,NA,"Brasil","São Paulo","Sete Barras","Parque Estadual Carlos Botelho. Área do projeto Parcelas Permanentes","-47.9199981689453","-24.3799991607666",NA,NA,NA,NA,NA,"ESA109753","ESA109753",NA,NA,NA,"34059","auto","Magnoliophyta",NA,NA,NA,NA,NA,NA,NA
"18","2020-11-04 11:14:35-03","ESALQ","ESA","1775","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","pruinosa","Eugenia pruinosa","D.Legrand","Aguiar, O.T.","Ivanauskas, N.M. ; Nascimento, R.C.","81.0","1995","03","24","Brasil","São Paulo","Pariquera-Açu",NA,"-47.8800010681152","-24.7099990844727",NA,NA,NA,NA,NA,"ESA001775",NA,NA,NA,NA,"17990","auto","Magnoliophyta",NA,NA,NA,NA,NA,NA,NA
"19","2020-11-04 11:14:35-03","ESALQ","ESA","99561","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","pruinosa","Eugenia pruinosa",NA,"Ivanauskas, N.M.","Ivanauskas, N.M.","5010.0","2004","01","15","Brasil","São Paulo","Sete Barras",NA,"-47.9199981689453","-24.3799991607666",NA,NA,NA,NA,NA,"ESA099561","ESA099561",NA,NA,NA,"34059","auto","Magnoliophyta",NA,NA,NA,NA,NA,NA,NA
"20","2020-11-04 11:14:35-03","ESALQ","ESA","109754","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","pruinosa","Eugenia pruinosa",NA,NA,"Souza, V.C.; Duarte, A.R.; Rando, J.G.; Ferreira, M.P.; et al.","29328.0",NA,NA,NA,"Brasil","São Paulo","Sete Barras","Parque Estadual Carlos Botelho. Área do projeto Parcelas Permanentes","-47.9199981689453","-24.3799991607666",NA,NA,NA,NA,NA,"ESA109754","ESA109754",NA,NA,NA,"34059","auto","Magnoliophyta",NA,NA,NA,NA,NA,NA,NA
"21","2020-11-04 11:14:35-03","ESALQ","ESA","109752","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","pruinosa","Eugenia pruinosa",NA,NA,"Souza, V.C.; Duarte, A.R.; Rando, J.G.; Ferreira, M.P.; et al.","29326.0",NA,NA,NA,"Brasil","São Paulo","Sete Barras","Parque Estadual Carlos Botelho. Área do projeto Parcelas Permanentes","-47.9199981689453","-24.3799991607666",NA,NA,NA,NA,NA,"ESA109752","ESA109752",NA,NA,NA,"34059","auto","Magnoliophyta",NA,NA,NA,NA,NA,NA,NA
"22","2021-03-01 16:36:19-03","UNICAMP","UEC","188982","S","Plantae","Myrtaceae","Eugenia","pruinosa","Eugenia pruinosa","D.Legrand","Mazine, FF","Silva, BG; Castello, ACD; Kataoka, EY; Vidal Junior, JD","244","2015","02","09","Brazil","São Paulo","São Miguel Arcanjo","Parque Estadual Carlos Botelho","-47.99","-24.064167","-47.99","-24.064167","800","800","Árvore, 9 m de altura e 6 cm de DAP; Floresta Ombrófila Densa","UEC119523","UEC119523","2015",NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA,NA,NA,NA,NA
