"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","identifiedBy","verbatimLongitude","verbatimLatitude","relatedCatalogItem","yearIdentified","county","minimumElevationInMeters","monthIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","579313","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Pseudoxandra","rionegrensis","Pseudoxandra rionegrensis","Maas","isotype","P. J. M. Maas","6910","1987","11","04","South America","Brazil","Amazonas","Rio Negro, Rio Içana, 10 minutes by motorboat upstream from mouth of Rio Cubate. Hill at left bank.","-67.63","0.55","150","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=500342' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579313","NY00579313_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1147191","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Pseudoxandra","rionegrensis","Pseudoxandra rionegrensis","Maas",NA,"D. W. Stevenson","898",NA,NA,NA,"South America","Brazil","Amazonas",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1309163' target='other'> <mi>dwc_moreinfo</mi></a>","NY01147191","NY01147191_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 09:42:34-03","NBC","NL-BOTANY","U 0068550","PreservedSpecimen","Plantae",NA,"Magnoliales","Annonaceae","Pseudoxandra","rionegrensis","Pseudoxandra rionegrensis","Maas","isotype","Maas PJM; et al.",NA,"1987","11","04","Southern America","Brazil","Amazonas","Brazil. Amazonas: Rio Negro, Rio Içana, 10 minutes by motorboat upstream from mouth of Rio Cubate. Hill at left bank.","-67.633333","0.55",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200068550 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0068550","NL-U0068550","Magnoliopsidae","Maas PJM","-67.633333","0.55","3423",NA,NA,NA,NA
"4","2020-02-08 09:42:34-03","NBC","NL-BOTANY","U.1080146","PreservedSpecimen","Plantae",NA,"Magnoliales","Annonaceae","Pseudoxandra","rionegrensis","Pseudoxandra rionegrensis","Maas",NA,"Stevenson DW; Kawasaki ML; Mueller G; Ramos JF",NA,"1987","11","12","Southern America","Brazil","Amazonas",NA,"-67.366667","0.516667",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1080146 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1080146","NL-U1080146","Magnoliopsidae","Maas PJM","-67.366667","0.516667","U 0068295",NA,NA,NA,NA
"5","2020-08-31 09:12:35-03","INPA","INPA","158335","S","Plantae","Dicotyledon Magnoliids","Magnoliales","Annonaceae","Pseudoxandra","rionegrensis","Pseudoxandra rionegrensis","Maas","holotype","Maas, PJM","6910","1987","11","04","Southern America","Brasil","Amazonas","Rio Içana, Rio Negro, rio Içana, 10 minutes by motorboat upstream from mouth of rio Cubate. Hill at left bank. Disturbed forest.","-67.633333","0.55","150",NA,NA,"INPA0158335","INPA0158335 INPA0158335_e INPA0158335_e1 INPA0158335_e2",NA,"Maas, PJM","-67.633333","0.55",NA,"2001","São Gabriel da Cachoeira","150",NA
"6","2020-08-31 09:12:35-03","INPA","INPA","167018","S","Plantae","Dicotyledon Magnoliids","Magnoliales","Annonaceae","Pseudoxandra","rionegrensis","Pseudoxandra rionegrensis","Maas",NA,"Stevenson, DW","898","1987","11","12","Southern America","Brasil","Amazonas","Rio Içana, Serro Grilo, Rio Negro, rio Içana, Sero Grilo, hour upstream by motorboat from confluence with rio Negro","-67.366667","0.516667",NA,NA,NA,"INPA0167018","INPA0167018 INPA0167018_e INPA0167018_e1",NA,"Maas, PJM","-67.366667","0.516667",NA,"2001","São Gabriel da Cachoeira",NA,"11"
"7","2009-11-26 13:47:09-02","INPA","INPAW","10168","S","Plantae",NA,NA,"Annonaceae","Pseudoxandra","rionegrensis","Pseudoxandra rionegrensis","Maas",NA,"Maas, P.J.M.","6910","2001","11","04",NA,"Brasil","Amazonas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2009-11-26 13:47:09-02","INPA","INPAW","10227","S","Plantae",NA,NA,"Annonaceae","Pseudoxandra","rionegrensis","Pseudoxandra rionegrensis","Maas",NA,"Stevenson, D.W.","898","1987","11","12",NA,"Brasil","Amazonas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
