"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","order","dayIdentified","imagecode","relatedCatalogItem","class","typeStatus","individualCount","fieldNumber"
"1","2021-03-30 12:37:51-03","EAO","IAN","178718","PreservedSpecimen","Plantae","Dicotiledônea","Elaeocarpaceae","Sloanea","erismoides","Sloanea erismoides","Ducke","Cordeiro, MR","Araújo, MM; Cordeiro, MR","36","2002","05","15","Southern America","Brasil","Pará","Castanhal","Apeú, Estação experimental da FCAP, Capoeira de terra firme&nf;OBS: Parcela 3, capoeira de 14 anos, indivíduo 292","-47.95","-1.316667","-47.95","-1.316667","Árvore (material estéril); DAP: 4,8 cm; Altura: 7,5 m","IAN178718",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-30 12:37:51-03","EAO","IAN","186587","PreservedSpecimen","Plantae","Dicotiledônea","Elaeocarpaceae","Sloanea","erismoides","Sloanea erismoides","Ducke","Félix-da-Silva, MM","Félix-da-Silva, MM; Trindade, MJS; Lobato, LCB; Santos, MR dos; Souza, CA","119","2007","01","30","Southern America","Brasil","Pará","Portel","Flona de Caxiuanã, Igarapé Caquajó.","-51.631111","-1.960278","-51.631111","-1.960278","Árvore de 8m de altura. Frutos imaturos.","IAN186587",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-30 12:37:51-03","EAO","IAN","163639","PreservedSpecimen","Plantae","Dicotiledônea","Elaeocarpaceae","Sloanea","erismoides","Sloanea erismoides","Ducke","Rosa, NA","Cordeiro, MR","2038","1986","11","10","Southern America","Brasil","Pará","Belém","Embrapa; Reserva Mocambo. Mata de terra firme. Linha 06-17.","-48.5043983459473","-1.4558299779892",NA,NA,"Árvore de 9m de altura, estéril.","IAN163639","48462","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-30 12:37:51-03","EAO","IAN","170877","PreservedSpecimen","Plantae","Dicotiledônea","Elaeocarpaceae","Sloanea","erismoides","Sloanea erismoides","Ducke",NA,"Zimmerman, B","s.n.","2000","02",NA,"Southern America","Brasil","Pará","Redenção",NA,"-50.0313987731934","-8.02861022949219",NA,NA,"Aldeia Aukre. CK - Q.25.","IAN170877","64747","auto","2000","02",NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-08-31 09:08:39-03","INPA","INPA","136567","S","Plantae","Dicotyledon Com-Clade","Elaeocarpaceae","Sloanea","erismoides","Sloanea erismoides","Ducke","Sampaio, D","Maciel, UN","290","1978","12","12","Southern America","Brasil","Pará","Santarém","Pindobal, Estrada Pindobal-Alter do Chão. Margem de igarapé, água corrente, limpa","-55.589156","-2.935039","-55.589156","-2.935039",NA,"INPA0136567",NA,NA,"2017","01","Oxalidales","05","INPA0136567 INPA0136567_e",NA,NA,NA,NA,NA
"6","2020-09-17 10:39:45-03","UEPA","MFS-FRUTOS","MFSFR000058","PreservedSpecimen","Plantae",NA,"Elaeocarpaceae","Sloanea","erismoides","Sloanea erismoides","Ducke.","Félix-da-Silva M.M.","Félix-da-Silva, MM","117","2007","01","30",NA,"Brasil","Pará","Portel","Igarapé Caquajó, Floresta Nacional de Caxiuanã.","-50.805353","-1.939683","-50.805353","-1.939683","Fruto do tipo cápsula loculicida, inerme ou armado. Sementes cobertas parcialmente ou totalmente por um arilo amarelo, branco, alaranjado ou vermelho. &nf;&nf;Fonte: Boeira, A.S.P. (2010) - O gênero Sloanea L. ( Elaeocarpaceae) na Reserv","MFSFR000058",NA,NA,"2008",NA,NA,NA,"MFSFR000058 MFSFR000058_e","MFS000781",NA,NA,NA,NA
"7","2020-09-12 05:00:02-03","US","US","1617633","PreservedSpecimen","Plantae",NA,"Elaeocarpaceae","Sloanea","erismoides","Sloanea erismoides","Ducke",NA,"A. Ducke","18382","1923","9","6","South America - Neotropics","Brazil","Pará",NA,"Santarem (civ. Pará), silve paludosa secus rivem Ipanema",NA,NA,NA,NA,"Annotated as isotype by T.D. Pennington (2015) but protologue cites (and specimen label reflects) 2 collections made on different dates (syntypes), 6-9-1923; 24-3-1926 fruct. [only the first element is apparently mounted on the US sheet; no fruit found]","US00098555",NA,NA,NA,NA,"Malvales",NA,"US00098555_01",NA,"Dicotyledonae","Isosyntype","1",NA
"8","2018-05-14 16:17:55-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta","Elaeocarpaceae","Sloanea","erismoides","Sloanea erismoides",NA,"RRC ID Flag","P. Fine","644","2001","12","16","South America","Peru","Loreto",NA,NA,"-75","-4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,"644"
"9","2020-09-17 10:40:43-03","UEPA","MFS","000760","PreservedSpecimen","Plantae",NA,"Elaeocarpaceae","Sloanea","erismoides","Sloanea erismoides","Ducke.",NA,"Félix-da-Silva, MM","119",NA,NA,NA,NA,"Brasil","Pará","Portel","Floresta Nacional de Caxiuanã, Igarapé Caquajó","-50.817975","-1.938861","-50.817975","-1.938861","Árvore de 8 m de altura. Frutos imaturos verdes.","MFS000760",NA,NA,NA,NA,NA,NA,"MFS000760 MFS000760_e",NA,NA,NA,NA,NA
"10","2020-09-17 10:40:43-03","UEPA","MFS","000781","PreservedSpecimen","Plantae",NA,"Elaeocarpaceae","Sloanea","erismoides","Sloanea erismoides","Ducke.",NA,"Félix-da-Silva, MM","117",NA,NA,NA,NA,"Brasil","Pará","Portel","Floresta Nacional de Caxiuanã, Igarapé Caquajó","-50.817975","-1.938861","-50.817975","-1.938861","Árvore de 8 m de altura. Frutos imaturos verdes.","MFS000781",NA,NA,NA,NA,NA,NA,"MFS000781 MFS000781_e",NA,NA,NA,NA,NA
"11","2020-09-17 10:40:43-03","UEPA","MFS","MFSFR000058","PreservedSpecimen","Plantae",NA,"Elaeocarpaceae","Sloanea","erismoides","Sloanea erismoides","Ducke.","Félix-da-Silva, MM","Félix-da-Silva, MM","117","2007","01","30",NA,"Brasil","Pará","Portel","Igarapé Caquajó, Floresta Nacional de Caxiuanã.","-50.805353","-1.939683","-50.805353","-1.939683","Fruto do tipo cápsula loculicida, inerme ou armado. Sementes cobertas parcialmente ou totalmente por um arilo amarelo, branco, alaranjado ou vermelho. &nf;&nf;Fonte: Boeira, A.S.P. (2010) - O gênero Sloanea L. ( Elaeocarpaceae) na Reserva","MFSMFSFR0",NA,NA,"2008",NA,NA,NA,NA,NA,NA,NA,NA,NA
