"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","minimumElevationInMeters","maximumElevationInMeters","imagecode","county","typeStatus","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2020-09-23 10:44:28-03","E","E","84870","PreservedSpecimen","Plantae","Vochysiaceae","Salvertia","convallariodora","Salvertia convallariodora","França. F., Melo, E. & Proença, C.","2263","1997","05","13","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:94099","<a href=http://data.rbge.org.uk/herb/E00084870 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00084870",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:44:28-03","E","E","212403","PreservedSpecimen","Plantae","Vochysiaceae","Salvertia","convallariodora","Salvertia convallariodora","Ratter, J.A.; Sanaiotti, T.; Da Sousa, R.V.",NA,"1993","10","04","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:226651","<a href=http://data.rbge.org.uk/herb/E00212403 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00212403","7-8 km from Alter do Chão on the Santarém road.","-54.916667","-2.483333","-54.916667","-2.483333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","424579","PreservedSpecimen","Plantae","Vochysiaceae","Salvertia","convallariodora","Salvertia convallariodora","R. M. Harley","19019","1977","02","24","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=677552' target='other'> <mi>dwc_moreinfo</mi></a>","NY00424579","Serra do Açurua. 1.5 km. S. of Sao Inácio on Gentio do Ouro road","-42.73","-11.12",NA,NA,"Magnoliophyta","Myrtales","A.St.-Hil.","S. M. Cooper","Bahia","500","500","NY00424579_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00941207","PreservedSpecimen","Plantae","Vochysiaceae","Salvertia","convallariodora","Salvertia convallariodora","H. S. Irwin","14535","1966","04","09","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1007683' target='other'> <mi>dwc_moreinfo</mi></a>","NY00941207","Serra Geral de Goiás, Rio da Prata, vicinity of Posse","-46.37","-14.13",NA,NA,"Magnoliophyta","Myrtales","A.St.-Hil.","L. Marcano-Berti","Goiás","800","800","NY00941207_01","Posse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00941205","PreservedSpecimen","Plantae","Vochysiaceae","Salvertia","convallariodora","Salvertia convallariodora","Martii Herbar. Florae Brasil.","1285","1841",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1007646' target='other'> <mi>dwc_moreinfo</mi></a>","NY00941205","Cuyabá.","-56.043867","-15.612755",NA,NA,"Magnoliophyta","Myrtales","A.St.-Hil.","F. A. Stafleu",NA,NA,NA,"NY00941205_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00941230","PreservedSpecimen","Plantae","Vochysiaceae","Salvertia","convallariodora","Salvertia convallariodora","J. A. Rizzo","5210A","1970","05","23","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1007768' target='other'> <mi>dwc_moreinfo</mi></a>","NY00941230","Alto da Serra de Caldas Novas",NA,NA,NA,NA,"Magnoliophyta","Myrtales","A.St.-Hil.","M. L. Kawasaki","Goiás",NA,NA,"NY00941230_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","424572","PreservedSpecimen","Plantae","Vochysiaceae","Salvertia","convallariodora","Salvertia convallariodora","G. Gardner","2570","1836",NA,NA,"South America","Brazil","sheet",NA,"This number is cited under this name in Martius, Flora Brasiliensis <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=677560' target='other'> <mi>dwc_moreinfo</mi></a>","NY00424572","Brasilia",NA,NA,NA,NA,"Magnoliophyta","Myrtales","A.St.-Hil.",NA,NA,NA,NA,"NY00424572_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00941180","PreservedSpecimen","Plantae","Vochysiaceae","Salvertia","convallariodora","Salvertia convallariodora","H. L. de M. Barreto","7093","1934","05","03","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1007563' target='other'> <mi>dwc_moreinfo</mi></a>","NY00941180","Lagoa Santa","-43.8514","-19.7697",NA,NA,"Magnoliophyta","Myrtales","A.St.-Hil.",NA,"Minas Gerais",NA,NA,"NY00941180_01","Santa Luzia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","2026965","PreservedSpecimen","Plantae","Vochysiaceae","Salvertia","convallariodora","Salvertia convallariodora","J. M. Pires","52089","1962","07","12","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2176301' target='other'> <mi>dwc_moreinfo</mi></a>","NY02026965","Magin of creek, affluent of Rio Matapi.",NA,NA,NA,NA,"Magnoliophyta","Myrtales","A.St.-Hil.",NA,"Amapá",NA,NA,"NY02026965_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00941183","PreservedSpecimen","Plantae","Vochysiaceae","Salvertia","convallariodora","Salvertia convallariodora","A. Macedo","94","1944","08","12","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1007592' target='other'> <mi>dwc_moreinfo</mi></a>","NY00941183","Aroeira","-49.465","-18.9692",NA,NA,"Magnoliophyta","Myrtales","A.St.-Hil.","J. F. de Toledo","Minas Gerais",NA,NA,"NY00941183_01","Ituiutaba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","00941178","PreservedSpecimen","Plantae","Vochysiaceae","Salvertia","convallariodora","Salvertia convallariodora","R. Goodland","59","1965","10","22","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1007549' target='other'> <mi>dwc_moreinfo</mi></a>","NY00941178","Lagoa Santa, Jaguara",NA,NA,NA,NA,"Magnoliophyta","Myrtales","A.St.-Hil.","J. A. Kallunki","Minas Gerais",NA,NA,"NY00941178_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","00941234","PreservedSpecimen","Plantae","Vochysiaceae","Salvertia","convallariodora","Salvertia convallariodora","J. A. Rizzo","6438","1971","09","18","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1007775' target='other'> <mi>dwc_moreinfo</mi></a>","NY00941234","Serra dos Caiapós. A 40 km. de Amorinópolis para Rio Verde.","-51.8103","-16.9569",NA,NA,"Magnoliophyta","Myrtales","A.St.-Hil.","M. L. Kawasaki","Goiás",NA,NA,"NY00941234_01","Caiapônia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","01023292","PreservedSpecimen","Plantae","Vochysiaceae","Salvertia","convallariodora","Salvertia convallariodora","R. C. de Mendonça","2324","1995","08","24","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1189520' target='other'> <mi>dwc_moreinfo</mi></a>","NY01023292","Velha da Galinha, trecho entre o Aeroporto e a entrada para o bar Estrela Galdina","-45.3828","-13.6086",NA,NA,"Magnoliophyta","Myrtales","A.St.-Hil.","O. Kosovsky","Bahia",NA,NA,"NY01023292_01","Correntina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","00941232","PreservedSpecimen","Plantae","Vochysiaceae","Salvertia","convallariodora","Salvertia convallariodora","J. A. Rizzo","6215","1971","04","17","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1007771' target='other'> <mi>dwc_moreinfo</mi></a>","NY00941232","Serra dos Caiapós. A 40 km. de Amorinópolis para Rio Verde.","-51.8103","-16.9569",NA,NA,"Magnoliophyta","Myrtales","A.St.-Hil.","M. L. Kawasaki","Goiás",NA,NA,"NY00941232_01","Caiapônia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","1018878","PreservedSpecimen","Plantae","Vochysiaceae","Salvertia","convallariodora","Salvertia convallariodora","H. G. P. Santos","46","1993","05","26","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1263130' target='other'> <mi>dwc_moreinfo</mi></a>","NY01018878","Margem esquerda do rio Corumba, 2 km a montante do eixo da barragem.","-48.5614","-18.1425",NA,NA,"Magnoliophyta","Myrtales","A.St.-Hil.","S. P. Cordovil-Silva","Goiás",NA,NA,"NY01018878_01","Corumbaíba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","02026955","PreservedSpecimen","Plantae","Vochysiaceae","Salvertia","convallariodora","Salvertia convallariodora","S. R. Lowrie","97","1980","09","19","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2175989' target='other'> <mi>dwc_moreinfo</mi></a>","NY02026955","Km 672 on Manaus-Humaitá road.","-63.0780995","-7.5675549",NA,NA,"Magnoliophyta","Myrtales","A.St.-Hil.",NA,"Amazonas",NA,NA,"NY02026955_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","00941211","PreservedSpecimen","Plantae","Vochysiaceae","Salvertia","convallariodora","Salvertia convallariodora","G. T. Prance","58508","1964","08","02","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1007703' target='other'> <mi>dwc_moreinfo</mi></a>","NY00941211","West of Filadélfia in Serra de Mamoneira.",NA,NA,NA,NA,"Magnoliophyta","Myrtales","A.St.-Hil.","B. Maguire","Tocantins",NA,NA,"NY00941211_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","02026964","PreservedSpecimen","Plantae","Vochysiaceae","Salvertia","convallariodora","Salvertia convallariodora","J. J. Strudwick","3004","1981","07","12","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2176299' target='other'> <mi>dwc_moreinfo</mi></a>","NY02026964","Road to airport, 3 Km before airport","-54.7081","-2.4433",NA,NA,"Magnoliophyta","Myrtales","A.St.-Hil.",NA,"Pará",NA,NA,"NY02026964_01","Santarém",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","00941227","PreservedSpecimen","Plantae","Vochysiaceae","Salvertia","convallariodora","Salvertia convallariodora","S. Tsugaru","B-188","1987","07","14","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1007756' target='other'> <mi>dwc_moreinfo</mi></a>","NY00941227","130 km W from Gurupi.","-49.5289","-11.7969",NA,NA,"Magnoliophyta","Myrtales","A.St.-Hil.","M. L. Kawasaki","Tocantins","250","250","NY00941227_01","Formoso do Araguaia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","00941202","PreservedSpecimen","Plantae","Vochysiaceae","Salvertia","convallariodora","Salvertia convallariodora","M. G. da Silva","50421","1979","06","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1007667' target='other'> <mi>dwc_moreinfo</mi></a>","NY00941202","Km-165 da Rod. Cuiaba-Santarém, entroncamento para Porto Velho.","-56.2218046","-14.5584392",NA,NA,"Magnoliophyta","Myrtales","A.St.-Hil.",NA,"Mato Grosso",NA,NA,"NY00941202_01","Diamantino",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","2026950","PreservedSpecimen","Plantae","Vochysiaceae","Salvertia","convallariodora","Salvertia convallariodora","J. J. Strudwick","4171","1981","08","05","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2175984' target='other'> <mi>dwc_moreinfo</mi></a>","NY02026950","Sete Varas airstrip on Rio Curua.","-55.1657197","-0.2209974",NA,NA,"Magnoliophyta","Myrtales","A.St.-Hil.",NA,"Pará",NA,NA,"NY02026950_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","424568","PreservedSpecimen","Plantae","Vochysiaceae","Salvertia","convallariodora","Salvertia convallariodora","J. L. Zarucchi","2612","1979","10","01","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=677553' target='other'> <mi>dwc_moreinfo</mi></a>","NY00424568","Road Humaitá to Pôrto Velho, 14 km from Humaitá","-63.0814764","-7.6755676",NA,NA,"Magnoliophyta","Myrtales","A.St.-Hil.","H. Balslev","Amazonas",NA,NA,"NY00424568_01","Humaitá",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","00941187","PreservedSpecimen","Plantae","Vochysiaceae","Salvertia","convallariodora","Salvertia convallariodora","H. S. Irwin","16248","1966","05","29","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1007608' target='other'> <mi>dwc_moreinfo</mi></a>","NY00941187","Rio Turvo, ca. 210 km. N. of Xavantina. Serra do Roncador.","-51.83","-12.82",NA,NA,"Magnoliophyta","Myrtales","A.St.-Hil.","L. Marcano-Berti","Mato Grosso","500","500","NY00941187_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","2026967","PreservedSpecimen","Plantae","Vochysiaceae","Salvertia","convallariodora","Salvertia convallariodora","S. A. Mori","15720","1983","07","31","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2176303' target='other'> <mi>dwc_moreinfo</mi></a>","NY02026967","Parque Florestal da Fazendinha, 12 km S of Macapá","-51.09569","-0.04072",NA,NA,"Magnoliophyta","Myrtales","A.St.-Hil.",NA,"Amapá",NA,NA,"NY02026967_01","Macapá",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","2026969","PreservedSpecimen","Plantae","Vochysiaceae","Salvertia","convallariodora","Salvertia convallariodora","C. A. Cid Ferreira","9462","1987","11","06","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2176307' target='other'> <mi>dwc_moreinfo</mi></a>","NY02026969","Serra da Paituna, próxima à Pedra do Pilao, a 30 km de Monte Alegre","-54.25","-1.92",NA,NA,"Magnoliophyta","Myrtales","A.St.-Hil.",NA,"Pará",NA,NA,"NY02026969_01","Monte Alegre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","424573","PreservedSpecimen","Plantae","Vochysiaceae","Salvertia","convallariodora","Salvertia convallariodora","F. Sellow",NA,NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=677561' target='other'> <mi>dwc_moreinfo</mi></a>","NY00424573","Brasilia aequinocialis",NA,NA,NA,NA,"Magnoliophyta","Myrtales","A.St.-Hil.",NA,NA,NA,NA,"NY00424573_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
