"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","locality","coordinatePrecision","geoFlag","continentOcean","preparationType","previousCatalogNumber","phylum","order","class","typeStatus","relatedCatalogItem","infraspecificEpithet","relationshipType","individualCount","fieldNumber","sex"
"1","2021-04-05 14:26:11-03","UNESC","CRI","12230","PreservedSpecimen","Plantae","Urticaceae","Boehmeria","caudata","Boehmeria caudata","Sw.","Verdi, M","2009","10","13","Verdi, M; Klettenberg, DH & Klemz, G","1234","2009","10","13","Brasil","Santa Catarina","Jacinto Machado","-49.86","-28.89","49º51'36''W","28º53'24''S","380","380","Doação Herbário FURB (15759) Habito: Arbustivo","CRI010411",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:34:14-03","UNESC","CRI","4447","PreservedSpecimen","Plantae","Urticaceae","Boehmeria","caudata","Boehmeria caudata","Sw.","V. C. Zanette","1997","06","27","Valdemar P. Boff","230","1995","11","04","Brasil","Santa Catarina","Urussanga","-49.321111","-28.518333","49º19'16''W","28º31'6''S",NA,NA,NA,"CRI007790","CRI007790",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:26:11-03","UNESC","CRI","12536","PreservedSpecimen","Plantae","Urticaceae","Boehmeria","caudata","Boehmeria caudata","Sw.","Renato Colares & Aline V. Guislon","2017","07","25","Alexandre Medeiros",NA,"2017","05","08","Brasil","Santa Catarina","Balneário Camboriú","-48.599722","-27.042222","48º35'59''W","27º2'32''S",NA,NA,"Coleta 281. Habito: Arbustivo","CRI010743","CRI010743","BR 101 - Morro do Boi.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:34:14-03","UNESC","CRI","2849","PreservedSpecimen","Plantae","Urticaceae","Boehmeria","caudata","Boehmeria caudata","Sw.","C. L. Cristohal","1982",NA,NA,"Reitz; Klein","14.001","1962","12","17","Brasil","Santa Catarina","Lages","-50.326111","-27.815278","50º19'34''W","27º48'55''S","918","918",NA,"CRI003899","CRI003899",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:34:14-03","UNESC","CRI","11751","PreservedSpecimen","Plantae","Urticaceae","Boehmeria","caudata","Boehmeria caudata","Sw.",NA,NA,NA,NA,"Jean Gabriel Cemin; Marciel Fernandes e Kleber Emerick",NA,"2009","08","04","Brasil","Santa Catarina","Turvo","-49.681944","-28.928056","49º40'55''W","28º55'41''S","30","30",NA,"CRI007800","CRI007800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:34:14-03","UNESC","CRI","8848","PreservedSpecimen","Plantae","Urticaceae","Boehmeria","caudata","Boehmeria caudata","Sw.","Zenaide Paes Topanotti","1998",NA,NA,"Zenaide Paes Topanotti",NA,"1998",NA,NA,"Brasil","Santa Catarina","Criciúma","-49.370278","-28.678333","49º22'13''W","28º40'42''S",NA,NA,NA,"CRI007796","CRI007796",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:26:11-03","UNESC","CRI","1224","PreservedSpecimen","Plantae","Urticaceae","Boehmeria","caudata","Boehmeria caudata","Sw.","Vanilde Citadini- Zanette",NA,NA,NA,"Vanilde Citadini-Zanette; Robson dos Santos","1469","1992","10","15","Brasil","Santa Catarina","Orleans","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300",NA,"CRI007789","CRI007789","Rio Novo.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:34:14-03","UNESC","CRI","10838","PreservedSpecimen","Plantae","Urticaceae","Boehmeria","caudata","Boehmeria caudata","Sw.",NA,NA,NA,NA,"Zenaide P. Topanotti",NA,NA,NA,NA,"Brasil","Santa Catarina","Criciúma","-49.37","-28.678056","49º22'12''W","28º40'41''S","58","58",NA,"CRI007799","CRI007799","Morro Estevão.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:34:14-03","UNESC","CRI","8435","PreservedSpecimen","Plantae","Urticaceae","Boehmeria","caudata","Boehmeria caudata","Sw.","Vanilde Citadini-Zanette","2007",NA,NA,"Mainara F. Cascaes",NA,"2007","10","26","Brasil","Santa Catarina","Maracajá","-49.454444","-28.848056","49º27'16''W","28º50'53''S",NA,NA,NA,"CRI007793","CRI007793",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:26:11-03","UNESC","CRI","11650","PreservedSpecimen","Plantae","Urticaceae","Boehmeria","caudata","Boehmeria caudata","Sw.","A. Stival-Santos","2009","10","28","A. Stival-Santos; E. Legal & S. Silveira","1071","2009","10","28","Brasil","Santa Catarina","Guabiruba","-49.049444","-27.09","49º2'58''W","27º5'24''S","256","256","Floresta Ombrófila Densa Submontana Habitat: entorno da mata, próximo a pastagem Habito: arbustiva","CRI008579","CRI008579","Aymoré.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-04-05 14:34:14-03","UNESC","CRI","4453","PreservedSpecimen","Plantae","Urticaceae","Boehmeria","caudata","Boehmeria caudata","Sw.","Vanilde Citadini-Zanette",NA,NA,NA,"Marilva Botelho",NA,"1996","10","13","Brasil","Santa Catarina","Santa Rosa do Sul","-49.700278","-29.136667","49º42'1''W","29º8'12''S",NA,NA,NA,"CRI007785","CRI007785",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-04-05 14:34:14-03","UNESC","CRI","8131","PreservedSpecimen","Plantae","Urticaceae","Boehmeria","caudata","Boehmeria caudata","Sw.","M. Verdi","2009","01","31","M. Verdi; R. P. Hasckel e G. Klemz","1726","2009","01","31","Brasil","Santa Catarina","Mondaí","-53.398889","-27.101667","53º23'56''W","27º6'6''S","222","222",NA,"CRI007798","CRI007798",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
