"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","coordinatePrecision","geoFlag","occurrenceRemarks","continentOcean","imagecode","phylum","order","typeStatus","class"
"1","2019-09-10 21:42:11-03","UNEMAT","TANG","4711","S","Plantae","Annonaceae","Pseudoxandra","duckei","Pseudoxandra duckei","Maas","Melo, JAM","2015","07","01","Sardelli, LF; Oliveira, VF; Thomé, RS; Silva, JA","869s.n.","2014","09","18","Brasil","Mato Grosso","Colider","Lote B de supressão, Resgate de flora da UHE Colider","-55.499","-11.00675","-55.499","-11.00675","279","279","TANG000004711",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-02-25 16:14:46-03","UNEMAT","HERBAM","12522","S","Plantae","Annonaceae","Pseudoxandra","duckei","Pseudoxandra duckei","Maas","Melo, JAM; Fer","2015",NA,NA,"Sardelli, L.F.; Oliveira, V.F.; Thomé, R.S. & Silva, J.A.","869EquipeCopel8","2014","09","18","Brasil","Mato Grosso","Colíder","Resgate de FLORA da UHE Colíder. Lote B de supress","-55.4508018493652","-10.8177995681763",NA,NA,NA,NA,"HERBAM012522","78569","auto",NA,NA,NA,NA,NA,NA,NA
"3","2019-08-16 08:38:14-03","UTFPR","HCF","24802","S","Plantae","Annonaceae","Pseudoxandra","duckei","Pseudoxandra duckei","Maas","J.A.M. Melo et al.","2015","07","01","L. Sardelli",NA,"2014","09","18","Brasil","MT","Colider","Resgate de FLORA da UHE Colider, Lote","-55.490556","-11.006667","55°29'26 W","11°00'24 S","279","279",NA,NA,NA,"Floresta do Planalto dos Parecis, região de ecótono entre a Floresta Amazônica e Cerrado. Encontrada em floresta Amazônica, solo úmido. Altura 5m. CAP: 68cm. Árvore, base reta, tronco reto, casca lisa, casca morta marrom. Folhas simples. Frutos maduros roxos, ovais, imaturos verdes.",NA,NA,NA,NA,NA,NA
"4","2020-12-21 16:12:00-03","MBM","MBM","402616","PreservedSpecimen","Plantae","Annonaceae","Pseudoxandra","duckei","Pseudoxandra duckei","Maas","Melo, J.A.M.","2015","07","01","Sardelli, L.; Oliveira, V.F.; Thomé, R.S.; Silva, J.A.; Oliveira, V.F.; Thomé, R.S.; Silva, J.A.","s.n.","2014","09","18","Brazil","Mato Grosso","Colíder","Resgate da Flora da UHE Colíder, Lote B de supressão","-55.499167","-11.006944","-55.499167","-11.006944","279","279","MBM402616",NA,NA,"Árvore, 5m, CAP=68cm, base reta, tronco reto, casca lisa, casca morta marrom. Folhas simples. Frutos maduros roxos, ovais, imaturos verdes.; Floresta do Planalto dos Parecis, região de ecótono entre a Floresta Amazônica e Cerrado.","Southern America","MBM402616",NA,NA,NA,NA
"5","2021-01-10 20:49:05-03","INPA","INPA","14354","S","Plantae","Annonaceae","Pseudoxandra","duckei","Pseudoxandra duckei","Maas","Maas, PJM","2001",NA,NA,"Rodrigues, WA","5661","1964","01","03","Brasil","Amazonas","Manaus","Reserva Florestal Adolfo Ducke, Reserva Florestal Ducke, Q. 8. Mata de terra firme, solo argiloso.","-59.966667","-2.883333","-59.966667","-2.883333",NA,NA,"INPA0014354",NA,NA,NA,"Southern America","INPA0014354 INPA0014354_e INPA0014354_e1 INPA0014354_e2","Dicotyledon Magnoliids","Magnoliales",NA,NA
"6","2021-01-10 20:49:05-03","INPA","INPA","17122","S","Plantae","Annonaceae","Pseudoxandra","duckei","Pseudoxandra duckei","Maas","Maas, PJM","2001",NA,NA,"Rodrigues, WA","7815","1966","05","04","Brasil","Amazonas","Manaus","Reserva Florestal Adolfo Ducke, Reserva Florestal Ducke, Q. XIII. Mata de terra firme, solo argiloso.","-59.966667","-2.883333","-59.966667","-2.883333",NA,NA,"INPA0017122",NA,NA,NA,"Southern America","INPA0017122 INPA0017122_e INPA0017122_e1 INPA0017122_e2","Dicotyledon Magnoliids","Magnoliales",NA,NA
"7","2021-01-10 20:49:05-03","INPA","INPA","189689","S","Plantae","Annonaceae","Pseudoxandra","duckei","Pseudoxandra duckei","Maas","Ramos, JF","2014","09",NA,"Costa, MAS","690","1996","01","15","Brasil","Amazonas","Manaus","Reserva Florestal Adolfo Ducke, Manaus-Itacoatiara, km 26. Sabiá 2.","-59.966667","-2.883333","-59.966667","-2.883333",NA,NA,"INPA0189689",NA,NA,NA,"Southern America","INPA0189689 INPA0189689_1 INPA0189689_1e INPA0189689_e","Dicotyledon Magnoliids","Magnoliales",NA,NA
"8","2021-01-10 20:49:05-03","INPA","INPA","189689","S","Plantae","Annonaceae","Pseudoxandra","duckei","Pseudoxandra duckei","Maas","Ramos, JF","2014","09",NA,"Costa, MAS","690","1996","01","15","Brasil","Amazonas","Manaus","Reserva Florestal Adolfo Ducke, Manaus-Itacoatiara, km 26. Sabiá 2.","-59.966667","-2.883333","-59.966667","-2.883333",NA,NA,"INPA0189689",NA,NA,NA,"Southern America","INPA0189689 INPA0189689_1 INPA0189689_1e INPA0189689_e","Dicotyledon Magnoliids","Magnoliales",NA,NA
"9","2021-01-10 20:49:05-03","INPA","INPA","20047","compl","Plantae","Annonaceae","Pseudoxandra","duckei","Pseudoxandra duckei","Maas","Maas, PJM","2001",NA,NA,"Albuquerque, BWP de","67-16","1967","04","06","Brasil","Amazonas","Manaus","Reserva Florestal Adolfo Ducke, Estrada Manaus-itacoatiara, km 26, Reserva Florestal Ducke. Mata de terra firme, solo argilo-arenoso; material fixado.","-59.966667","-2.883333","-59.966667","-2.883333",NA,NA,"INPA0020047",NA,NA,NA,"Southern America","INPA0020047 INPA0020047_e INPA0020047_e1","Dicotyledon Magnoliids","Magnoliales","holotype",NA
"10","2021-01-10 20:49:05-03","INPA","INPA","20447","S","Plantae","Annonaceae","Pseudoxandra","duckei","Pseudoxandra duckei","Maas","Maas, PJM","2001",NA,NA,"Albuquerque, BWP de","67-16","1967","04","06","Brasil","Amazonas","Manaus","Reserva Florestal Adolfo Ducke, Estrada Manaus-itacoatiara, km 26, Reserva Florestal Ducke. Mata de terra firme, solo argilo-arenoso; material fixado.","-59.966667","-2.883333","-59.966667","-2.883333",NA,NA,"INPA0020447",NA,NA,NA,"Southern America","INPA0020447 INPA0020447_1 INPA0020447_1e INPA0020447_1e1 INPA0020447_2e INPA0020447_e1","Dicotyledon Magnoliids","Magnoliales","holotype",NA
"11","2020-08-31 09:12:34-03","INPA","INPA","234221","S","Plantae","Annonaceae","Pseudoxandra","duckei","Pseudoxandra duckei","Maas","Maas, PJM","2009","12","17","Stropp, J","INPA234221","2007","07",NA,"Brasil","Amazonas","São Gabriel da Cachoeira","Parque Nacional Pico da Neblina, Área de terra-firme nas proximidades da torre do LBA - Parque Nacional Pico da Neblina","-67.286778","0.353417","-67.286778","0.353417",NA,NA,"INPA0234221",NA,NA,NA,"Southern America","INPA0234221 INPA0234221_e","Dicotyledon Magnoliids","Magnoliales",NA,NA
"12","2018-01-08 13:09:48-02","F","FMNH-SEEDPLANTS","V0447810F","PreservedSpecimen","Plantae","Annonaceae","Pseudoxandra","duckei","Pseudoxandra duckei",NA,NA,NA,NA,NA,"W. A. Rodrigues","5661","1964","1","3","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,"V0447810F",NA,NA,NA,"South America","V0447810F_01","Spermatophyta",NA,NA,"Dicotyledoneae"
"13","2020-01-31 10:37:27-03","IFAM","EAFM","1782","PreservedSpecimen","Plantae","Annonaceae","Pseudoxandra","duckei","Pseudoxandra duckei","Maas","Maas, P.J.M.","2009","12","17","Stropp, J.; Assunção, P.","s.n.","2007","07",NA,"Brasil","Amazonas","São Gabriel da Cachoeira","Parque Nacional do Pico da Neblina, Próximo a Torre do LBA.","-67.0892028808594","-0.130278006196022",NA,NA,NA,NA,NA,"377621","auto","; HABITAT: Floresta de Terra Firme.",NA,NA,NA,NA,NA,NA
