"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","imagecode","typeStatus","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","00528873","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Rhabdocaulon","gracile","Rhabdocaulon gracile","(Benth.) Epling","R. M. Harley","11644","1971","01","08","South America","Brazil","Santa Catarina","Lages","West facing slope of Serra a few km. from Lages on the Pedras Brancas road","-50.3258","-27.8161","900","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=97452' target='other'> <mi>dwc_moreinfo</mi></a>","NY00528873",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00526954","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Rhabdocaulon","gracile","Rhabdocaulon gracile","(Benth.) Epling","P. K. H. Dusén","8018","1909","04","24","South America","Brazil","Paraná","Ponta Grossa","Capao Grande.","-50.1617","-25.095",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=97451' target='other'> <mi>dwc_moreinfo</mi></a>","NY00526954",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00528872","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Rhabdocaulon","gracile","Rhabdocaulon gracile","(Benth.) Epling","A. C. Brade","5202","1913","02","23","South America","Brazil","São Paulo","Sao Paulo","Sao Paulo, Moóca","-46.602744","-23.560402",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=97449' target='other'> <mi>dwc_moreinfo</mi></a>","NY00528872","C. C. Epling",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00526955","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Rhabdocaulon","gracile","Rhabdocaulon gracile","(Benth.) Epling","B. Rambo","35132","1947","01","01","South America","Brazil","Rio Grande do Sul","Bom Jesus","Fazenda B. Velho, Bom Jesus.","-50.388347","-28.558459",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=97450' target='other'> <mi>dwc_moreinfo</mi></a>","NY00526955",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00528874","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Rhabdocaulon","gracile","Rhabdocaulon gracile","(Benth.) Epling","G. G. Hatschbach","14200","1966","04","24","South America","Brazil","Paraná","Castro","Carambei, Rio S. Joao","-50.152803","-24.908517",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=97448' target='other'> <mi>dwc_moreinfo</mi></a>","NY00528874","L. B. Smith; S. F. Smith",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-06-29 11:30:57-03","UFRJ","RFA","13743","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Rhabdocaulon","gracile","Rhabdocaulon gracile","(Benth.) Epling","B. Rambo SJ","56711","1955","02","08",NA,"Brasil","Rio Grande do Sul","Rio Grande do Sul","Vila Oliva para Caxias",NA,NA,NA,NA,NA,NA,"RFA42954","Emrich-Rambo","1955",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-06-29 11:30:57-03","UFRJ","RFA","13744","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Rhabdocaulon","gracile","Rhabdocaulon gracile","(Benth.) Epling","B. Rambo SJ","56557","1955","01","09",NA,"Brasil","Rio Grande do Sul","Rio Grande do Sul","Passo do Inferno para Canela",NA,NA,NA,NA,NA,NA,"RFA42955","Emrich-Rambo","1955",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-06-29 11:30:57-03","UFRJ","RFA","13752","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Rhabdocaulon","gracile","Rhabdocaulon gracile","(Benth.) Epling","R. Reitz","6535","1963","02","03",NA,"Brasil","Santa Catarina","Lages","Passo do Socorro","-50.326099395752","-27.8160991668701","900","900",NA,"Erva de flor roxa com 50 cm de altura","RFA42953","Cezio Pereira","1972","05","30","70701","auto",NA,NA,NA,NA,NA,NA,NA
"9","2019-08-27 13:30:20-03","IAP","PACA-AGP","56896","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Labiatae","Rhabdocaulon","gracile","Rhabdocaulon gracile","(Benth.) Epling","M. Frank",NA,"1955","02",NA,NA,"Brasil","PR","Palmeiras",NA,NA,NA,NA,NA,NA,"Habitat: in campestribus graminosis Fenofase: flor","PACA056896","J. Marzinek","2002","05",NA,NA,NA,"Magnoliatae",NA,NA,NA,NA,NA,NA
"10","2019-08-27 13:30:20-03","IAP","PACA-AGP","40369","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Labiatae","Rhabdocaulon","gracile","Rhabdocaulon gracile","(Benth.) Epling","Rambo, B.",NA,"1949","03","03",NA,"Brasil","RS","Porto Alegre","Vila Manresa","-51.2299995422363","-30.0331001281738",NA,NA,NA,"Habitat: in saxosis siccis graminosis Fenofase: flor","PACA040369","J. Marzinek","2002","05",NA,"29946","auto","Magnoliatae",NA,NA,NA,NA,NA,NA
