"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","locality","recordNumber","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","phylum","order","infraspecificEpithet","continentOcean","preparationType","typeStatus","coordinatePrecision","geoFlag","class","relatedCatalogItem","previousCatalogNumber","individualCount","maximumDepthInMeters","fieldNumber"
"1","2021-04-05 14:33:47-03","UNESC","CRI","8151","PreservedSpecimen","Plantae","Myrtaceae","Myrrhinium","atropurpureum","Myrrhinium atropurpureum","Schott","M. Verdi","2009","05","28","G. Klemz; M. Verdi e R. P. Hasckel","2009","05","28","Brasil","Santa Catarina","Siderópolis","-49.425278","-28.598889","49º25'31''W","28º35'56''S","CRI005307","CRI005307",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:47-03","UNESC","CRI","4648","PreservedSpecimen","Plantae","Myrtaceae","Myrrhinium","atropurpureum","Myrrhinium atropurpureum","Schott","Marcos Sobral",NA,NA,NA,"Elaine C. Carvalho",NA,NA,NA,"Brasil","Rio Grande do Sul","Porto Alegre","-51.2175","-30.034444","51º13'3''W","30º2'4''S","CRI005305","CRI005305","Rio Grande do Sul.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:41-03","UNESC","CRI","14502","PreservedSpecimen","Plantae","Myrtaceae","Myrrhinium","atropurpureum","Myrrhinium atropurpureum","Schott","Verdi, M","2010","08","31","Verdi, M.; Martins, E.M. & Veiga, O.N.","2010","08","31","Brasil","Paraná","Ponta Grossa","-50.005278","-25.253611","50º0'19''W","25º15'13''S","CRI013568",NA,"Arenitos / Parque Estadual de Vila Velha. Arenitos / Parque Estadual de Vila Velha.","5612","896","896",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:41-03","UNESC","CRI","5111","PreservedSpecimen","Plantae","Myrtaceae","Myrrhinium","atropurpureum","Myrrhinium atropurpureum","Schott","Marcos Sobral",NA,NA,NA,"V. Citadini-Zanette; V. Boff","1996","09","19","Brasil","Santa Catarina","Lauro Muller","-49.396944","-28.393333","49º23'49''W","28º23'36''S","CRI005306","CRI005306","Rio Rocinha.","2264",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:41-03","UNESC","CRI","13048","PreservedSpecimen","Plantae","Myrtaceae","Myrrhinium","atropurpureum","Myrrhinium atropurpureum","Schott","Oliveira, AA de","2015","09","03","Oliveira, A.A. de","2015","09","03","Brasil","Santa Catarina","Curitibanos","-50.580833","-27.359167","50º34'51''W","27º21'33''S","CRI011676",NA,"Estrada do Cerrito. Estrada do Cerrito.","2795","962","962",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:33:47-03","UNESC","CRI","6117","PreservedSpecimen","Plantae","Myrtaceae","Myrrhinium","atropurpureum","Myrrhinium atropurpureum","Schott","Vanilde Citadini-Zanette",NA,NA,NA,"Z. P. Topanotti","1996","09","15","Brasil","Santa Catarina","Nova Veneza","-49.500833","-28.636944","49º30'3''W","28º38'13''S","CRI005303","CRI005303",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:33:47-03","UNESC","CRI","3781","PreservedSpecimen","Plantae","Myrtaceae","Myrrhinium","atropurpureum","Myrrhinium atropurpureum","Schott","Marcos Sobral",NA,NA,NA,"V. P. Boff","1997","06",NA,"Brasil","Santa Catarina","Nova Veneza","-49.500833","-28.636944","49º30'3''W","28º38'13''S","CRI005308","CRI005308",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:33:47-03","UNESC","CRI","4005","PreservedSpecimen","Plantae","Myrtaceae","Myrrhinium","atropurpureum","Myrrhinium atropurpureum","Schott","J. A. Jarenkow",NA,NA,NA,"J. A. Jarenkow","1989","10","14","Brasil","Rio Grande do Sul","Capão do Leão","-52.484167","-31.763889","52º29'3''W","31º45'50''S","CRI005304","CRI005304","Horto Botânico Irmão Teodoro Luiz.","1355","21","21","Habitat: restinga Habito: arvoreta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:25:41-03","UNESC","CRI","11959","PreservedSpecimen","Plantae","Myrtaceae","Myrrhinium","atropurpureum","Myrrhinium atropurpureum","Schott","Aline Votri Guislon","2014","09","20","Peterson Teodoro Padilha; Thiago Disner & Rafael Martins","2011","12","07","Brasil","Santa Catarina","Grão Pará","-49.421389","-28.136944","49º25'17''W","28º8'13''S","CRI010105","CRI010105",NA,NA,"450","450",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:33:47-03","UNESC","CRI","10862","PreservedSpecimen","Plantae","Myrtaceae","Myrrhinium","atropurpureum","Myrrhinium atropurpureum","Schott","Aline Votri","2014","08","22","Mauro Zavarize","2014","08","18","Brasil","Santa Catarina","Siderópolis","-49.424722","-28.598333","49º25'29''W","28º35'54''S","CRI005309","CRI005309","Área 20 - Lauro Müller.",NA,"111","111","Floresta Ombrófila Densa Habito: arbusto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
