"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","occurrenceRemarks","imagecode","typeStatus","continentOcean","preparationType","previousCatalogNumber","phylum","coordinatePrecision","geoFlag","class","order","relatedCatalogItem","individualCount","fieldNumber"
"1","2021-04-05 14:25:58-03","UNESC","CRI","13079","PreservedSpecimen","Plantae","Rhamnaceae","Colletia","paradoxa","Colletia paradoxa","(Spreng.) Escal.","Oliveira, AA de","2015","11","10","Oliveira, A.A. de","2720","2015","11","10","Brasil","Santa Catarina","Urubici","Lajeado Liso - Toca Ruim. Lajeado Liso - Toca Ruim.","-49.68","-28.169167","49º40'48''W","28º10'9''S","1475","1475","CRI011728",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:34:03-03","UNESC","CRI","3983","PreservedSpecimen","Plantae","Rhamnaceae","Colletia","paradoxa","Colletia paradoxa","(Spreng.) Escal.","J. A. Jarenkow",NA,NA,NA,"J. A. Jarenkow; J. L. Waechter",NA,"1989","05","26","Brasil","Rio Grande do Sul","Santa Vitória do Palmar","Chuí.","-53.368333","-33.519444","53º22'6''W","33º31'10''S","24","24","CRI008968","Habito: arbustiva","CRI008968",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:42:56-03","E","E","130205","PreservedSpecimen","Plantae","Rhamnaceae","Colletia","paradoxa","Colletia paradoxa",NA,NA,NA,NA,NA,"Gillies, John",NA,NA,NA,NA,"UY","Depto. de Maldonado",NA,"Maldonado.",NA,NA,NA,NA,NA,NA,"E00130205","<a href=http://data.rbge.org.uk/herb/E00130205 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"unspecified kind of","Temperate South America","herbarium specimen of unspecif","BGBASE:140466",NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:42:56-03","E","E","130204","PreservedSpecimen","Plantae","Rhamnaceae","Colletia","paradoxa","Colletia paradoxa",NA,NA,NA,NA,NA,"Captain King, P.P.",NA,NA,NA,NA,"UY","Depto. de Montevideo",NA,"Montevideo.",NA,NA,NA,NA,NA,NA,"E00130204","<a href=http://data.rbge.org.uk/herb/E00130204 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"Temperate South America","herbarium specimen of unspecif","BGBASE:140465",NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-06-29 11:32:12-03","UFRJ","RFA","5351","PreservedSpecimen","Plantae","Rhamnaceae","Colletia","cruciata","Colletia cruciata","Gillies & Hook.",NA,NA,NA,NA,"Irmão Teodoro Luis",NA,"1960","07","19","Brasil","Rio Grande do Sul","Rio Grande do Sul","Morro da Polícia",NA,NA,NA,NA,NA,NA,"RFA25659","Exemplar adulto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-06-29 11:32:12-03","UFRJ","RFA","5352","PreservedSpecimen","Plantae","Rhamnaceae","Colletia","cruciata","Colletia cruciata","Gillies & Hook.",NA,NA,NA,NA,"Irmão Teodoro Luis",NA,"1960","07","19","Brasil","Rio Grande do Sul","Rio Grande do Sul","Morro da Polícia",NA,NA,NA,NA,NA,NA,"RFA25660","Exemplar juvenil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-30 12:47:27-03","EAO","IAN","126781","PreservedSpecimen","Plantae","Rhamnaceae","Colletia","cruciata","Colletia cruciata","Hook.",NA,NA,NA,NA,"Bracelin, NF","2736","1944","06","17","Uruguai",NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN126781","8 1/2 feet high; white fruit turning brown.",NA,NA,"Southern America",NA,NA,"Dicotiledônea",NA,NA,NA,NA,NA,NA,NA
"8","2020-10-27 11:22:06-03","PUCPR","HUCP","5746","S","Plantae","Rhamnaceae","Colletia","cruciata","Colletia cruciata","Gillies","Jaszczerski, JC; Silva, CBX",NA,NA,NA,"Tassi, VMM","064","1985","08","25","Brasil","Paraná","Curitiba","Vila Hauer","-49.2731018066406","-25.4277992248535",NA,NA,NA,NA,"HUCP00017136",NA,"HUCP00017136",NA,NA,NA,NA,"Eudicotiledonea","25180","auto",NA,NA,NA,NA,NA
"9","2020-02-08 10:25:48-03","NBC","NL-BOTANY","AMD.104093","PreservedSpecimen","Plantae","Rhamnaceae","Colletia","cruciata","Colletia cruciata","Gillies & Hook.",NA,NA,NA,NA,"Herter",NA,"1927","01","01","Uruguay",NA,NA,"Dep. de Montevideo, Dict. Cerro.",NA,NA,NA,NA,NA,NA,"NL-AMD104093","<a href=https://data.biodiversitydata.nl/naturalis/specimen/AMD.104093 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-AMD104093",NA,"Southern America",NA,NA,NA,NA,NA,"Magnoliopsidae","Rosales",NA,NA,NA
"10","2020-02-08 10:25:48-03","NBC","NL-BOTANY","U.1556299","PreservedSpecimen","Plantae","Rhamnaceae","Colletia","cruciata","Colletia cruciata","Gillies & Hook.","Herter WGF",NA,NA,NA,"Herter WGF",NA,"1927","07","01","Uruguay","Montevideo",NA,"Cerro. Dep. Montevideo.",NA,NA,NA,NA,NA,NA,"NL-U1556299","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1556299 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1556299",NA,"Southern America",NA,NA,NA,NA,NA,"Magnoliopsidae","Rosales","U 0244472",NA,NA
