"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","continentOcean","order"
"1","2021-03-01 16:24:28-03","UNICAMP","UEC","162609","S","Plantae","Magnoliopsida","Asteraceae","Leptostelma","catharinense","Leptostelma catharinense","(Cabrera) A.M.Teles & Sobral","Teles, AM","2005","11","26","Stehmann, JR; Teles, AM","5056","2005","11","26","Brazil","Santa Catarina","Lauro Muller","Descida da Serra do Rio do Rastro","-49.5495","-28.396389","-49.5495","-28.396389","1200","1200","Erva, ereta, crescendo em barrancos úmidos; capítulos com lígulas brancas.","UEC038403","UEC038403",NA,NA,NA,NA
"2","2021-03-01 16:24:28-03","UNICAMP","UEC","163452","S","Plantae","Magnoliopsida","Asteraceae","Leptostelma","catharinense","Leptostelma catharinense","(Cabrera) A.M.Teles & Sobral","Heiden, G","2017","10","18","Souza, RPM; Castanho, GG; Drezza, TR; Vidal, CY; Floriani, MMP; Silveira, ALP","130","2007","04","10","Brazil","Santa Catarina","Urubici","Parque Nacional de São Joaquim Morro da igreja.","-49.489444","-29.188889","-49.489444","-29.188889","1727","1727","Erva com 75 cm. Flores brancas similares à da margarida.; Campo de altitude.","UEC028089","UEC028089",NA,NA,NA,NA
"3","2020-12-04 13:18:58-03","UDESC","LUSC","8061","PreservedSpecimen","Plantae",NA,"Asteraceae","Leptostelma","catharinense","Leptostelma catharinense",NA,"Aguiar, N. S. & Antoniutti, M. J.",NA,NA,NA,"Antoniutti, M. J. et al.","96","2013","12","17","Brasil","Santa Catarina","Urubici",NA,"-49.5917015075684","-28.0149993896484",NA,NA,NA,NA,NA,"LUSC001639","LUSC001639","30102","auto",NA,NA
"4","2021-03-24 16:38:34-03","FURB","FURB","67375","PreservedSpecimen","Plantae",NA,"Asteraceae","Leptostelma","catharinense","Leptostelma catharinense","(Cabrera) A.M.Teles & Sobral",NA,NA,NA,NA,"Funez, L.A.; Ribeiro-Nardes, W., Cunha, K.M.","9554","2020","01","24","Brasil","Santa Catarina","Urubici","Santa Bárbara, próximo ao alojamento. Parque Nacional de São Joaquim","-49.6291667","-28.1438889","-49.6291667","-28.1438889","1364","1364","Lígulas brancas, disco amarelo Habitat: Borda da floresta, em rochas úmidas Habito: Erva","FURB67375","FURB67375",NA,NA,NA,NA
"5","2020-12-21 16:16:21-03","MBM","MBM","43874","PreservedSpecimen","Plantae",NA,"Asteraceae","Leptostelma","catharinense","Leptostelma catharinense","(Cabrera) A.M. Teles & Sobral","Ribas, O.S.","2002","07",NA,"Hatschbach, G.","6565","1959","11","22","Brazil","Paraná","Guaratuba","Serra do Araçatuba","-48.5746994018555","-25.8827991485596",NA,NA,NA,NA,"Flores amarelas, flosculos alvos. Orla da matinha nebular","MBM043874","MBM043874","41937","auto","Southern America",NA
"6","2020-12-21 16:16:21-03","MBM","MBM","388806","PreservedSpecimen","Plantae",NA,"Asteraceae","Leptostelma","catharinense","Leptostelma catharinense","(Cabrera) A.M. Teles & Sobral","Heiden, G.","2011","01","12","Heiden, G.; Iganci, J.R.V.; Iganci, J.R.V.","1492","2011","01","12","Brazil","Santa Catarina","Urubici","Parque Nacional de São Joaquim, Morro da Igreja, próximo à entrada para os radares do CINDACTA","-49.48","-28.126944","-49.48","-28.126944","1791","1791","Erva fistulosa nas bordas de matas nebulares. Folhas verdes, lúcidas, membranáceas. Brácteas involucrais verde-claras. Flores do raio alvas. Flores do disco amarelas.; Campo de altitude subtropical (campos de cima da serra), matas ne","MBM388806","MBM388806",NA,NA,"Southern America",NA
"7","2020-12-21 16:16:21-03","MBM","MBM","410644","PreservedSpecimen","Plantae",NA,"Asteraceae","Leptostelma","catharinense","Leptostelma catharinense","(Cabrera) A.M. Teles & Sobral","Teles, A.M.","2005","11","26","Stehmann, J.R.; Teles, A.M.; Teles, A.M.","5056","2005","11","26","Brazil","Santa Catarina","Lauro Müller","Serra do Rio do Rastro, descida da serra","-49.5495","-28.396389","-49.5495","-28.396389",NA,NA,"Erva ereta, crescendo em barrancos úmidos; caapítulos com lígulas brancas.","MBM410644","MBM410644",NA,NA,"Southern America",NA
"8","2020-12-21 16:16:21-03","MBM","MBM","6057","PreservedSpecimen","Plantae",NA,"Asteraceae","Leptostelma","catharinense","Leptostelma catharinense","(Cabrera) A.M. Teles & Sobral","Ribas, O.S.","2006","07",NA,"Hatschbach, G.","17837","1967","11","15","Brazil","Paraná","Campina Grande do Sul","Pico Caratuva","-49.0553016662598","-25.3055992126465",NA,NA,"1950","1950","Erva capítulos amarelos, lígulas alvas. Do topo do morro","MBM006057","MBM006057","55154","auto","Southern America",NA
"9","2020-12-21 16:16:21-03","MBM","MBM","348113","PreservedSpecimen","Plantae",NA,"Asteraceae","Leptostelma","catharinense","Leptostelma catharinense","(Cabrera) A.M. Teles & Sobral","Robinson, H.; et al.","2010",NA,NA,"Silva, J.M.; Cordeiro, J.; Poliquesi, C.B.; Cordeiro, J.; Poliquesi, C.B.","7135","2008","11","20","Brazil","Rio Grande do Sul","São Francisco de Paula","Arredores","-50.5835990905762","-29.4480991363525",NA,NA,NA,NA,"Subarbusto, 80 cm, flor alva. Encosta do paredão","MBM348113","MBM348113","76715","auto","Southern America",NA
"10","2020-12-21 16:16:21-03","MBM","MBM","156645","PreservedSpecimen","Plantae",NA,"Asteraceae","Leptostelma","catharinense","Leptostelma catharinense","(Cabrera) A.M. Teles & Sobral","Ribas, O.S.","2002","07",NA,"Cordeiro, J.; Barboza, E.; Barboza, E.","961","1992","11","19","Brazil","Santa Catarina","Campo Alegre","Serra do Iquererim","-49.2655982971191","-26.1924991607666",NA,NA,"1100","1100","Erva 60 cm, lígulas alvas. Encosta úmida de morro.","MBM156645","MBM156645","37493","auto","Southern America",NA
