"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","individualCount","occurrenceRemarks","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","continentOcean","country","stateProvince","preparationType","barcode","imagecode","month","day","locality","yearIdentified","monthIdentified","dayIdentified","county","verbatimLongitude","verbatimLatitude","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","class","relatedCatalogItem","infraspecificEpithet","fieldNumber","typeStatus"
"1","2019-06-10 10:10:29-03","FZB-BH","CVJBFZB","3902","S","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Catasetum","fimbriatum","Catasetum fimbriatum","1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","418498","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Catasetum","fimbriatum","Catasetum fimbriatum",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=386769' target='other'> <mi>dwc_moreinfo</mi></a>","(Morren) Lindl.","C. Schweinfurth","P. C. Hutchison","s.n.","1945","South America","Brazil","São Paulo","sheet","NY00418498","NY00418498_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","418499","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Catasetum","fimbriatum","Catasetum fimbriatum",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=386770' target='other'> <mi>dwc_moreinfo</mi></a>","(Morren) Lindl.","R. A. Rolfe","T. Morong","875","1890","South America","Paraguay",NA,"sheet","NY00418499","NY00418499_01","01","15","Pilcomayo River",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-02-18 09:30:19-03","UNESP-IBB","BOTU","9190","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Catasetum","fimbriatum","Catasetum fimbriatum",NA,NA,"(C.Morren) Lindl.","Amaral Jr., A.","Amaral Jr., A.","1274","1972",NA,"Brasil","São Paulo",NA,"BOTU009190",NA,"12","08","À margem direita do Rio Capivara, acima da ponte da estrada São Manuel - Santa Maria","1973","01","31","Botucatu","9999","9999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-02-18 09:30:19-03","UNESP-IBB","BOTU","9231","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Catasetum","fimbriatum","Catasetum fimbriatum",NA,NA,"(C.Morren) Lindl.","Amaral Jr., A.","Amaral Jr., A.","1413","1972",NA,"Brasil","São Paulo",NA,"BOTU009231",NA,"12","13","Sto. Antonio de Sorocaba, abaixo da serra de Botucatu","1972","12",NA,"Botucatu","9999","9999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-02-18 09:30:19-03","UNESP-IBB","BOTU","32727","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Catasetum","fimbriatum","Catasetum fimbriatum",NA,NA,"(C.Morren) Lindl.","Amaral Jr., A.","Amaral Jr., A.","884","1972",NA,"Brasil","São Paulo",NA,"BOTU032727",NA,"08","15",NA,"1972","11","14","Santo Antônio do Pinhal","9999","9999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-02-18 09:30:19-03","UNESP-IBB","BOTU","9081","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Catasetum","fimbriatum","Catasetum fimbriatum",NA,NA,"(C.Morren) Lindl.","Pabst, G.","Amaral Jr., A.","1248","1972",NA,"Brasil","São Paulo",NA,"BOTU009081",NA,"11","17","Margem direita do Rio Capivara, logo abaixo da onte da rodovia S. Manuel - Sta. Maria da Serra","1972","12","17","Botucatu","9999","9999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-09-10 21:43:51-03","UNEMAT","TANG","3656","S","Plantae",NA,NA,"Orchidaceae","Catasetum","fimbriatum","Catasetum fimbriatum",NA,NA,"(C.Morren) Lindl.","Engels, ME","Santos, JL","128","2017",NA,"Brasil","Mato Grosso",NA,"TANG000003656",NA,"01","27",NA,NA,NA,NA,"Alta Floresta",NA,NA,"-56.0861015319824","-9.87555980682373","109392","auto",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-30 12:52:42-03","EAO","IAN","112458","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Orchidaceae","Catasetum","fimbriatum","Catasetum fimbriatum",NA,"Floração em janeiro de 1962.","Rchb.f.",NA,"Rodrigues, JS","s.n.","1959","Southern America","Brasil","Amazonas",NA,"IAN112458",NA,"02",NA,NA,NA,NA,NA,"Taracauá",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-30 12:52:42-03","EAO","IAN","112458","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Orchidaceae","Catasetum","fimbriatum","Catasetum fimbriatum",NA,"Floração: janeiro de 1962.","Rchb.f.",NA,"Rodrigues, JS","s.n.","1959","Southern America","Brasil","Amazonas",NA,"IAN112458",NA,"02",NA,"Cultivada no orquidário do IAN, vaso nº699.",NA,NA,NA,"Taracauá",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-30 12:52:42-03","EAO","IAN","192014","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Orchidaceae","Catasetum","fimbriatum","Catasetum fimbriatum",NA,"Erva epífita. Floriu sob cultivo: 15.12.2013; Flores em solução: Spirit ADA0560; Tépalas creme pintalgado de marrom. Labelo verde com colo amarelo e margens cilidas.","Rchb.f.","Petini-Benelli, A","Petini-Benelli, A; Sanchez, E","ADA0560","2013","Southern America","Brasil","São Paulo",NA,"IAN192014",NA,"11","28","A 12 km da Usina de Estreito. Região nordeste do Estado. Cerrado","2013","12","15","Pedregulho","-47.359444","-20.188056","-47.359444","-20.188056",NA,NA,"714","714",NA,NA,NA,NA,NA
