"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","dayIdentified","class","fieldNumber","individualCount","typeStatus","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","603019","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Hymenolobium","janeirense","janeirense","Hymenolobium janeirense janeirense","Kuhlm.","H. C. de Lima","H. de F. Leitão Filho","1106","1970","10","27","South America","Brazil","São Paulo","Pariquera-Açú; nativa a margem da rodovia a 500 mtrs. da Est. Experimental","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=351080' target='other'> <mi>dwc_moreinfo</mi></a>","NY00603019","NY00603019_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01058596","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Hymenolobium","janeirense",NA,"Hymenolobium janeirense","Kuhlm.","H. C. de Lima","E. P. Heringer","14010","1974","09","20","South America","Brazil","Minas Gerais","Marliéria. Parque Estadual do Rio Doce","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1142627' target='other'> <mi>dwc_moreinfo</mi></a>","NY01058596","NY01058596_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","603018","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Hymenolobium","janeirense","stipulatum","Hymenolobium janeirense stipulatum","(N.F.Mattos) H.C.Lima","G. P. Lewis","G. P. Lewis","865","1981","12","19","South America","Brazil","Bahia","Estrada de Lençois BR 242, 5-6 km ao N. de Lençois","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=617479' target='other'> <mi>dwc_moreinfo</mi></a>","NY00603018","NY00603018_01","Lençóis","-41.37","-12.52","420","420",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","603017","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Hymenolobium","janeirense","stipulatum","Hymenolobium janeirense stipulatum","(N.F.Mattos) H.C.Lima","H. C. de Lima","D. de Andrade-Lima","54-1900","1954","10","21","South America","Brazil","Pernambuco","Goiana. Uzina Santa Tereza","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=617478' target='other'> <mi>dwc_moreinfo</mi></a>","NY00603017","NY00603017_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","603020","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Hymenolobium","janeirense","janeirense","Hymenolobium janeirense janeirense","Kuhlm.","H. C. de Lima","Y. E. J. Mexia","5387","1930","12","09","South America","Brazil","Minas Gerais","Viçosa. Fazenda de Paraiso; Pau de Paina","sheet","Photo <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=351081' target='other'> <mi>dwc_moreinfo</mi></a>","NY00603020","NY00603020_01","Viçosa","-42.8817","-20.7542","740","740",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01058599","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Hymenolobium","janeirense",NA,"Hymenolobium janeirense","Kuhlm.","H. C. de Lima","E. P. Heringer","15087","1975","09","18","South America","Brazil","Minas Gerais","Parque Estadual do Rio Doce. On peninsula at Lake Helvécio, near Casa de Tábua guest house","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1142641' target='other'> <mi>dwc_moreinfo</mi></a>","NY01058599","NY01058599_01","Marliéria","-42.6","-19.77","400","400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01058598","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Hymenolobium","janeirense",NA,"Hymenolobium janeirense","Kuhlm.","H. C. de Lima","E. P. Heringer","15000","1975","09","17","South America","Brazil","Minas Gerais","Parque Estadual do Rio Doce. On peninsula at Lake Helvécio, near hotel","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1142638' target='other'> <mi>dwc_moreinfo</mi></a>","NY01058598","NY01058598_01","Marliéria","-42.6","-19.77","450","450",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01058597","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Hymenolobium","janeirense",NA,"Hymenolobium janeirense","Kuhlm.","H. C. de Lima","Y. E. J. Mexia","5154","1930","10","08","South America","Brazil","Minas Gerais","Viçosa. Road beyond Fazenda do Paraiso; on top of low hill","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1142633' target='other'> <mi>dwc_moreinfo</mi></a>","NY01058597","NY01058597_01","Viçosa","-42.8817","-20.7542","700","700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","603019","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Hymenolobium","janeirense","janeirense","Hymenolobium janeirense janeirense","Kuhlm.","H. C. de Lima","H. de F. Leitão Filho","1106","1970","10","27","South America","Brazil","São Paulo","Pariquera-Açú; nativa a margem da rodovia a 500 mtrs. da Est. Experimental","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=351080' target='other'> <mi>dwc_moreinfo</mi></a>","NY00603019","NY00603019_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","603020","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Hymenolobium","janeirense","janeirense","Hymenolobium janeirense janeirense","Kuhlm.","H. C. de Lima","Y. E. J. Mexia","5387","1930","12","09","South America","Brazil","Minas Gerais","Viçosa. Fazenda de Paraiso; Pau de Paina","sheet","Photo <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=351081' target='other'> <mi>dwc_moreinfo</mi></a>","NY00603020","NY00603020_01","Viçosa","-42.8817","-20.7542","740","740",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
