"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","county","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","fieldNumber","typeStatus","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","1843358","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Heterocoma","albida","Heterocoma albida","(DC. ex Pers.) DC.","J. Semir","H. S. Irwin","28979","1971","01","23","South America","Brazil","Minas Gerais","Serra do Espinhaço, lower slopes of Serra da Caraça. Ca. 10 km W. of Barão de Cocais.","-43.4927778","-20.1263","1500","1500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2050031' target='other'> <mi>dwc_moreinfo</mi></a>","NY01843358","NY01843358_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-09-30 10:39:00-03","NY","NYBG","1843359","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Heterocoma","albida","Heterocoma albida",NA,"J. Semir","F. C. Hoehne","5044","1921","01","18","South America","Brazil","Minas Gerais","Serra do Caraça",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2050032' target='other'> <mi>dwc_moreinfo</mi></a>","NY01843359","NY01843359_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 08:51:07-03","NBC","NL-BOTANY","U.1128545","PreservedSpecimen","Plantae",NA,"Asterales","Compositae","Proteopsis","sellowii","Proteopsis sellowii","Sch.Bip.",NA,"Mexia YEJ",NA,"1931","05","19","Southern America","Brazil",NA,"State of Minas Geraes. Districto Diamantina. Barão; near summit of Serra de Capão; in crevices between crags.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1128545 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1128545","NL-U1128545","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-01-14 15:24:27-03","MN","R","15293","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Proteopsis","sellowii","Proteopsis sellowii","Sch. Bip.",NA,"Glaziou, A.F.M.","14974","1884","02","18",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,"Plantas do Brasil Central","R000015293","R000015293_001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-02-02 14:37:57-02","BGBM","B","B 10 0097076","S","Plantae",NA,NA,"Compositae","Proteopsis","insculpta","Proteopsis insculpta","Phil.",NA,"?",NA,NA,NA,NA,"Middle and South America","Brazil",NA,NA,NA,NA,NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100097076 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100097076","B100097076",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-10 17:50:22-03","UNICAMP","UEC","117587","S","Plantae","Magnoliopsida",NA,"Asteraceae","Heterocoma","albida","Heterocoma albida","A.DC.","Semir, J","Mansanares, ME; Belinello, R; Vitta, FA","0006","2000","11","28",NA,"Brazil","Minas Gerais","Estrada Gouveia - Diamantina, Km 499 da BR 259. Afloramento em frente à entrada para Camelinho.","-43.876944","-18.581111",NA,NA,NA,NA,"UEC063354","UEC063354",NA,"Gouveia","-43.876944","-18.581111",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-01 16:24:22-03","UNICAMP","UEC","3088","S","Plantae","Magnoliopsida",NA,"Asteraceae","Heterocoma","albida","Heterocoma albida","A.DC.",NA,"Cruz, ND; Shepherd, GJ; et al.","6459","1978","11","18",NA,"Brazil","Minas Gerais","Serra do Carraça, ca. 70 km a sudeste de Belo Horizonte, em direção à Carapuça.",NA,NA,"1500","1700",NA,"Subarbusto até 2m. Só frutos.","UEC123167","UEC123167",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-10 17:50:22-03","UNICAMP","UEC","137842","S","Plantae","Magnoliopsida",NA,"Asteraceae","Heterocoma","albida","Heterocoma albida","A.DC.","Mansanares, ME","Mansanares, ME; Verola, CF","356","2003","08","16",NA,"Brazil","Minas Gerais","Estrada Gouveia - Curvelo, Afloramento próximo ao km 499.","-43.88075","-18.425694",NA,NA,NA,"Arbusto até 1,4 m, folhas prateadas. Frutos.","UEC063351","UEC063351",NA,"Gouveia","-43.88075","-18.425694",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-01 16:24:22-03","UNICAMP","UEC","54929","S","Plantae","Magnoliopsida",NA,"Asteraceae","Heterocoma","albida","Heterocoma albida","A.DC.",NA,"Marcondes-Ferreira, W; Semir, J; Martins, AB; Miotto, STS; Queiroz, EP","222","1990","03","14",NA,"Brazil","Minas Gerais","Caraça, caminho da gruta do Padre Caio.","-43.4152984619141","-19.959400177002",NA,NA,NA,"Arbusto candelabriforme, ca. 2m com frutos.; Crescendo no serrote.","UEC123168","UEC123168",NA,"Santa Bárbara",NA,NA,"33136","auto",NA,NA,NA,NA,NA,NA
"10","2019-11-05 16:44:50-03","UFOP","OUPR","31379","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Heterocoma","albida","Heterocoma albida","(DC. ex Pers.) DC.","Nakajima, J.N.","Pedrosa, L.G.","421","2018","06","12",NA,"Brasil","Minas Gerais","APA Estadual Cachoeira das Andorinhas","-43.5080986022949","-20.2875003814697",NA,NA,NA,"Subarbusto, ca. 1,5m. Material estéril. Campo rupestre.",NA,NA,NA,"Ouro Preto",NA,NA,"44599","auto","2019","03","15",NA,NA,NA
"11","2020-03-12 10:29:00-03","UFOP","OUPR","34472","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Heterocoma","albida","Heterocoma albida","(DC. ex Pers.) DC.","Pedrosa, L.G.","Pedrosa, L.G.","1941","2019","09","07",NA,"Brasil","Minas Gerais","APA Estadual Cachoeira das Andorinhas","-43.5080986022949","-20.2875003814697",NA,NA,NA,"Arbusto, 1,2m. Flores lilases. Campo rupestre.",NA,NA,NA,"Ouro Preto",NA,NA,"44599","auto","2019","09","07",NA,NA,NA
"12","2015-10-27 17:06:33-02","MNHN","RECOLNAT_MNHN_P","P02807512","PreservedSpecimen",NA,NA,NA,"Asteraceae","Heterocoma","albida","Heterocoma albida","(DC. ex Pers.) DC.",NA,"Glaziou, A.",NA,"1884","2","18",NA,"Brésil",NA,"Minas : Caraça, entre les rochers",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02807512' target='other'> <mi>dwc_moreinfo</mi></a>","P02807512","P02807512_01 P02807512_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,"14974",NA,NA
