"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","geoFlag","minimumElevationInMeters","maximumElevationInMeters","phylum","recordNumber","barcode","imagecode","class","order","typeStatus","eventTime","continentOcean","fieldNumber","sex","preparationType"
"1","2021-04-02 02:00:06-03","UFPI","TEPB","1945","PreservedSpecimen","Plantae","Asteraceae","Vernonia","luetzelburgii","Vernonia luetzelburgii","Muttf.","G. A R. Silva","2008","06","05","A. J. CASTRO","1980","10","15","Brasil","Piauí","Baixa Grande do Ribeiro","Estação Ecológica de Uruçui - UMA","-45.2136001586914","-7.85027980804443","157537","<ll>dwc_commonname:</ll> Cumixá","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-18 16:26:57-03","UFPI","TEPB","18338","PreservedSpecimen","Plantae","Asteraceae","Vernonia","luetzelburgii","Vernonia luetzelburgii","Mattf.",NA,NA,NA,NA,"A. FERNANDES","1980","10","17","Brasil","Piauí","Ribeiro Gonçalves",NA,"-45.2421989440918","-7.55833005905151","121004","Ambiente: Cerrado","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-04 13:43:09-03","UFPI","TEPB","19780","PreservedSpecimen","Plantae","Asteraceae","Vernonia","luetzelburgii","Vernonia luetzelburgii","Mulfedel","M.V. Alves","1999","09","01","FERNANDES, A.","1980","10","17","Brasil","Piauí","Ribeiro Gonçalves","Estação Ecológica de Uruçui - UMA","-45.2421989440918","-7.55833005905151","121004",NA,"auto","248","248",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-06 14:38:32-03","UFPI","TEPB","2041","PreservedSpecimen","Plantae","Asteraceae","Vernonia","luetzelburgii","Vernonia luetzelburgii","Mattf.",NA,NA,NA,NA,"FREIRE, F. M. T.","1981","05","21","Brasil","Piauí","Ribeiro Gonçalves","Pedra Furada, Estação Ecológica de Uruçui - Una","-45.2421989440918","-7.55833005905151","121004","Erva, flor azul clara Ambiente: Cerrado <ll>dwc_commonname:</ll> Espinheiro-preto","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-06 14:38:32-03","UFPI","TEPB","2041","PreservedSpecimen","Plantae","Asteraceae","Vernonia","luetzelburgii","Vernonia luetzelburgii","Baker","G. A. R. Silva","2008","06","05","FREIRE, F. M. T.","1981","02","02","Brasil","Piauí","Ribeiro Gonçalves","Pedra Furada, Estação Ecológica de Uruçui - Una","-45.2421989440918","-7.55833005905151","121004","Eerva, flor azul clara Ambiente: Cerrado <ll>dwc_commonname:</ll> Espinheiro-preto","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-01 16:25:57-03","UNICAMP","UEC","41462","S","Plantae","Asteraceae","Vernonia","luetzelburgii","Vernonia luetzelburgii","Mattf.","Leitão Filho, HF","1985","10","10","Fernandes, A","1980","10","17","Brazil","Piauí","Ribeiro Gonçalves","Estação Ecológica de Uruçui - Una.","-45.2421989440918","-7.55833005905151","121004","subarbusto, flores alvas.","auto",NA,NA,"Magnoliopsida","s.n.","UEC134328","UEC134328",NA,NA,NA,NA,NA,NA,NA,NA
"7","2014-10-14 15:56:23-03","BS","M","M-0029316","S","Plantae","Asteraceae","Lepidaploa","luetzelburgii","Lepidaploa luetzelburgii","(Mattf.) H.Rob.",NA,NA,NA,NA,"Luetzelburg, P. von","1912","05","31","Brasil",NA,NA,"Vao do Faria.",NA,NA,NA,NA,NA,NA,NA,"Magnoliophyta",NA,"M0029316",NA,"Magnoliopsida","Asterales","NOTATYPE","21:00",NA,NA,NA,NA
"8","2021-03-21 19:33:03-03","UFC","EAC","9062","PreservedSpecimen","Plantae","Asteraceae","Vernonia","luetzelburgii","Vernonia luetzelburgii","Mattf.","Leitão. H.F.","1985","12",NA,"Fernandes, A.","1980","10","17","Brasil","Piauí","Ribeiro Gonçalves","Estação Ecológica de Uruçuí-UNA, Sobre pedra.","-45.2421989440918","-7.55833005905151","121004","Subarbusto; Flor alva.; Cerrado","auto",NA,NA,"Dicotyledon","EAC9062","EAC0009062","EAC0009062",NA,NA,NA,NA,"Southern America",NA,NA,NA
"9","2021-03-21 19:33:03-03","UFC","EAC","6682","PreservedSpecimen","Plantae","Asteraceae","Vernonia","luetzelburgii","Vernonia luetzelburgii","Mattf.","Leitão. H.F.","1992","11","25","Del'Arco, M.R.","1979","04","28","Brasil","Piauí","Gilbués","próximo ao Aeroporto","-45.3438987731934","-9.83166980743408","69776","Arbusto.; Cerrado","auto",NA,NA,"Dicotyledon","s.n.","EAC0006682","EAC0006682",NA,NA,NA,NA,"Southern America",NA,NA,NA
"10","2019-09-04 19:35:54-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Asteraceae","Vernonia","luetzelburgii","Vernonia luetzelburgii",NA,NA,NA,NA,NA,"P. von Luetzelburg","1913",NA,NA,"Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,"Spermatophyta","293",NA,NA,"Dicotyledoneae",NA,"Type [status unknown]",NA,"South America",NA,NA,NA
"11","2021-02-04 09:01:19-03","IBt","SP","342648","S","Plantae","Asteraceae","Lepidaploa","luetzelburgii","Lepidaploa luetzelburgii","(Mattf.) H.Rob.",NA,NA,NA,NA,"Fernandes, A",NA,NA,NA,"Brasil","São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2010-08-16 16:38:07-03","GH","HU-HERB","GH 00013719","PreservedSpecimen","Plantae","Asteraceae","Vernonia","luetzelburgii","Vernonia luetzelburgii","Mattfeld",NA,NA,NA,NA,"P. von Lützelburg",NA,NA,NA,"Brazil","Bahia",NA,"Vaõ do Faria Sandstein",NA,NA,NA,NA,NA,NA,NA,NA,"293",NA,NA,NA,NA,"Isotype",NA,"South America","293","undetermined","Sheet"
