"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","recordNumber","stateProvince","county","locality","decimalLongitude","decimalLatitude","imagecode","infraspecificEpithet","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","typeStatus","fieldNumber","individualCount","relatedCatalogItem","sex"
"1","2020-09-23 10:38:16-03","E","E","102434","PreservedSpecimen","Plantae","Connaraceae","Rourea","induta","Rourea induta","Bridgewater, S., Ratter, J.A. & Filho, J.F.","1998","11","16","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:110814","<a href=http://data.rbge.org.uk/herb/E00102434 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00102434",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:38:16-03","E","E","99978","PreservedSpecimen","Plantae","Connaraceae","Rourea","induta","Rourea induta","Ratter, J.A., Bridgewater, S., Filho, J. Fonsêca & Dias, T.","1999","08","20","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:109542","<a href=http://data.rbge.org.uk/herb/E00099978 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00099978",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00922724","PreservedSpecimen","Plantae","Connaraceae","Rourea","induta","Rourea induta","J. A. Ratter","1976","08","27","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1001813' target='other'> <mi>dwc_moreinfo</mi></a>","NY00922724","Magnoliophyta","Oxalidales","Planch.","R.3504","Distrito Federal","Brasília","Fazenda Agua Limpa (University of Brasília field station), near Vargem Bonita, c. 18 km SSW of Brasília TV tower.","-47.935","-15.9519","NY00922724_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","393583","PreservedSpecimen","Plantae","Connaraceae","Rourea","induta","Rourea induta reticulata","L. P. de Queiroz","1987","11","01","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=175544' target='other'> <mi>dwc_moreinfo</mi></a>","NY00393583","Magnoliophyta","Oxalidales","(Planch.) Baker","2022","Bahia","Barreiras","33km W da cidade de Barreiras ao longo da BR. 242","-45.2939","-12.1711","NY00393583_01","reticulata","E. Forero",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00922789","PreservedSpecimen","Plantae","Connaraceae","Rourea","induta","Rourea induta induta","B. Maguire","1963","08","12","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1002000' target='other'> <mi>dwc_moreinfo</mi></a>","NY00922789","Magnoliophyta","Oxalidales","Planch.","56111","Tocantins",NA,"Between Araguaina and Guara, along Belem-Brasilia Highway",NA,NA,"NY00922789_01","induta","E. Carbonó; E. Forero; Vidal","152","229",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00922729","PreservedSpecimen","Plantae","Connaraceae","Rourea","induta","Rourea induta","P. W. Richards","1968","07","14","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1001818' target='other'> <mi>dwc_moreinfo</mi></a>","NY00922729","Magnoliophyta","Oxalidales","Planch.","6424","Mato Grosso",NA,"Plot 3, P/C transect, Xavantina","-52.23","-14.63","NY00922729_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00980527","PreservedSpecimen","Plantae","Connaraceae","Rourea","induta","Rourea induta","T. B. Cavalcanti","1995","10","07","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1093925' target='other'> <mi>dwc_moreinfo</mi></a>","NY00980527","Magnoliophyta","Oxalidales","Planch.","1843","Goiás","Campinaçu","Fazenda Praia Grande. Estrada de acesso pela margem esquerda do Rio Praia Grande.","-48.57","-14.03","NY00980527_01",NA,"L. Fonseca","510","510",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00922776","PreservedSpecimen","Plantae","Connaraceae","Rourea","induta","Rourea induta reticulata","D. R. Hunt","1966","05","25","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1001954' target='other'> <mi>dwc_moreinfo</mi></a>","NY00922776","Magnoliophyta","Oxalidales","(Planch.) Baker","5561","Mato Grosso","Água Boa","Xavantina - Cachimbo road, 65 km. from Xavantina.","-52.1583","-14.0503","NY00922776_01","reticulata","R. M. Harley",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00922769","PreservedSpecimen","Plantae","Connaraceae","Rourea","induta","Rourea induta reticulata","E. P. Heringer","1980","11","17","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1001938' target='other'> <mi>dwc_moreinfo</mi></a>","NY00922769","Magnoliophyta","Oxalidales","(Planch.) Baker","5759","Distrito Federal","Brasília","Bacia do Rio São Bartolomeu","-47.9294","-15.7797","NY00922769_01","reticulata","E. Forero",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00922722","PreservedSpecimen","Plantae","Connaraceae","Rourea","induta","Rourea induta","J. A. Ratter","1967","08","19","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1001810' target='other'> <mi>dwc_moreinfo</mi></a>","NY00922722","Magnoliophyta","Oxalidales","Planch.","R386","Mato Grosso","Nova Xavantina","2 km N of Xavantina","-52.33","-14.73","NY00922722_01",NA,NA,"500","500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
