"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","imagecode","geoFlag","identifiedBy","continentOcean","typeStatus","minimumElevationInMeters","maximumElevationInMeters","individualCount","class","order","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","preparationType"
"1","2020-12-20 21:18:54-03","UFV","VIC","045150","PreservedSpecimen","Plantae","Poaceae","Aulonemia","setosa","Aulonemia setosa","(Londonõ & L.G.Clark) P.L.Viana & Filg.","Costa, C.J.; et al.","75","2015","08","26","Brasil","Minas Gerais","Araponga","PESB","-42.5208015441895","-20.6667003631592","16385","Bambu ereto a apoiante,cerca de 5 m de altura. Folhas de colmo de lâmina ereta. Florido.","VIC045150","VIC045150","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-12-20 21:18:54-03","UFV","VIC","045160","PreservedSpecimen","Plantae","Poaceae","Aulonemia","setosa","Aulonemia setosa","(Londonõ & L.G.Clark) P.L.Viana & Filg.","Costa, C.J.; et al.","85","2015","08","28","Brasil","Minas Gerais","Araponga","PESB","-42.5208015441895","-20.6667003631592","16385","Bambu ereto a apoiante. Aproximadamente 5 m de altura.","VIC045160","VIC045160","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-12-20 21:18:54-03","UFV","VIC","045151","PreservedSpecimen","Plantae","Poaceae","Aulonemia","setosa","Aulonemia setosa","(Londonõ & L.G.Clark) P.L.Viana & Filg.","Costa, C.J.; et al.","76","2015","08","26","Brasil","Minas Gerais","Araponga","PESB","-42.5208015441895","-20.6667003631592","16385","Bambu ereto a apoiante. Aproximadamente 3 m de altura.","VIC045151","VIC045151","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-12-20 21:18:54-03","UFV","VIC","045149","PreservedSpecimen","Plantae","Poaceae","Aulonemia","setosa","Aulonemia setosa","(Londonõ & L.G.Clark) P.L.Viana & Filg.","Costa, C.J.; et al.","74","2015","08","26","Brasil","Minas Gerais","Araponga","PESB","-42.5208015441895","-20.6667003631592","16385","Bambu ereto a apoiante. Aproximadamente 5 m de altura.Entrenós basai de cerca de50-52 cm de comprimento, entrenós de médio colmo de 30-33 cm de comp. Folhas de colmo de lâmina ereta.Florido.","VIC045149","VIC045149","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-12-20 21:18:54-03","UFV","VIC","045148","PreservedSpecimen","Plantae","Poaceae","Aulonemia","setosa","Aulonemia setosa","(Londonõ & L.G.Clark) P.L.Viana & Filg.","Costa, C.J.; et al.","73","2015","08","26","Brasil","Minas Gerais","Araponga","PESB","-42.5208015441895","-20.6667003631592","16385","Bambu ereto a apoiante. Aproximadamente 5 m de altura.Entrenós basai de cerca de 27,32,35 cm de comprimento, florido.","VIC045148","VIC045148","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-12-21 16:40:23-03","MBM","MBM","194534","PreservedSpecimen","Plantae","Poaceae","Eremocaulon","setosum","Eremocaulon setosum","Londoño & L.G. Clark","Clark, L.G.; et al.; et al.","829",NA,NA,NA,"Brazil","São Paulo","Salesópolis","Estação Biológica de Boracéia","-45.8400001525879","-23.5300006866455","18032",NA,"MBM194534","MBM194534","auto","Clark, L.G.","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2012-02-07 09:31:00-02","MO","MOBOT","100448097","PreservedSpecimen","Plantae","Poaceae","Aulonemia","setosa","Aulonemia setosa","(Londoño & L.G. Clark) P.L. Viana & Filg.","P.L. Viana|N.F.O. Mota|T.E. Almeida|A. Salino|H. Bispo|F.M.G. Santos","Viana 2229","2004","10","8","Brazil","Minas Gerais","Felício dos Santos","APA Felício","-43.2833333","-18.1666667",NA,NA,NA,NA,NA,NA,"South America","Epitype","1000.00000000","1400.00000000","1",NA,NA,NA,NA,NA,NA,NA
"8","2011-02-28 14:58:00-03","MO","MOBOT","1821355","PreservedSpecimen","Plantae","Poaceae","Eremocaulon","setosum","Eremocaulon setosum","Londoño & L.G. Clark","Lynn G. Clark|M. Morel","Clark 829","1991","2","25","Brazil","São Paulo",NA,"Mun. Salesópolis, Estação Biológica Boraccia/Reserva Hidrológica do Rio Claro-SABESP, trail to Campos da Boraceia. Across the reservoir, first effluent of the Rio Claro, source for the Represa Riberão do Campo","-45.9","-22.6",NA,NA,NA,NA,NA,"X. Londoño & L.G. Clark","South America","Isotype","850.00000000",NA,"1",NA,NA,NA,NA,NA,NA,NA
"9","2020-07-10 09:46:18-03","MBML","MBML-HERBARIO","42172",NA,"Plantae","Gramineae","Eremocaulon","setosum","Eremocaulon setosum","Londoño & L.G.Clark","F.M. Ferreira; R. Perdiz, L.C. Gomes, J. Jardim, J. Paixão & A.M. Amorim","1789","2007","11","16","Brasil","Bahia","Amargosa","Serra do Timbó, Faz. do Sr. Arlindo","-39.6046981811523","-13.0303001403809","22699","Bambu lignificado, escandente, atinge o estrato médio da vegetação, forma denso taquaral. Observado apenas no topo da serra. Folhas discolores, azuladas na face abaxial com uma faixa escura em uma das margens. Taquarimbó","MBML042172","MBML042172","auto","T. S. Filgueiras/27-III-2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-09-12 05:00:02-03","US","US","3436758","PreservedSpecimen","Plantae","Poaceae","Eremocaulon","setosum","Eremocaulon setosum","Londoño & L.G. Clark","L. Clark & M. Morel","829","1991","2","25","Brazil","São Paulo",NA,"São Paulo: Mun. Salesópolis, Estaçao Biológica Boraceia/Reserva Hidrológica do Rio Claro-SABESP, trail to Campos da Boraceia. Across the reservoir, first effluent of the Rio Claro, source for the Represa Riberão do Campo.","-45.9","-22.6",NA,"Holotype at SP. Mounted on 2 sheets.","US00731459","US00731459_01",NA,"Viana, P. L.","South America - Neotropics","Isotype","850",NA,"1","Monocotyledonae","Cyperales",NA,NA,NA,NA,NA
"11","2020-09-12 05:00:02-03","US","US","3436759","PreservedSpecimen","Plantae","Poaceae","Eremocaulon","setosum","Eremocaulon setosum","Londoño & L.G. Clark","L. Clark & M. Morel","829","1991","2","25","Brazil","São Paulo",NA,"São Paulo: Mun. Salesópolis, Estaçao Biológica Boraceia/Reserva Hidrológica do Rio Claro-SABESP, trail to Campos da Boraceia. Across the reservoir, first effluent of the Rio Claro, source for the Represa Riberão do Campo.","-45.9","-22.6",NA,"Holotype at SP. Mounted on 2 sheets.","US00731460","US00731460_01",NA,"Viana, P. L.","South America - Neotropics","Isotype","850",NA,"1","Monocotyledonae","Cyperales",NA,NA,NA,NA,NA
"12","2020-09-02 16:36:10-03","Cenargen","CEN","35508","PreservedSpecimen","Plantae","Poaceae","Aulonemia","setosa","Aulonemia setosa","(Londoño & L.G.Clark) P.L.Viana & Filg.","Juliana Paula-Souza","3463","2000","04","25","Brasil","SP","CARAGUATATUBA","Parque Estadual da Serra do Mar, Núcleo Caraguatatuba. Estrada intermediária, cerca km 41.","-45.6725","-23.645555",NA,"Espiguetas passadas castanhas. Interior de mata úmida.","CEN00035508","CEN00035508",NA,"P. L. Viana",NA,NA,"1100","1100","1",NA,NA,"2010","04","-45.6725","-23.645555","Exsicatas"
