"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","year","month","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","imagecode","geoFlag","locality","dayIdentified","fieldNumber","day","preparationType","occurrenceRemarks","recordNumber","continentOcean"
"1","2021-03-24 16:39:42-03","MN","R","199085","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","amethystina","Vriesea amethystina","E. Morren","Costa, A.F.","2001","10","Ribeiro, R.; Machline, I.","2001","07","Brasil","Rio de Janeiro","Rio de Janeiro","-43.2075004577637","-22.9027996063232","57442","R010010924","R010010924","auto",NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-24 16:39:42-03","MN","R","188795","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","amethystina","Vriesea amethystina","E. Morren","Costa, A.F.",NA,NA,NA,NA,NA,"Brasil","Rio de Janeiro","Rio de Janeiro","-43.2075004577637","-22.9027996063232","57442","R010010925","R010010925 R010010925_1","auto","Maciço da Pedra Branca.",NA,NA,NA,NA,NA,NA,NA
"3","2021-02-07 08:35:08-03","MN","R","212669","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","amethystina","Vriesea amethystina","E. Morren",NA,NA,NA,"Moura, R.",NA,NA,"Brasil","Rio de Janeiro","Nova Iguaçu","-43.451099395752","-22.7591991424561","25743","R010010923",NA,"auto","Parque Municipal.",NA,NA,NA,NA,NA,NA,NA
"4","2021-02-07 08:35:08-03","MN","R","237792","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","amethystina","Vriesea amethystina","E. Morren","Kessous, I.M.","2019","09","Almeida, M.C.",NA,NA,"Brasil","Rio de Janeiro","Rio de Janeiro","-43.2075004577637","-22.9027996063232","57442","R010066789","R010066789","auto","Parque Nacional da Tijuca","06",NA,NA,NA,NA,NA,NA
"5","2015-09-03 21:41:58-03","MNHN","RECOLNAT_MNHN_P","P01764115","PreservedSpecimen",NA,"Bromeliaceae","Vriesea","amethystina","Vriesea amethystina","E.Morren",NA,NA,NA,"Glaziou, A.","1885","6","Brasil",NA,NA,NA,NA,NA,"P01764115","P01764115_01",NA,"Quinta. Brasil, América do Sul",NA,"61","3","hb",". . Herbier de A. Glaziou donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01764115' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA
"6","2015-09-03 21:41:58-03","MNHN","RECOLNAT_MNHN_P","P01764116","PreservedSpecimen",NA,"Bromeliaceae","Vriesea","amethystina","Vriesea amethystina","E.Morren",NA,NA,NA,"Glaziou","1885","7","Brasil","Rio de Janeiro","Rio de Janeiro","-43.2075004577637","-22.9027996063232","57442","P01764116","P01764116_01","auto","Brésil, Quinta. Rio de Janeiro, Rio de Janeiro, Sudeste, Brasil, América do Sul",NA,NA,"3","hb",". . Herbier de A. Glaziou donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01764116' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA
"7","2017-09-11 17:09:05-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Bromeliaceae","Vriesea","amethystina","Vriesea amethystina","E.Morren",NA,NA,NA,"?",NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"Habitat in Brasilia, loco ignoto, unde cl. Glaziou in caldarium Morrenianum transmisit.",NA,NA,NA,NA,NA,"s.n.","Southern America"
