"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","typeStatus","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","geoFlag","recordNumber","yearIdentified","monthIdentified","locality","verbatimLongitude","verbatimLatitude","occurrenceRemarks","imagecode","class","order","dayIdentified","continentOcean","minimumElevationInMeters","maximumElevationInMeters"
"1","2020-11-04 11:14:34-03","ESALQ","ESA","34263","PreservedSpecimen","Plantae","Magnoliophyta","Myrtaceae","Eugenia","longibracteata","Eugenia longibracteata","Mazine","Mazine, F.F.","paratypus","Ferretti, A.R.; Vanini, A.; Nave, A.G.; Peneireiro, F.M.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.; Ivanauskas, N.M.; Souza, J.P.","1996","12","14","Brasil","São Paulo","Cunha","-44.9599990844727","-23.0699996948242","38855","ESA034263","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-04 11:14:34-03","ESALQ","ESA","34084","PreservedSpecimen","Plantae","Magnoliophyta","Myrtaceae","Eugenia","longibracteata","Eugenia longibracteata","Mazine","Mazine, F.F.","holotypus","Ferretti, A.R. et al.","1996","12","14","Brasil","São Paulo","Cunha","-44.9599990844727","-23.0699996948242","38855","ESA034084","auto","83.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-01 16:36:19-03","UNICAMP","UEC","92594","S","Plantae","Magnoliopsida","Myrtaceae","Eugenia","longibracteata","Eugenia longibracteata","Mazine","Mazine, FF","isotypus","Ferretti, AR; Souza, VC; Vanini, A; Rodrigues, RR; Nave, AG; Peneireiro, FM; et al.","1996","12","14","Brazil","São Paulo","Cunha","-45.042472","-23.257083",NA,"UEC065912",NA,"83","2013","04","Estação Experimental da Serra do Mar, Núcleo Cunha - Trilha da Bacia Experimental.","-45.042472","-23.257083","Árvore de 4m; casca grossa, rendilhada.; Floresta Ombrófila Densa, beira da estrada ao longo do rio Paraibuna.","UEC065912",NA,NA,NA,NA,NA,NA
"4","2021-03-15 18:28:59-03","USP","SPF","122149","PreservedSpecimen","Plantae",NA,"Myrtaceae","Eugenia","longibracteata","Eugenia longibracteata","Mazine",NA,"isotype","Ferretti, AR","1996","12","14","Brasil","São Paulo","Cunha","-45.042472","-23.257083",NA,"SPF00122149",NA,"83",NA,NA,"Estação Experimental da Serra do Mar, Núcleo Cunha. Trilha da bacia experimental A. Beira da estrada, ao longo do rio Paraibuna.","-45.042472","-23.257083","Árvore de 4 m; casca grossa, rendilhada.; Floresta Ombrófila Densa.",NA,NA,NA,NA,NA,NA,NA
"5","2019-11-13 11:26:45-03","USP","SPF","122152","PreservedSpecimen","Plantae",NA,"Myrtaceae","Eugenia","longibracteata","Eugenia longibracteata","Mazine","Anônimo","paratype","Ferretti, AR",NA,NA,NA,"Brasil","São Paulo","Cunha","-45.033611","-23.212222",NA,"SPF00122152",NA,"152A",NA,NA,"Estação Experimental da Serra do Mar","-45.033611","-23.212222",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-04 15:45:23-03","IF","SPSF","40752","PreservedSpecimen","Plantae","Magnoliophyta","Myrtaceae","Eugenia","longibracteata","Eugenia longibracteata","(Sch. Bip. ex Baker) H. Rob.","M.N.Saka",NA,"R.T. Polisel & R.C.Sousa & N.M.Ivanauskas","2007","12","14","Brasil","SP","Barra do Chapéu","-49.006667","-25.290556",NA,NA,NA,"456","2013","11","Propriedade da Dona Pedrina",NA,NA,"COLETA: Herbácea 1m altura.&nf;Inflorescência com pétalas brancas.; GEOGRAFIA: No morro; remanescente de floresta com araucária.;",NA,"Magnoliopsida","Myrtales","01","América do Sul","807","807"
"7","2021-03-04 15:45:23-03","IF","SPSF","40751","PreservedSpecimen","Plantae","Magnoliophyta","Myrtaceae","Eugenia","longibracteata","Eugenia longibracteata","(Sweet) Borchs & S. Suarez","M.N.Saka",NA,"R.T. Polisel & R.C.Sousa & N.M.Ivanauskas","2007","12","14","Brasil","SP","Barra do Chapéu","-49.006667","-25.290556",NA,NA,NA,"455","2013","11","Propriedade da Dona Pedrina",NA,NA,"COLETA: Herbácea 1m altura.&nf;Inflorescência de pétala rósea.; GEOGRAFIA: No morro; remanescente de floresta com araucária.;",NA,"Magnoliopsida","Myrtales","01","América do Sul","807","807"
"8","2021-03-04 15:45:23-03","IF","SPSF","46668","PreservedSpecimen","Plantae","Magnoliophyta","Myrtaceae","Eugenia","longibracteata","Eugenia longibracteata","Cogn","L.B.Santos",NA,"L.B.Santos & F.L.S.Ferreira","2009","10","14","Brasil","SP","Botucatu","-46.511111","-22.8375",NA,NA,NA,"413","2010","04","Parque ecológico da Pavuna",NA,NA,"COLETA: Mata Atlântica, floresta estacional semidecídua. Trepadeira, folhas membranáceas, botões verdes, cálice verde, corola amarelada, frutos imaturos verdes. Duplicatas 2.; GEOGRAFIA: Da sede até a trilha da esquerda na entrada das cachoeiras, depois",NA,"Magnoliopsida","Myrtales","01","América do Sul",NA,NA
"9","2021-03-04 15:45:23-03","IF","SPSF","04077","PreservedSpecimen","Plantae","Magnoliophyta","Myrtaceae","Eugenia","longibracteata","Eugenia longibracteata",NA,NA,NA,"J.C. Moraes","1953","05","10","Brasil","PB","Areia","-35.6916999816895","-6.96332979202271","15425",NA,"auto","799",NA,NA,"Escola de Agronomia do Nordeste",NA,NA,"COLETA: XLS: SPSFAntigo;",NA,"Magnoliopsida","Myrtales",NA,"América do Sul",NA,NA
"10","2021-03-04 15:45:23-03","IF","SPSF","21526","PreservedSpecimen","Plantae","Magnoliophyta","Myrtaceae","Eugenia","longibracteata","Eugenia longibracteata","Mazine","M.L.Kawasaki","Isótipo","A.R.Ferretti","1996","12","14","Brasil","SP","Cunha","-44.9599990844727","-23.0699996948242","38855",NA,"auto","83",NA,NA,"P.E.Serra do Mar - Núcleo Cunha",NA,NA,"COLETA: XLS: SPSFAntigo; GEOGRAFIA: beira de estrada ao longo do rio Paraibuna&nf;;",NA,"Magnoliopsida","Myrtales",NA,"América do Sul",NA,NA
"11","2019-11-21 10:11:32-03","IBt","SP","310876","S","Plantae",NA,"Myrtaceae","Eugenia","longibracteata","Eugenia longibracteata","Mazine","Sobral, M","Isotype","Ferretti, AR; Vanini, A; Nave, AG; Peneireiro, FM; Rodrigues, RR; Souza, VC; Tamashiro, JY; I","1996","12","14","Brasil","São Paulo","Cunha","-45.042472","-23.257083",NA,"SP003219",NA,"83","2015","03","Estação Experimental da Serra do Mar. Núcleo Cunha, trilha da bacia experimental A, floresta ombrofila densa, beira da estrada ao longo do rio Paraibuna","-45.042472","-23.257083","Árvore 4m alt., casca grossa, rendilhada","SP003219",NA,NA,NA,NA,NA,NA
