"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","geoFlag","phylum","monthIdentified","continentOcean","locality","occurrenceRemarks","dayIdentified"
"1","2021-01-14 15:26:44-03","MN","R","218475","PreservedSpecimen","Plantae","Cactaceae","Schlumbergera","kautskyi","Schlumbergera kautskyi","(Horobin & McMillan) N.P.Taylor","Almeida, M.C.","2014","Croat, T.B.","61854","1986","07","31","Brasil","Espírito Santo","Alfredo Chaves","-40.749698638916","-20.6350002288818","40 44'W","20 24'S","32447","1140","1140","R010029172","R010029172","auto",NA,NA,NA,NA,NA,NA
"2","2019-11-21 14:33:08-03","UFJF","CESJ","68129","PreservedSpecimen","Plantae","Cactaceae","Schlumbergera","kautskyi","Schlumbergera kautskyi","(Horobin & McMillan) N.P. Taylor","D.R. Gonzaga","2016","S.G. Furtado; L. Menini Neto; K. Antunes; F.R.G. Salimena; P.H. Nobre; B. Cosenza; T.H.G. Alv","353","2016","08","05","Brasil","Espírito Santo","Irupi","-42.456389","-20.725833","-42.456389","-20.725833",NA,NA,NA,"CESJ068129",NA,NA,"Angiosperma","08","América do Sul","Parque Nacional do Caparaó, Floresta ciliar, Rio Pedregulho","Epífita, rara. Fruto imaturo verde.",NA
"3","2020-12-11 11:34:16-03","UFMG","BHCB","136288","PreservedSpecimen","Plantae","Cactaceae","Schlumbergera","kautskyi","Schlumbergera kautskyi","(Horobin & McMillan) N.P.Taylor",NA,NA,"Bünger, MO; Fernandes, AC; Silva, MH; Ribeiro, ASS; Batista, JAN","331","2010","03","04","Brasil","Minas Gerais","Espera Feliz","-41.82125","-20.488639","-41.82125","-20.488639",NA,"1689","1689",NA,NA,NA,"Dicotyledon",NA,"Southern America","Parque Nacional do Caparaó, Portaria Pedra Menina, caminho para Macieira","Epífita. Tépalas rosa-escuro.",NA
"4","2020-12-11 11:34:16-03","UFMG","BHCB","80151","PreservedSpecimen","Plantae","Cactaceae","Schlumbergera","kautskyi","Schlumbergera kautskyi","(Horobin & McMillan) N.P.Taylor",NA,"2015","Mota, RC da","1875","2003","02","12","Brasil","Minas Gerais","Conceição do Mato Dentro","-43.597028","-19.086306","-43.597028","-19.086306",NA,NA,NA,"BHCB024559",NA,NA,"Dicotyledon","05","Southern America","Parque Natural Municipal do Ribeirao do Campo","Subarbusto, ovário angulado, perianto lilás-escuro; Mata de galeria","13"
"5","2020-07-10 09:44:57-03","MBML","MBML-HERBARIO","25825",NA,"Plantae","Cactaceae","Schlumbergera","kautskyi","Schlumbergera kautskyi","(Horobin & M. Millan) N.C.Taylor","L. Kollmann/29-04-2006",NA,"L. Kollmann; et al","8947","2006","04","29","Brasil","Espírito Santo","Castelo","-41.100556","-20.519167","41W6'2","20S31'9",NA,NA,NA,"MBML025825","MBML025825",NA,NA,NA,NA,"Parque Estadual do Forno Grande","Epífita na sombra. Pétalas rosa choque.",NA
"6","2020-07-10 09:44:57-03","MBML","MBML-HERBARIO","35909",NA,"Plantae","Cactaceae","Schlumbergera","kautskyi","Schlumbergera kautskyi","(Horobin & McMillan) N.C.Taylor","L.Kollmann/23-1-2008",NA,"L. Kollmann; A.P. Fontana, C. Fraga & M. Simonelli","10412","2008","01","23","Brasil","Espírito Santo","Divino de São Lourenço","-41.6857986450195","-20.6200008392334",NA,NA,"16004","980","980","MBML035909","MBML035909","auto",NA,NA,NA,NA,"Epífita na sombra, flores lilás.",NA
