"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","imagecode","geoFlag","minimumElevationInMeters","class","order","typeStatus","individualCount","occurrenceRemarks","verbatimLongitude","verbatimLatitude","maximumElevationInMeters"
"1","2020-12-21 16:19:25-03","MBM","MBM","144245","PreservedSpecimen","Plantae","Bromeliaceae","Orthophytum","fosterianum","Orthophytum fosterianum","L.B.Sm.","Leme, E.M.C.","Hatschbach, G.; Hatschbach, M.; Silva, J.M.; Hatschbach, M.; Silva, J.M.","55580","1991","06","17","Southern America","Brazil","Espírito Santo","Afonso Cláudio","Empossado","-41.1239013671875","-20.0741996765137","25110","MBM144245","MBM144245","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2009-12-05 05:17:00-02","MO","MOBOT","3015388","PreservedSpecimen","Plantae","Bromeliaceae","Orthophytum","fosterianum","Orthophytum fosterianum","L.B. Sm.","E.M.C. Leme","Gert G. Hatschbach|Maria M. Hatschbach|J.M. Silva","Hatschbach 55580","1991","6","17","South America","Brazil","Espírito Santo",NA,"Empossado (Mun. Afonso Claudio).",NA,NA,NA,NA,NA,NA,"600.00000000",NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-12 05:00:02-03","US","US","2121548","PreservedSpecimen","Plantae","Bromeliaceae","Orthophytum","fosterianum","Orthophytum fosterianum","L.B. Sm.",NA,"M. B. Foster","2487-A","1948","10","26","South America - Neotropics","Brazil","Espírito Santo",NA,"Near Santa Tereza.",NA,NA,NA,"US01106382","US01106382_01",NA,NA,"Monocotyledonae","Bromeliales","Paratype","1","Specimen made from cultivated plant, January 1952. Annotated (L.B. Smith script) as holotype but protologue explicitly designates USNH 2248190 (pressed from same cultivated collection) as the type. This specimen (USNH 2121548) is a paratype and clonotype.",NA,NA,NA
"4","2020-09-12 05:00:02-03","US","US","2248190","PreservedSpecimen","Plantae","Bromeliaceae","Orthophytum","fosterianum","Orthophytum fosterianum","L.B. Sm.",NA,"M. B. Foster","2487-A","1948","10","26","South America - Neotropics","Brazil","Espírito Santo",NA,"Near Santa Tereza.",NA,NA,NA,"US00036609","US00036609_01",NA,NA,"Monocotyledonae","Bromeliales","Holotype","1","This specimen is the holotype, as explicitly designated by USNH sheet number (2248190) in the protologue. According to protologue, this material flowered in cultivation in June 1957 but there is no indication on specimen that it was made from a cultivated plant.",NA,NA,NA
"5","2019-11-21 10:02:41-03","IBt","SP","390436","S","Plantae","Bromeliaceae","Orthophytum","fosterianum","Orthophytum fosterianum","L.B.Sm.","Louzada, RB","Louzada, RB; et al.","17","2006","08","04",NA,"Brasil","Espírito Santo","Colatina",NA,"-40.620278","-19.610556",NA,"SP052318","SP052318",NA,"60",NA,NA,NA,NA,NA,"-40.620278","-19.610556","60"
