"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","class","dayIdentified","coordinatePrecision","geoFlag","individualCount","verbatimLongitude","verbatimLatitude","relatedCatalogItem","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","00996974","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Pilosocereus","machrisii","Pilosocereus machrisii","(E.Y.Dawson) Backeb.","D. C. Zappi","H. S. Irwin","9716","1965","11","01","South America","Brazil","Goiás","Cristalina","Serra dos Cristais. 5 km W. of Cristalina","-47.6","-16.79518","1175","1175","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1140755' target='other'> <mi>dwc_moreinfo</mi></a>","NY00996974","NY00996974_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00996973","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Pilosocereus","machrisii","Pilosocereus machrisii","(E.Y.Dawson) Backeb.","D. C. Zappi","H. S. Irwin","9317","1965","10","19","South America","Brazil","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros, ca. 12 km N.W. of Alto Paraíso de Goiás (formerly Veadeiros).","-47.59528","-14.04001","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1140747' target='other'> <mi>dwc_moreinfo</mi></a>","NY00996973","NY00996973_01 NY00996973_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00996972","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Pilosocereus","machrisii","Pilosocereus machrisii","(E.Y.Dawson) Backeb.","D. C. Zappi","H. S. Irwin","9716","1965","11","01","South America","Brazil","Goiás","Cristalina","Serra dos Cristais. 5 km W. of Cristalina","-47.6","-16.79518","1175","1175","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1140744' target='other'> <mi>dwc_moreinfo</mi></a>","NY00996972","NY00996972_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-30 12:36:22-03","EAO","IAN","111365","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Cactaceae","Pilosocereus","machrisii","Pilosocereus machrisii","(Dawson) Backeb","Taylor, NP","Oliveira, E","1523","1961","03","26","Southern America","Brasil","Pará",NA,"Rio Araguaia, região Araguatins.",NA,NA,NA,NA,NA,"Arbusto de 1 ½m de altura, em touceiras, flores brancas em forma de pluma de algodão, frutos ainda em botão, pé da serra, no meio do pedregulho.","IAN111365",NA,"1995","02",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 08:54:54-03","NBC","NL-BOTANY","U 0252768","PreservedSpecimen","Plantae",NA,"Caryophyllales","Cactaceae","Pilosocereus","machrisii","Pilosocereus machrisii","(E.Y.Dawson) Backeb.","Zappi DC","Horst L",NA,NA,NA,NA,"Southern America","Brazil",NA,NA,"Brazil",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200252768 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0252768",NA,"1991","10","Magnoliopsidae","01",NA,NA,NA,NA,NA,NA,NA
"6","2020-11-04 11:04:12-03","ESALQ","ESA","48988","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Cactaceae","Pilosocereus","machrisii","Pilosocereus machrisii","(Dawson) Backeb.","Aona, L.Y.S.","Souza, V.C.; Capellari Jr., L.; Souza, J.P.; Mazine, F.F.","21385.0","1998","09","10",NA,"Brasil","Goiás","Cristalina",NA,"-47.6136016845703","-16.7686004638672",NA,NA,NA,NA,"ESA048988","ESA048988",NA,NA,NA,NA,"85457","auto",NA,NA,NA,NA,NA
"7","2020-06-15 15:29:45-03","UNESP-RC","HRCB","14170","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Pilosocereus","machrisii","Pilosocereus machrisii","(E.Y.Dawson) Backeb.",NA,"Taylor, N. P.","1440","1991","01","18",NA,"Brasil","Bahia","Barreiras",NA,"-44.9900016784668","-12.1527996063232","670","670",NA,"Around the cliff-edge only",NA,NA,NA,NA,NA,NA,"152720","auto",NA,NA,NA,NA,NA
"8","2020-06-15 15:29:45-03","UNESP-RC","HRCB","14194","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Pilosocereus","machrisii","Pilosocereus machrisii","(E.Y.Dawson) Backeb.",NA,"Taylor, N. P.","1444","1991","01","25",NA,"Brasil","Goiás","Cristalina",NA,"-47.6136016845703","-16.7686004638672","1150","1150",NA,"Plants very variable; seedlings green, adult plants variously gluaucous-blue, stems thin or rather massive and thick; spination greyish, yellowish or ocassionaly brownish, variable inlenght; plants mo",NA,NA,NA,NA,NA,NA,"85457","auto",NA,NA,NA,NA,NA
"9","2020-06-15 15:29:45-03","UNESP-RC","HRCB","14193","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Pilosocereus","machrisii","Pilosocereus machrisii","(E.Y.Dawson) Backeb.",NA,"Taylor, N. P.","1443","1991","01","19",NA,"Brasil","Goiás","Posse",NA,"-46.3694000244141","-14.0930995941162","760","760",NA,"Plants with rather bluish epidermis",NA,NA,NA,NA,NA,NA,"55730","auto",NA,NA,NA,NA,NA
"10","2019-12-19 11:17:55-03","UFG","UFG","22431","S","Plantae",NA,NA,"Cactaceae","Pilosocereus","lindanus","Pilosocereus lindanus",NA,NA,"Braun","307","1983",NA,NA,NA,"Brasil","Goiás",NA,"Povoado Bezerro.",NA,NA,NA,NA,NA,NA,"UFG0022431",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
