"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","phylum","class","order","individualCount","continentOcean","preparationType","previousCatalogNumber","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","relatedCatalogItem","infraspecificEpithet","fieldNumber","sex"
"1","2021-04-05 14:33:13-03","UNESC","CRI","6482","PreservedSpecimen","Plantae","Araceae","Pistia","stratiotes","Pistia stratiotes","L.","J. A. Jarenkow","1996","12","16","J. A. Jarenkow","3301","1996","12","07","Brasil","Rio Grande do Sul","Santa Vitória do Palmar","Pontal Satiago","-53.366111","-33.521111","53º21'58''W","33º31'16''S","Inflorescências com espatas branco-amareladas. Herbário PEL (16.879) Habito: Herbácea","CRI012842",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:56-03","FZB-BH","CVJBFZB","778","S","Plantae","Araceae","Pistia","stratiotes","Pistia stratiotes","L.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"254",NA,"Magnoliophyta","Equisetopsida","Alismatales","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:36:19-03","E","E","420983","PreservedSpecimen","Plantae","Araceae","Pistia","stratiotes","Pistia stratiotes",NA,NA,NA,NA,NA,"Pedersen, Troels Myndel","7754","1966","04","16","AR","Provincia de Corrientes",NA,"Dep. General Paz; Lomas de Vellejos",NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00420983 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00420983",NA,NA,NA,NA,"Temperate South America","herbarium specimen of unspecif","BGBASE:518977",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:36:19-03","E","E","420982","PreservedSpecimen","Plantae","Araceae","Pistia","stratiotes","Pistia stratiotes",NA,NA,NA,NA,NA,"Lorentz, P.G.; Hieronymus, G.","558",NA,NA,NA,"AR","Provincia de Salta",NA,"Alerededores de Salta",NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00420982 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00420982",NA,NA,NA,NA,"Temperate South America","herbarium specimen of unspecif","BGBASE:518976",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","872987","PreservedSpecimen","Plantae","Araceae","Pistia","stratiotes","Pistia stratiotes","L.",NA,NA,NA,NA,"E. P. Heringer","839","1979","01","28","Brazil","Mato Grosso do Sul",NA,"Coleta feita no Pantanal, na beira da estrada Transpantaneira.",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=951034' target='other'> <mi>dwc_moreinfo</mi></a>","NY00872987","Magnoliophyta",NA,"Alismatales",NA,"South America","sheet",NA,"NY00872987_01",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","3802116","PreservedSpecimen","Plantae","Araceae","Pistia","stratiotes","Pistia stratiotes","L.",NA,NA,NA,NA,"C. R. Sperling","6573","1982","08","10","Bolivia","Pando","Manuripi","Lago Bay, a black water lake formed by the Rio Arroyo just upstream from its junction with Rio Manuripi","-68.67","-11.95",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4105317' target='other'> <mi>dwc_moreinfo</mi></a>","NY03802116","Magnoliophyta",NA,"Alismatales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","498009","PreservedSpecimen","Plantae","Araceae","Pistia","stratiotes","Pistia stratiotes","L.",NA,NA,NA,NA,"P. R. J. Bamps","s.n.","1976","02","19","Brazil","Pará","Itaituba","Humaita, km 1015","-55.9833","-4.2761",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=721966' target='other'> <mi>dwc_moreinfo</mi></a>","NY00498009","Magnoliophyta",NA,"Alismatales",NA,"South America","sheet",NA,"NY00498009_01","90","90",NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","3802150","PreservedSpecimen","Plantae","Araceae","Pistia","stratiotes","Pistia stratiotes","L.",NA,NA,NA,NA,"E. P. Killip","29278","1929","09","13","Peru","Loreto",NA,"Iquitos","-73.287607","-3.762169",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4105351' target='other'> <mi>dwc_moreinfo</mi></a>","NY03802150","Magnoliophyta",NA,"Alismatales",NA,"South America","sheet",NA,"NY03802150_01","100",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","3802135","PreservedSpecimen","Plantae","Araceae","Pistia","stratiotes","Pistia stratiotes","L.",NA,NA,NA,NA,"A. S. Hitchcock","s.n.","1923","06","21","Ecuador","Guayas",NA,"Oil Camp between Guayaquil and Salinas",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4105336' target='other'> <mi>dwc_moreinfo</mi></a>","NY03802135","Magnoliophyta",NA,"Alismatales",NA,"South America","sheet",NA,"NY03802135_01",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1413862","PreservedSpecimen","Plantae","Araceae","Pistia","stratiotes","Pistia stratiotes","L.","I. Brasil",NA,NA,NA,"I. Brasil","132","2006","07","10","Brazil","Acre","Manoel Urbano",NA,"-67.8714","-9.9289",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1414150' target='other'> <mi>dwc_moreinfo</mi></a>","NY01413862","Magnoliophyta",NA,"Alismatales",NA,"South America","sheet",NA,"NY01413862_01",NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","1487768","PreservedSpecimen","Plantae","Araceae","Pistia","stratiotes","Pistia stratiotes","L.","W. Rodriguez",NA,NA,NA,"D. Cárdenas-López","40378","2010","08","02","Colombia","Amazonas","Puerto Nariño","Sector de lagos de Tarapoto, Quebrada Tarapebasu.","-70.45555556","-3.795277778",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2352595' target='other'> <mi>dwc_moreinfo</mi></a>","NY01487768","Magnoliophyta",NA,"Alismatales",NA,"South America","sheet",NA,"NY01487768_01","200",NA,NA,NA,NA,NA,NA,NA
