"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","individualCount","class","sex"
"1","2020-09-23 10:40:04-03","E","E","25409","PreservedSpecimen","Plantae","Labiatae","Hyptidendron","conspersum","Hyptidendron conspersum","isotype","Gardner, George","2936","1905","01","12","E. Tropical South America","BR","Piauí","Piauhy","herbarium specimen of unspecif","BGBASE:30250","<a href=http://data.rbge.org.uk/herb/E00025409 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00025409",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00000629","PreservedSpecimen","Plantae","Lamiaceae","Hyptis","conspersa","Hyptis conspersa","isotype","G. Gardner","2936",NA,NA,NA,"South America","Brazil",NA,"Brasilia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=770051' target='other'> <mi>dwc_moreinfo</mi></a>","NY00000629","Magnoliophyta","Lamiales","Benth.","NY00000629_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00000630","PreservedSpecimen","Plantae","Lamiaceae","Hyptis","conspersa","Hyptis conspersa","isotype","G. Gardner","2936","1836",NA,NA,"South America","Brazil",NA,"Brasilia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=770052' target='other'> <mi>dwc_moreinfo</mi></a>","NY00000630","Magnoliophyta","Lamiales","Benth.","NY00000630_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-30 12:32:45-03","EAO","IAN","188671","PreservedSpecimen","Plantae","Lamiaceae","Hyptidendron","conspersum","Hyptidendron conspersum",NA,"Marinho, G","MIR63","2012","06","10","Southern America","Brasil","Maranhão","Base Geraldina",NA,NA,"Arbustiva, folhas simples, opostas; inflorescência cimosa; flor de coloração lilás, gamopétala.","IAN188671",NA,NA,"(Benth.) Harley",NA,"Harley, RM","2015","03","17","Mirador","-44.3630981445312","-6.37083005905151","176498","auto",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-30 12:32:45-03","EAO","IAN","188676","PreservedSpecimen","Plantae","Lamiaceae","Hyptidendron","conspersum","Hyptidendron conspersum",NA,"Marinho, G","MIR68","2012","07","11","Southern America","Brasil","Maranhão","Base Geraldina",NA,NA,"Planta arbustiva com flores tabulares de coloração lilás com guia de néctar distribuída em inflorescência globular.","IAN188676",NA,NA,"(Benth.) Harley",NA,"Harley, RM","2015","03","17","Mirador","-44.3630981445312","-6.37083005905151","176498","auto",NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-10-09 11:17:57-03","UFBA","ALCB","47648","PreservedSpecimen","Plantae","Lamiaceae","Hyptidendron","conspersum","Hyptidendron conspersum",NA,"Harley, RM; Oliveira, RP de; Silva, TR","53867","2000","04","05","Southern America","Brasil","Bahia","48km da cidade a 12km da cancela dentro da fazenda Estrondo. Área bem preservada de cerrado, com campo brejoso ao longo de uma vereda de buriti (Mauritia spp.).",NA,NA,"Até 2,5. Folhas escabras, verdes, um pouco glauco ou acinzentado embaixo. Inflorescência passada.; Sobre solo areno.",NA,"Dicotyledon",NA,"(Benth.) Harley",NA,"Antar, GM","2018","03",NA,"Formosa do Rio Preto","-45.5625","-11.109167",NA,NA,"-45.5625","-11.109167","601","601",NA,NA,NA,NA
"7","2020-11-04 11:11:33-03","ESALQ","ESA","66739","PreservedSpecimen","Plantae","Lamiaceae","Hyptidendron","conspersum","Hyptidendron conspersum",NA,"Souza, V.C.","24197.0","2000","07","18",NA,"Brasil","Tocantins",NA,NA,NA,NA,"ESA066739","Magnoliophyta",NA,"(Benth.) Harley","ESA066739","Antar, G.M.",NA,NA,NA,"Monte do Carmo","-48.1088981628418","-10.7632999420166","53751","auto",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-26 15:11:06-03","UFPI","TEPB","10931","PreservedSpecimen","Plantae","Lamiaceae","Hyptidendron","conspersum","Hyptidendron conspersum",NA,"R. BARROS","273","1999","07","20",NA,"Brasil","Piauí","Estação Ecológica de Uruçuí-Una, caminho para o Riacho das Pedras",NA,NA,"Arbusto ca de 2m de alt., flores liláses, muito frequente, solo areno-argiloso Ambiente: Cerrado",NA,NA,NA,"(Benth) Harley",NA,"Eugênio Tameira L.","1993","02","09","Baixa Grande do Ribeiro","-44.916667","-8.65",NA,NA,"44°55'W","08°39'S",NA,NA,NA,NA,NA,NA
"9","2021-04-02 11:40:30-03","UFPI","TEPB","3025","PreservedSpecimen","Plantae","Lamiaceae","Hyptidendron","conspersum","Hyptidendron conspersum",NA,"FERNANDES, A.",NA,"1983","07","27",NA,"Brasil","Piauí","Próximo Papagaio, Estação Ecológica Uruçuí-Una",NA,NA,"Ambiente: Cerrado <ll>dwc_commonname:</ll> malva",NA,NA,NA,"(Benth) Harley",NA,NA,NA,NA,NA,"Ribeiro Gonçalves","-45.2421989440918","-7.55833005905151","121004","auto",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-02 11:40:30-03","UFPI","TEPB","3025","PreservedSpecimen","Plantae","Lamiaceae","Hyptidendron","conspersum","Hyptidendron conspersum",NA,"FERNANDES, A.",NA,"1983","07","27",NA,"Brasil","Piauí","Prox. Papagaio, E.E.U.U.",NA,NA,"Arbusto, flor branca-amarelada Ambiente: Cerrado <ll>dwc_commonname:</ll> Malícia-de-boi",NA,NA,NA,"(Benth) Harley",NA,"L. P. Queiroz",NA,NA,NA,"Ribeiro Gonçalves","-45.2421989440918","-7.55833005905151","121004","auto",NA,NA,NA,NA,NA,NA,NA,NA
