"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","locality","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","identifiedBy","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","recordNumber","continentOcean","preparationType","previousCatalogNumber","phylum","order","class","infraspecificEpithet","relatedCatalogItem","individualCount","fieldNumber","typeStatus","sex"
"1","2021-04-05 14:25:53-03","UNESC","CRI","851","PreservedSpecimen","Plantae","Poaceae","Setaria","geniculata","Setaria geniculata","(Lam.) P.Beauv.","Vanilde C. Zanette; C. Mª Martinello","1991","06","28","Brasil","Santa Catarina","Criciúma","-49.373333","-28.6725","49º22'24''W","28º40'21''S","CRI007216","CRI007216",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:53-03","UNESC","CRI","59","PreservedSpecimen","Plantae","Poaceae","Setaria","geniculata","Setaria geniculata","(Lam.) P.Beauv.","V. C. Zanette; A. Bortot & A. Cândido","1981","05","04","Brasil","Santa Catarina","Siderópolis","-49.431667","-28.595833","49º25'54''W","28º35'45''S","CRI007220","CRI007220",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:53-03","UNESC","CRI","7","PreservedSpecimen","Plantae","Poaceae","Setaria","geniculata","Setaria geniculata","(Lam.) P.Beauv.","V. C. Zanette; Adão Zanette","1981","03","19","Brasil","Santa Catarina","Siderópolis","-49.425278","-28.598889","49º25'31''W","28º35'56''S","CRI007212","CRI007212",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:34:00-03","UNESC","CRI","6676","PreservedSpecimen","Plantae","Poaceae","Setaria","geniculata","Setaria geniculata","(Lam.) P.Beauv.","Reitz; Klein","1964","01","03","Brasil","Santa Catarina","Guaraciaba","-53.515278","-26.599167","53º30'55''W","26º35'57''S","CRI007215","CRI007215","Liso, Guaraciaba.","700","700","Habitat: beira de estrada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:34:00-03","UNESC","CRI","2071","PreservedSpecimen","Plantae","Poaceae","Setaria","geniculata","Setaria geniculata","(Lam.) P.Beauv.","Reitz; Klein","1964","01","03","Brasil","Santa Catarina","Guaraciaba","-53.515278","-26.599167","53º30'55''W","26º35'57''S","CRI007213","CRI007213","Liso, Guaraciaba.","700","700","Habitat: beira de estrada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:25:53-03","UNESC","CRI","189","PreservedSpecimen","Plantae","Poaceae","Setaria","geniculata","Setaria geniculata","(Lam.) P.Beauv.","V. C. Zanette; V. P. Boff","1982","12","07","Brasil","Santa Catarina","Siderópolis","-49.431667","-28.595833","49º25'54''W","28º35'45''S","CRI007214","CRI007214","Alto Rio Fiorita.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:25:53-03","UNESC","CRI","38","PreservedSpecimen","Plantae","Poaceae","Setaria","geniculata","Setaria geniculata","(Lam.) P.Beauv.","Vanilde C. Zanette","1981","03","20","Brasil","Santa Catarina","Siderópolis","-49.431667","-28.595833","49º25'54''W","28º35'45''S","CRI007219","CRI007219",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:25:53-03","UNESC","CRI","349","PreservedSpecimen","Plantae","Poaceae","Setaria","geniculata","Setaria geniculata","(Lam.) P.Beauv.","V. C. Zanette; V. P. Boff","1986","04","25","Brasil","Santa Catarina","Tubarão","-49.005833","-28.481667","49º0'21''W","28º28'54''S","CRI007217","CRI007217","Canal da Estiva.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:34:00-03","UNESC","CRI","2445","PreservedSpecimen","Plantae","Poaceae","Setaria","geniculata","Setaria geniculata","(Lam.) P.Beauv.","A. P. Duarte","1959","11","01","Brasil","Rio de Janeiro","Rio de Janeiro","-43.210833","-22.973611","43º12'39''W","22º58'25''S","CRI007218","CRI007218","Lagoa Rodrigo Freitas - RJ.",NA,NA,"Habitat: Ruderal com larga distribuição",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:34:00-03","UNESC","CRI","8783","PreservedSpecimen","Plantae","Poaceae","Setaria","geniculata","Setaria geniculata","(Lam.) P.Beauv.","Andresa; Maristela Giassi e Vanilde Citadini-Zanette","2000","05","27","Brasil","Santa Catarina","Criciúma","-49.373333","-28.6725","49º22'24''W","28º40'21''S","CRI007209","CRI007209",NA,NA,NA,NA,"Vanilde Citadini-Zanette","2000","05","27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
