"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","typeStatus","individualCount","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","00926113","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Microlicia","juniperina","Microlicia juniperina","A.St.-Hil.","L. O. Williams","7285A","1945","06","03","South America","Brazil","Minas Gerais","Betim","Slopes of Serra da Mutuca, above Barreiros.","-44.1981","-19.9681","1000","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=999997' target='other'> <mi>dwc_moreinfo</mi></a>","NY00926113","NY00926113_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1145603","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Microlicia","juniperina","Microlicia juniperina","A.St.-Hil.","R. C. Forzza","1512","2000","01","31","South America","Brazil","Minas Gerais","Gouveia","Fazenda Contagem, Serra da Contagem, próximo ao córrego Contagem.","-43.7408","-18.4544",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1320589' target='other'> <mi>dwc_moreinfo</mi></a>","NY01145603","NY01145603_01","E. M. Woodgyer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1145777","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Microlicia","juniperina","Microlicia juniperina","A.St.-Hil.","J. R. Pirani","5588","2007","01","19","South America","Brazil","Minas Gerais","Congonhas do Norte","Serra Talhada (setor nordeste da Serra do Cipó), 6.8 km SW da estrada Congonhas do Norte - Gouevia, entrada a 3.7 km NW de Congonhas do Norte, estrada pelo alto da serra em local denomindao localmente Retiro dos Pereiras.","-43.75892","-18.84258","1209","1209","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1321973' target='other'> <mi>dwc_moreinfo</mi></a>","NY01145777","NY01145777_01","E. M. Woodgyer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","2422696","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Microlicia","juniperina","Microlicia juniperina","A.St.-Hil.","J. R. Pirani","5588","2007","01","19","South America","Brazil","Minas Gerais","Congonhas do Norte","Serra Talhada (setor nordeste da Serra do Cipó), 6.8 km SW da estrada Congonhas do Norte - Gouevia, entrada a 3.7 km NW de Congonhas do Norte, estrada pelo alto da serra em local denomindao localmente Retiro dos Pereiras.","-43.75892","-18.84258","1209","1209","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2670471' target='other'> <mi>dwc_moreinfo</mi></a>","NY02422696","NY02422696_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00926111","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Microlicia","juniperina","Microlicia juniperina","A.St.-Hil.","L. O. Williams","7285","1945","06","03","South America","Brazil","Minas Gerais","Betim","Slopes of Serra da Mutuca above Barreiros.","-44.1981","-19.9681","1000","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=999991' target='other'> <mi>dwc_moreinfo</mi></a>","NY00926111","NY00926111_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","3909684","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Microlicia","juniperina","Microlicia juniperina","A.St.-Hil.","F. Almeda","9182","2005","09","28","South America","Brazil","Minas Gerais","Santana do Riacho","Serra do Cipó. 20 km from the bridge over the Rio Cipó on the road from Serra do Cipó (formerly called Cardeal Mota) to Conceição do Mato Dentro.","-43.55119324","-19.27300262","1130","1130","Sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4451435' target='other'> <mi>dwc_moreinfo</mi></a>","NY03909684","NY03909684_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","02104594","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Microlicia","juniperina","Microlicia juniperina","A.St.-Hil.","M. Reginato","1403","2013","02","01","South America","Brazil","Minas Gerais","Santana do Riacho","Lapinha. Trilha para a cachoeira.","-43.655292","-19.127086",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2085214' target='other'> <mi>dwc_moreinfo</mi></a>","NY02104594","NY02104594_01","F. Almeda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00926112","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Microlicia","juniperina","Microlicia juniperina","A.St.-Hil.","F. Segadas-Vianna","1101","1953","10",NA,"South America","Brazil","Minas Gerais","Jaboticatubas","Serra do Cipó, 6 km north of Palácio.","-43.7447","-19.5136",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=999996' target='other'> <mi>dwc_moreinfo</mi></a>","NY00926112","NY00926112_01","J. J. Wurdack",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-06-29 11:31:25-03","UFRJ","RFA","36419","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Microlicia","juniperina","Microlicia juniperina","A.St.-Hil.","R.C. Forzza; R. Mello-Silva","1512","2000","01","31",NA,"Brasil","Minas Gerais","Gouveia","Fazenda Contagem, Serra da Contagem, próximo ao córrego Contagem","-43.7407989501953","-18.4543991088867",NA,NA,NA,"Flores com cálice verde, corola e filetes róseos, anteras amarelas","RFA45542",NA,"E. Woodgyer","2007","37970","auto",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-30 12:44:42-03","EAO","IAN","40374","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Melastomataceae","Microlicia","juniperina","Microlicia juniperina","A.St.-Hil.","Saint-Hilaire","s.n.",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN040374",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
