"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","occurrenceRemarks","phylum","order","continentOcean","preparationType","infraspecificEpithet","coordinatePrecision","geoFlag","typeStatus","class","relatedCatalogItem","individualCount","fieldNumber","minimumDepthInMeters","maximumDepthInMeters","previousCatalogNumber","sex"
"1","2021-04-05 14:25:08-03","UNESC","CRI","4627","PreservedSpecimen","Plantae","Clusiaceae","Garcinia","gardneriana","Garcinia gardneriana","(Planch. & Triana) Zappi","Zenaide P. Topanotti","1995","10","12","Z. P. Topanotti","45","1995","10","12","Brasil","Santa Catarina","Maracajá","Bairro São Pedro.","-49.453056","-28.847222","49º27'11''W","28º50'50''S","4","4","CRI006507","CRI006507",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:08-03","UNESC","CRI","3566","PreservedSpecimen","Plantae","Clusiaceae","Garcinia","gardneriana","Garcinia gardneriana","(Planch. & Triana) Zappi","Vanilde Citadini- Zanette",NA,NA,NA,"Maria Costa Rebelo; Cladinei",NA,"1994","09","15","Brasil","Santa Catarina","Jaguaruna","Morro Bonito - Coletada na propriedade do Sr. Luiz Rebelo.","-49.016667","-28.6","49º1'W","28º36'S","5","5","CRI006515","CRI006515",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:25-03","UNESC","CRI","6556","PreservedSpecimen","Plantae","Clusiaceae","Garcinia","gardneriana","Garcinia gardneriana","(Planch. & Triana) Zappi","Dolores Bosa","1999","11","17","Dolores Bosa; Magali Romagna",NA,"1999","10","17","Brasil","Santa Catarina","Morro Grande","Nova Roma.","-49.721111","-28.801111","49º43'16''W","28º48'4''S","300","300","CRI006513","CRI006513","Floresta Ombrófila Densa Habitat: interior da mata Habito: árvore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:25-03","UNESC","CRI","1442","PreservedSpecimen","Plantae","Clusiaceae","Garcinia","gardneriana","Garcinia gardneriana","(Planch. & Triana) Zappi","Sandro Menezes Silva",NA,NA,NA,"R. Negrelle; et al.","34","1992","01","11","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha.","-48.616389","-26.1175","48º36'59''W","26º7'3''S","9","9","CRI006514","CRI006514",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:08-03","UNESC","CRI","3028","PreservedSpecimen","Plantae","Clusiaceae","Garcinia","gardneriana","Garcinia gardneriana","(Planch. & Triana) Zappi",NA,NA,NA,NA,"Raquel Rejane Bonatto Negrelle; C. Londero","942","1993","11","14","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha (Bairro Itapema Norte).","-48.65","-26.15","48º39'W","26º9'S","5","5","CRI006511","CRI006511",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:33:25-03","UNESC","CRI","1770","PreservedSpecimen","Plantae","Clusiaceae","Garcinia","gardneriana","Garcinia gardneriana","(Planch. & Triana) Zappi","V. C. Zanette",NA,NA,NA,"V. Citadini-Zanette; C. M. Martinello & A. Alli Mohamadd","1747","1993","01","22","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.291667","-28.359444","49º17'30''W","28º21'34''S","110","110","CRI006505","CRI006505","Habito: árvore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:25:08-03","UNESC","CRI","15031","PreservedSpecimen","Plantae","Clusiaceae","Garcinia","gardneriana","Garcinia gardneriana","(Planch. & Triana) Zappi","Oliveira, AA de","2009","12","14","Korte, A.; Kniess, A.","339","2009","09","24","Brasil","Santa Catarina","Botuverá","Cinema. Cinema.","-49.23","-27.27","49º13'48''W","27º16'12''S","526","526","CRI014377","CRI014377","Florística IFFSC 466 (Arbórea) Habitat: Floresta Ombrófila Densa; Estágio Avançado Habito: arvoreta; flor botão floral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:25:08-03","UNESC","CRI","10864","PreservedSpecimen","Plantae","Clusiaceae","Garcinia","gardneriana","Garcinia gardneriana","(Planch. & Triana) Zappi","Mauro Zavarize","2014","09","18","Mauro Zavarize",NA,"2014","09","18","Brasil",NA,"-",NA,NA,NA,NA,NA,NA,NA,"CRI006517","CRI006517",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:33:25-03","UNESC","CRI","1771","PreservedSpecimen","Plantae","Clusiaceae","Garcinia","gardneriana","Garcinia gardneriana","(Planch. & Triana) Zappi","V. C. Zanette",NA,NA,NA,"V. Citadini-Zanette; C. M. Martinello & R. B. Negrelle","1748","1993","11","10","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.291667","-28.359444","49º17'30''W","28º21'34''S","110","110","CRI006506","CRI006506","Habito: árvore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:25:08-03","UNESC","CRI","15030","PreservedSpecimen","Plantae","Clusiaceae","Garcinia","gardneriana","Garcinia gardneriana","(Planch. & Triana) Zappi","Verdi, M","2009","09","26","Verdi, M.; Tomazi, A.L. & Klemz, G.","2747","2009","09","26","Brasil","Santa Catarina","Jacinto Machado","Cará. Cará.","-49.859167","-28.979444","49º51'33''W","28º58'46''S","311","311","CRI014378","CRI014378","Florística IFFSC 15 (Arbusto) Habitat: Floresta Ombrófila Densa; Estágio Avançado; beira do barranco Habito: arbórea;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-04-05 14:25:38-03","UNESC","CRI","7616","PreservedSpecimen","Plantae","Myrtaceae","Garcinia","gardneriana","Garcinia gardneriana","(Planch. & Triana) Zappi","Vanilde Citadini-Zanette","2009","03","09","Josepina Alberton",NA,"2009","03","10","Brasil","Santa Catarina","Grão Pará","Linha Antunes Braga.","-49.212778","-28.186667","49º12'46''W","28º11'12''S",NA,NA,"CRI013768","CRI013768","Habito: Arbóreo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-04-05 14:33:25-03","UNESC","CRI","409","PreservedSpecimen","Plantae","Clusiaceae","Garcinia","gardneriana","Garcinia gardneriana","(Planch. & Triana) Zappi","Vanilde Citadini- Zanette","1990","03","20","V. Citadini-Zanette; Alberto Ávila",NA,"1990","03","20","Brasil","Paraná","Turvo",NA,"-51.53","-25.043333","51º31'48''W","25º2'36''S","30","30","CRI008784","CRI008784","Habito: arbórea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-04-05 14:33:25-03","UNESC","CRI","9260","PreservedSpecimen","Plantae","Clusiaceae","Garcinia","gardneriana","Garcinia gardneriana","(Planch. & Triana) Zappi",NA,NA,NA,NA,"Mainara F. Cascaes; Birgit Harter Marques",NA,"2007","07","01","Brasil","Santa Catarina","Maracajá","Parque Ecológico do Maracajá.","-49.466389","-28.880833","49º27'59''W","28º52'51''S","12","12","CRI006516","CRI006516",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
