"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","imagecode","minimumElevationInMeters","maximumElevationInMeters","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount"
"1","2020-09-23 10:40:34-03","E","E","451174","PreservedSpecimen","Plantae","Leguminosae","Dalbergia","nigra","Dalbergia nigra","de Carvalho, André M. & de Lima, H. C.","2146","1986","01","27","E. Tropical South America","BR","Rio de Janeiro","Municipio do Rio Janeiro. Jardim Botanico do Rio de Janeiro. Parque Floristico, regiao amazonica a margem do rio dos macacos.","herbarium specimen of unspecif","BGBASE:462348","<a href=http://data.rbge.org.uk/herb/E00451174 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00451174",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00983893","PreservedSpecimen","Plantae","Fabaceae","Dalbergia","nigra","Dalbergia nigra","J. G. Kuhlmann","s.n.","1926","10","07","South America","Brazil",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1117878' target='other'> <mi>dwc_moreinfo</mi></a>","NY00983893","Magnoliophyta","Fabales","(Vell.) Allemão ex Benth.","J. G. Kuhlmann","NY00983893_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00983889","PreservedSpecimen","Plantae","Fabaceae","Dalbergia","nigra","Dalbergia nigra","G. G. Hatschbach","64938","1996","04","17","South America","Brazil","Minas Gerais",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1117816' target='other'> <mi>dwc_moreinfo</mi></a>","NY00983889","Magnoliophyta","Fabales","(Vell.) Allemão ex Benth.","R. O. Vanni","NY00983889_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00983890","PreservedSpecimen","Plantae","Fabaceae","Dalbergia","nigra","Dalbergia nigra","H. S. Irwin","30261","1971","01","13","South America","Brazil","Minas Gerais",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1117834' target='other'> <mi>dwc_moreinfo</mi></a>","NY00983890","Magnoliophyta","Fabales","(Vell.) Allemão ex Benth.","A. M. V. de Carvalho","NY00983890_01","1600","1600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","594106","PreservedSpecimen","Plantae","Fabaceae","Dalbergia","nigra","Dalbergia nigra","J. P. Lanna Sobrinho","939","1965","10","10","South America","Brazil","Rio de Janeiro",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=331287' target='other'> <mi>dwc_moreinfo</mi></a>","NY00594106","Magnoliophyta","Fabales","(Vell.) Allemão ex Benth.",NA,"NY00594106_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","594107","PreservedSpecimen","Plantae","Fabaceae","Dalbergia","nigra","Dalbergia nigra","H. C. de Lima","1775","1982","08","22","South America","Brazil","Rio de Janeiro",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=331288' target='other'> <mi>dwc_moreinfo</mi></a>","NY00594107","Magnoliophyta","Fabales","(Vell.) Allemão ex Benth.",NA,"NY00594107_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00983891","PreservedSpecimen","Plantae","Fabaceae","Dalbergia","nigra","Dalbergia nigra","H. S. Irwin","2025","1958","11","06","South America","Brazil","Minas Gerais",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1117841' target='other'> <mi>dwc_moreinfo</mi></a>","NY00983891","Magnoliophyta","Fabales","(Vell.) Allemão ex Benth.","A. M. V. de Carvalho","NY00983891_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00983892","PreservedSpecimen","Plantae","Fabaceae","Dalbergia","nigra","Dalbergia nigra","P. M. Andrade","738","1986","03","23","South America","Brazil","Minas Gerais",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1117857' target='other'> <mi>dwc_moreinfo</mi></a>","NY00983892","Magnoliophyta","Fabales","(Vell.) Allemão ex Benth.",NA,"NY00983892_01","400","680",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00983870","PreservedSpecimen","Plantae","Fabaceae","Dalbergia","nigra","Dalbergia nigra","A. P. Duarte","8128","1964","06","19","South America","Brazil","Minas Gerais",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1117864' target='other'> <mi>dwc_moreinfo</mi></a>","NY00983870","Magnoliophyta","Fabales","(Vell.) Allemão ex Benth.","A. P. Duarte","NY00983870_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00983865","PreservedSpecimen","Plantae","Fabaceae","Dalbergia","nigra","Dalbergia nigra","H. S. Irwin","30261","1971","01","13","South America","Brazil","Minas Gerais",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1117829' target='other'> <mi>dwc_moreinfo</mi></a>","NY00983865","Magnoliophyta","Fabales","(Vell.) Allemão ex Benth.","A. M. V. de Carvalho","NY00983865_01","1600","1600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
