"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","coordinatePrecision","geoFlag","typeStatus","yearIdentified","monthIdentified","dayIdentified","fieldNumber","verbatimLongitude","verbatimLatitude","individualCount","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","803262","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Eriosorus","insignis","Eriosorus insignis","(Kuhn) Moldenke","J. T. Mickel; S. R. Hill","H. S. Irwin","29228","1971","01","26","South America","Brazil","Minas Gerais","Serra do Espinhaço. Summit of Serra da Caraça.","-43.508849","-20.130068","1750","1950","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=802043' target='other'> <mi>dwc_moreinfo</mi></a>","NY00803262","NY00803262_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","803261","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Eriosorus","insignis","Eriosorus insignis","(Kuhn) A.F.Tryon","H. N. Moldenke","A. C. Brade","15802","1937","06","17","South America","Brazil","Rio de Janeiro","Frade de Macahí.",NA,NA,"1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=802042' target='other'> <mi>dwc_moreinfo</mi></a>","NY00803261","NY00803261_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","2480433","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Eriosorus","insignis","Eriosorus insignis","(Kuhn) A.F.Tryon",NA,"J. P. S. Condack","392","2005","05","29","South America","Brazil","Rio de Janeiro","Parque Nacional do Itatiaia. Maromba. Trilha Macena X Macieiras. (Trilha Rui Braga).","-44.6133","-22.2856","2000",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2706514' target='other'> <mi>dwc_moreinfo</mi></a>","NY02480433","NY02480433_01","Itatiaia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-12-04 15:26:20-03","PUCPR","HUCP","21435","S","Plantae","Monilofita",NA,"Pteridaceae","Jamesonia","insignis","Jamesonia insignis","(Mett.) Christenh.","Michelon, C","Selusniaki, M; Ariati, V","2759","2008","08","16",NA,"Brasil","Paraná","Trilha Para Olimpo","-48.834400177002","-25.476900100708",NA,NA,NA,NA,"HUCP00002100","HUCP00002100","Morretes","30514","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-02-02 14:39:01-02","BGBM","B","B 20 0072879","S","Plantae",NA,NA,"Polypodiaceae","Eriosorus","insignis","Eriosorus insignis","A.F.Tryon",NA,"A. F. C. P. de Saint-Hilaire",NA,NA,NA,NA,"Middle and South America","Brazil",NA,"In monte Serra Negra.",NA,NA,NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B200072879 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B200072879","B200072879",NA,NA,NA,"holotype",NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-06-30 18:33:22-03","UFJF","CESJ","8374","PreservedSpecimen","Plantae","Polypodiopsida",NA,"Pteridaceae","Jamesonia","insignis","Jamesonia insignis","(Mett.) Christenh.","A.P. Della","L. Krieger","CESJ8374",NA,NA,NA,"América do Sul","Brasil","Minas Gerais","Parque Estadual do Ibitipoca","-43.793098449707","-21.8425006866455",NA,NA,NA,"No barranco úmido, pendente.","CESJ008374",NA,"Lima Duarte","30417","auto",NA,"2018","11","19",NA,NA,NA,NA,NA
"7","2020-06-30 18:33:22-03","UFJF","CESJ","27258","PreservedSpecimen","Plantae","Polypodiopsida",NA,"Pteridaceae","Jamesonia","insignis","Jamesonia insignis","(Mett.) Christenh.","A.P. Della","R.F. Novelino; J.E.Z. Oliveira; P.B. Pita","932","1993","04","17","América do Sul","Brasil","Minas Gerais","Parque Estadual do Ibitipoca, Na prainha, no Paredão do lado direito do Rio Salto (subindo este, uns 20m). Altitude 1350m.","-43.793098449707","-21.8425006866455",NA,NA,NA,"Na fresta do paredão. Local úmido e protegindo de luz. Saxícola.","CESJ027258",NA,"Lima Duarte","30417","auto",NA,"2018","11","19",NA,NA,NA,NA,NA
"8","2020-06-30 18:33:22-03","UFJF","CESJ","27541","PreservedSpecimen","Plantae","Polypodiopsida",NA,"Pteridaceae","Jamesonia","insignis","Jamesonia insignis","(Mett.) Christenh.","A.P. Della","R.F. Novelino","1293","1994","07","29","América do Sul","Brasil","Minas Gerais","Parque Estadual do Ibitipoca, Prainha beira do Rio Salto, debaixo da população de Gleichenia.","-43.793098449707","-21.8425006866455",NA,NA,NA,NA,"CESJ027541",NA,"Lima Duarte","30417","auto",NA,"2018","11","19",NA,NA,NA,NA,NA
"9","2019-11-21 14:54:21-03","UFJF","CESJ","47054","PreservedSpecimen","Plantae","Polypodiopsida",NA,"Pteridaceae","Jamesonia","insignis","Jamesonia insignis","(Mett.) Christenh.","A.P. Della","P.L. Viana; N.F.O. Mota","1963","2006","02","26","América do Sul","Brasil","Minas Gerais","Serra Negra, Burro de ouro","-43.8278007507324","-22.0891990661621",NA,NA,NA,"Em campo de altitude","CESJ047054",NA,"Rio Preto","20815","auto",NA,"2018","11","19",NA,NA,NA,NA,NA
"10","2019-11-21 14:54:21-03","UFJF","CESJ","15248","PreservedSpecimen","Plantae","Polypodiopsida",NA,"Pteridaceae","Jamesonia","insignis","Jamesonia insignis","(Mett.) Christenh.","A.P. Della","L. Krieger","CESJ15248","1977","07","15","América do Sul","Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,"Sobre paredão de pedra, lugar úmido e abrigado. Soros negros.","CESJ015248",NA,"Ibitipoca",NA,NA,NA,"2018","11","19",NA,NA,NA,NA,NA
