"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","year","month","day","continentOcean","preparationType","previousCatalogNumber","typeStatus","recordNumber","phylum","order","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2021-04-05 14:33:32-03","UNESC","CRI","365","PreservedSpecimen","Plantae","Fabaceae","Machaerium","hirtum","Machaerium hirtum","(Vell.) Stellfeld","R.L.C Bortoluzzi","2002","02","18","V. Citadini-Zanette; M. Butuhy","Brasil","Santa Catarina","Imbituba","Guaiúba.","-48.670556","-28.240556","48º40'14''W","28º14'26''S","Habitat: coletada em mata de restinga turfosa Habito: árvore","CRI003089","CRI003089",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:18-03","UNESC","CRI","12434","PreservedSpecimen","Plantae","Fabaceae","Machaerium","hirtum","Machaerium hirtum","(Vell.) Stellfeld","Aline Votri Guislon & Peterson T. Padilha","2017","07","17","Alexandre Medeiros","Brasil","Santa Catarina","Balneário Camboriú","Praia do Estaleiro","-48.585","-27.023333","48º35'6''W","27º1'24''S","Coleta 115. Habito: Arbóreo","CRI010641","CRI010641","2017","04","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:40:42-03","E","E","55798","PreservedSpecimen","Plantae","Leguminosae","Machaerium","hirtum","Machaerium hirtum",NA,NA,NA,NA,NA,"Ratter, J.A.; Bridgewater, S. & Filho, J. Fonsêca","BR",NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00055798 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00055798",NA,"1997","11","05","E. Tropical South America","herbarium specimen of unspecif","BGBASE:62944",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:40:42-03","E","E","99634","PreservedSpecimen","Plantae","Leguminosae","Machaerium","hirtum","Machaerium hirtum",NA,NA,NA,NA,NA,"Ratter, J.A.; Bridgewater, S. & Filho, J. Fonsêca","BR",NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00099634 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00099634",NA,"1999","04","20","E. Tropical South America","herbarium specimen of unspecif","BGBASE:108961",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:40:42-03","E","E","100870","PreservedSpecimen","Plantae","Leguminosae","Machaerium","hirtum","Machaerium hirtum",NA,NA,NA,NA,NA,"Ratter, J.A.; Filho, J. Fonsêca; Bridgewater, S. & Farias, R.","BR",NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00100870 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00100870",NA,"1998","11","19","E. Tropical South America","herbarium specimen of unspecif","BGBASE:110195",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:40:42-03","E","E","346621","PreservedSpecimen","Plantae","Leguminosae","Machaerium","hirtum","Machaerium hirtum",NA,NA,NA,NA,NA,"Schomburgk, Robert Hermann","GY",NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00346621 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00346621",NA,NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:431211","isotype","70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01057549","PreservedSpecimen","Plantae","Fabaceae","Machaerium","affine","Machaerium affine","Benth.","V. E. Rudd",NA,NA,NA,"C. F. P. von Martius","Brazil",NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1162056' target='other'> <mi>dwc_moreinfo</mi></a>","NY01057549","NY01057549_01","1841",NA,NA,"South America","sheet",NA,"probable isotype","s.n.","Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","603533","PreservedSpecimen","Plantae","Fabaceae","Machaerium","angustifolium","Machaerium angustifolium","Vogel","G. P. Lewis",NA,NA,NA,"R. M. Harley","Brazil","Bahia",NA,"Chapadao Ocidental da Bahia. 5 km. to the North of Tabocas, which is 10 km. N.W. of Serra Dourada. E3","-44.03","-12.65",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=337246' target='other'> <mi>dwc_moreinfo</mi></a>","NY00603533","NY00603533_01","1980","05","01","South America","sheet",NA,NA,"21990","Magnoliophyta","Fabales","500","500",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","603531","PreservedSpecimen","Plantae","Fabaceae","Machaerium","angustifolium","Machaerium angustifolium","Vogel","V. E. Rudd",NA,NA,NA,"J. S. Blanchet","Brazil","Bahia",NA,NA,"-39.039072","-15.159747",NA,NA,"Comm. I. Moricand 1836 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=337260' target='other'> <mi>dwc_moreinfo</mi></a>","NY00603531","NY00603531_01",NA,NA,NA,"South America","sheet",NA,NA,"s.n.","Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-09-29 14:12:00-03","NY","NYBG","16197","PreservedSpecimen","Plantae","Fabaceae","Machaerium","angustifolium","Machaerium angustifolium glauca","Chodat & Hassl.",NA,NA,NA,NA,"E. Hassler","Paraguay",NA,NA,"In campis pro San Bernardino",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=504915' target='other'> <mi>dwc_moreinfo</mi></a>","NY00016197","NY00016197_01",NA,NA,NA,"South America","sheet",NA,"isolectotype","2976","Magnoliophyta","Fabales",NA,NA,"glauca",NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","1018163","PreservedSpecimen","Plantae","Fabaceae","Machaerium","angustifolium","Machaerium angustifolium","Vogel",NA,NA,NA,NA,"B. D. Sucre","Brazil","Rio de Janeiro","Petrópolis",NA,"-43.1783","-22.505",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1249562' target='other'> <mi>dwc_moreinfo</mi></a>","NY01018163","NY01018163_01","1971","03","27","South America","sheet",NA,NA,"7561","Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","519501","PreservedSpecimen","Plantae","Fabaceae","Machaerium","angustifolium","Machaerium angustifolium","Vogel","A. M. V. de Carvalho",NA,NA,NA,"A. M. V. de Carvalho","Brazil","Bahia","Ilhéus","Ca. 20 km na estrada Ilhéus-Uruçuca","-39.04","-14.78",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=337234' target='other'> <mi>dwc_moreinfo</mi></a>","NY00519501",NA,"1993","02","16","South America","fluid-preserved",NA,NA,"4131","Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","603549","PreservedSpecimen","Plantae","Fabaceae","Machaerium","angustifolium","Machaerium angustifolium","Vogel","Taubert",NA,NA,NA,"L. Riedel","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=337247' target='other'> <mi>dwc_moreinfo</mi></a>","NY00603549","NY00603549_01","1832",NA,NA,"South America","sheet",NA,NA,"s.n.","Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","603532","PreservedSpecimen","Plantae","Fabaceae","Machaerium","angustifolium","Machaerium angustifolium","Vogel","V. E. Rudd",NA,NA,NA,"R. P. Belém","Brazil","Bahia",NA,"Centro de Pesquisas do Cacau; CEPLAC, CEPEC. Ilhéus","-39.2273659","-14.771874",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=337251' target='other'> <mi>dwc_moreinfo</mi></a>","NY00603532","NY00603532_01","1965","03","25","South America","sheet",NA,NA,"540","Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","603536","PreservedSpecimen","Plantae","Fabaceae","Machaerium","angustifolium","Machaerium angustifolium","Vogel","L. P. de Queiroz",NA,NA,NA,"L. P. de Queiroz","Brazil","Bahia","Feira de Santana","Serra do Sao José, Fazenda Boa Vista","-39.67","-12.7",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=337243' target='other'> <mi>dwc_moreinfo</mi></a>","NY00603536","NY00603536_01","1993","01","28","South America","sheet",NA,NA,"3043","Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","603534","PreservedSpecimen","Plantae","Fabaceae","Machaerium","angustifolium","Machaerium angustifolium","Vogel","G. P. Lewis",NA,NA,NA,"R. M. Harley","Brazil","Bahia",NA,"Chapadao Ocidental da Bahia. Islets and banks of the Rio Corrente by Correntina. F3","-44.63","-13.33",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=337262' target='other'> <mi>dwc_moreinfo</mi></a>","NY00603534","NY00603534_01","1980","04","23","South America","sheet",NA,NA,"21655","Magnoliophyta","Fabales","580","580",NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","603538","PreservedSpecimen","Plantae","Fabaceae","Machaerium","angustifolium","Machaerium angustifolium","Vogel","V. E. Rudd",NA,NA,NA,"R. P. Belém","Brazil","Bahia",NA,"Centro de Pesquisas do Cacau; CEPLAC, CEPEC. Ilhéus","-39.2273659","-14.771874",NA,NA,"Coleçao de madeira <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=337266' target='other'> <mi>dwc_moreinfo</mi></a>","NY00603538","NY00603538_01","1965","04","01","South America","sheet",NA,NA,"618","Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","16196","PreservedSpecimen","Plantae","Fabaceae","Machaerium","angustifolium","Machaerium angustifolium glauca","Chodat & Hassl.",NA,NA,NA,NA,"E. Hassler","Paraguay",NA,NA,"In campis pro San Bernardino",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=504914' target='other'> <mi>dwc_moreinfo</mi></a>","NY00016196","NY00016196_01",NA,NA,NA,"South America","sheet",NA,"isosyntype","2976a","Magnoliophyta","Fabales",NA,NA,"glauca",NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","16204","PreservedSpecimen","Plantae","Fabaceae","Machaerium","bolivianum","Machaerium bolivianum","Gand.",NA,NA,NA,NA,"M. Bang","Bolivia","La Paz","Franz Tamayo","Apolo","-68.4172","-14.72",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=33102' target='other'> <mi>dwc_moreinfo</mi></a>","NY00016204","NY00016204_01",NA,NA,NA,"South America","sheet",NA,"isotype","2190","Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","16203","PreservedSpecimen","Plantae","Fabaceae","Machaerium","bolivianum","Machaerium bolivianum","Gand.",NA,NA,NA,NA,"M. Bang","Bolivia","La Paz","Franz Tamayo","Apolo","-68.4172","-14.72",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=33101' target='other'> <mi>dwc_moreinfo</mi></a>","NY00016203","NY00016203_01",NA,NA,NA,"South America","sheet",NA,"isotype","2190","Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","16202","PreservedSpecimen","Plantae","Fabaceae","Machaerium","bolivianum","Machaerium bolivianum","Gand.",NA,NA,NA,NA,"M. Bang","Bolivia",NA,NA,"Coripata, Yungas",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=33100' target='other'> <mi>dwc_moreinfo</mi></a>","NY00016202","NY00016202_01","1894","05","14","South America","sheet",NA,"isotype","2190","Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2016-10-21 18:54:00-02","NY","NYBG","16215","PreservedSpecimen","Plantae","Fabaceae","Machaerium","glabratum","Machaerium glabratum",NA,NA,NA,NA,NA,"H. H. Smith","Colombia","Magdalena",NA,"Near Masinga",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=604334' target='other'> <mi>dwc_moreinfo</mi></a>","NY00016215","NY00016215_01","1898",NA,NA,"South America","sheet",NA,"isotype","264","Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","01057474","PreservedSpecimen","Plantae","Fabaceae","Machaerium","hirtum","Machaerium hirtum","(Vell.) Stellfeld","F. L. R. Filardi",NA,NA,NA,"O. dos S. Ribas","Brazil","Mato Grosso do Sul","Bela Vista","Rod. BR-060, 7 km N de Bela Vista","-56.5208","-22.1092",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1161978' target='other'> <mi>dwc_moreinfo</mi></a>","NY01057474","NY01057474_01","1998","02","02","South America","sheet",NA,NA,"2450","Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","603550","PreservedSpecimen","Plantae","Fabaceae","Machaerium","hirtum","Machaerium hirtum","(Vell.) Stellfeld","F. L. R. Filardi",NA,NA,NA,"A. F. M. Glaziou","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,"Reçu 12 mai 1881 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=337271' target='other'> <mi>dwc_moreinfo</mi></a>","NY00603550","NY00603550_01","1881","05","12","South America","sheet",NA,NA,"s.n.","Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","01057525","PreservedSpecimen","Plantae","Fabaceae","Machaerium","hirtum","Machaerium hirtum","(Vell.) Stellfeld","F. L. R. Filardi",NA,NA,NA,"P. M. Andrade","Brazil","Minas Gerais",NA,"Estaçao Biologica de Caratinga (EBC). Fazenda Montes Claros. 400 km East of Belo Horizonte, vicinity of Rio Manhuacú, Valley of Rio Doce","-41.83","-19.83",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1162029' target='other'> <mi>dwc_moreinfo</mi></a>","NY01057525","NY01057525_01","1986","03","24","South America","sheet",NA,NA,"743","Magnoliophyta","Fabales","400","680",NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","603901","PreservedSpecimen","Plantae","Fabaceae","Machaerium","hirtum","Machaerium hirtum","(Vell.) Stellfeld","F. L. R. Filardi",NA,NA,NA,"M. Kawall","Brazil","Rio de Janeiro",NA,"Cantagalo",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=639092' target='other'> <mi>dwc_moreinfo</mi></a>","NY00603901","NY00603901_01","1993","02","06","South America","sheet",NA,NA,"282","Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","02636946","PreservedSpecimen","Plantae","Fabaceae","Machaerium","hirtum","Machaerium hirtum","(Vell.) Stellfeld",NA,NA,NA,NA,"P. da C. Gadelha Neto","Brazil","Paraíba","Caaporã","Reserva Extrativista Acaú-Goiana","-34.856667","-7.531944",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3392209' target='other'> <mi>dwc_moreinfo</mi></a>","NY02636946","NY02636946_01","2015","02","06","South America","Sheet",NA,NA,"3908","Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","603523","PreservedSpecimen","Plantae","Fabaceae","Machaerium","hirtum","Machaerium hirtum","(Vell.) Stellfeld","F. L. R. Filardi",NA,NA,NA,"R. P. Belém","Brazil","Bahia",NA,"Jitaúna, Bahia. Saída para Jequié",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=337264' target='other'> <mi>dwc_moreinfo</mi></a>","NY00603523","NY00603523_01","1967","03","10","South America","sheet",NA,NA,"3419","Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","01057543","PreservedSpecimen","Plantae","Fabaceae","Machaerium","hirtum","Machaerium hirtum","(Vell.) Stellfeld","F. L. R. Filardi",NA,NA,NA,"H. S. Irwin","Brazil","Goiás","São João d'Aliança","Serra Geral do Paraná, ca. 3 km S.of São João de Aliança","-47.5333","-14.72711",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1161972' target='other'> <mi>dwc_moreinfo</mi></a>","NY01057543","NY01057543_01","1971","03","14","South America","sheet",NA,NA,"31737","Magnoliophyta","Fabales","850","850",NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","01460920","PreservedSpecimen","Plantae","Fabaceae","Machaerium","hirtum","Machaerium hirtum","(Vell.) Stellfeld","F. L. R. Filardi",NA,NA,NA,"J. M. Pires","Brazil","Goiás",NA,"Rodovia Belém-Brasília, 60 km S de Estreito",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1707314' target='other'> <mi>dwc_moreinfo</mi></a>","NY01460920","NY01460920_01","1978","07","24","South America","sheet",NA,NA,"16142","Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","02679249","PreservedSpecimen","Plantae","Fabaceae","Machaerium","hirtum","Machaerium hirtum","(Vell.) Stellfeld",NA,NA,NA,NA,"G. T. Prance","Brazil","Rondônia",NA,"Basin of Rio Madeira. Km 167-169 Madeira-Mamoré railroad near Mutumparaná","-64.9722835","-9.6455313",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2944997' target='other'> <mi>dwc_moreinfo</mi></a>","NY02679249","NY02679249_01","1968","07","06","South America","sheet",NA,NA,"5659","Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","01460919","PreservedSpecimen","Plantae","Fabaceae","Machaerium","hirtum","Machaerium hirtum","(Vell.) Stellfeld","F. L. R. Filardi",NA,NA,NA,"G. T. Prance","Brazil","Rondônia",NA,"Basin of Rio Madeira. Km 167-169 Madeira-Mamoré railroad near Mutumparaná","-64.9722835","-9.6455313",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1378033' target='other'> <mi>dwc_moreinfo</mi></a>","NY01460919","NY01460919_01","1968","07","06","South America","sheet",NA,NA,"5659","Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2016-11-08 14:14:00-02","NY","NYBG","1738361","PreservedSpecimen","Plantae","Fabaceae","Machaerium","hirtum","Machaerium hirtum",NA,NA,NA,NA,NA,"P. da C. Gadelha Neto","Brazil","Paraíba","Capim","Fragmento Pb 160. Floresta Estacional Semidecidual das Terras Baixas.","-35.1906","-6.8686",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2004200' target='other'> <mi>dwc_moreinfo</mi></a>","NY01738361","NY01738361_01","2012","04","25","South America","sheet",NA,NA,"3294",NA,"Fabales","87",NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","603863","PreservedSpecimen","Plantae","Fabaceae","Machaerium","hirtum","Machaerium hirtum","(Vell.) Stellfeld","F. L. R. Filardi",NA,NA,NA,"P. K. H. Dusén","Brazil","Paraná","Jaguariaíva","Jaguariahyva","-49.713647","-24.340602",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=337226' target='other'> <mi>dwc_moreinfo</mi></a>","NY00603863","NY00603863_01","1910","04","14","South America","sheet",NA,NA,"9695","Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
